date,start,end,11WD4HLBR1C7---4
10012018,11:00,12:00,732
10012018,12:00,13:00,720
10012018,13:00,14:00,731
10012018,14:00,15:00,728
10012018,15:00,16:00,725
10012018,16:00,17:00,728
10012018,17:00,18:00,743
10012018,18:00,19:00,741
10012018,19:00,20:00,737
10012018,20:00,21:00,723
10012018,21:00,22:00,732
10012018,22:00,23:00,729
10012018,23:00,00:00,580
11012018,00:00,01:00,413
11012018,01:00,02:00,170
11012018,02:00,03:00,170
11012018,03:00,04:00,244
11012018,04:00,05:00,246
11012018,05:00,06:00,320
11012018,06:00,07:00,614
11012018,07:00,08:00,740
11012018,08:00,09:00,746
11012018,09:00,10:00,746
11012018,10:00,11:00,748
11012018,11:00,12:00,748
11012018,12:00,13:00,747
11012018,13:00,14:00,745
11012018,14:00,15:00,747
11012018,15:00,16:00,747
11012018,16:00,17:00,745
11012018,17:00,18:00,740
11012018,18:00,19:00,738
11012018,19:00,20:00,740
11012018,20:00,21:00,642
11012018,21:00,22:00,505
11012018,22:00,23:00,354
11012018,23:00,00:00,242
12012018,00:00,01:00,186
12012018,01:00,02:00,196
12012018,02:00,03:00,551
12012018,03:00,04:00,603
12012018,04:00,05:00,524
12012018,05:00,06:00,504
12012018,06:00,07:00,661
12012018,07:00,08:00,740
12012018,08:00,09:00,742
12012018,09:00,10:00,744
12012018,10:00,11:00,744
12012018,11:00,12:00,742
12012018,12:00,13:00,740
12012018,13:00,14:00,739
12012018,14:00,15:00,738
12012018,15:00,16:00,738
12012018,16:00,17:00,742
12012018,17:00,18:00,742
12012018,18:00,19:00,741
12012018,19:00,20:00,737
12012018,20:00,21:00,540
12012018,21:00,22:00,354
12012018,22:00,23:00,279
12012018,23:00,00:00,124
13012018,00:00,01:00,0
13012018,01:00,02:00,0
13012018,02:00,03:00,0
13012018,03:00,04:00,0
13012018,04:00,05:00,0
13012018,05:00,06:00,0
13012018,06:00,07:00,0
13012018,07:00,08:00,0
13012018,08:00,09:00,0
13012018,09:00,10:00,0
13012018,10:00,11:00,0
13012018,11:00,12:00,0
13012018,12:00,13:00,0
13012018,13:00,14:00,0
13012018,14:00,15:00,0
13012018,15:00,16:00,0
13012018,16:00,17:00,0
13012018,17:00,18:00,0
13012018,18:00,19:00,0
13012018,19:00,20:00,0
13012018,20:00,21:00,0
13012018,21:00,22:00,0
13012018,22:00,23:00,0
13012018,23:00,00:00,0
14012018,00:00,01:00,0
14012018,01:00,02:00,0
14012018,02:00,03:00,0
14012018,03:00,04:00,0
14012018,04:00,05:00,0
14012018,05:00,06:00,0
14012018,06:00,07:00,0
14012018,07:00,08:00,0
14012018,08:00,09:00,0
14012018,09:00,10:00,0
14012018,10:00,11:00,0
14012018,11:00,12:00,0
14012018,12:00,13:00,0
14012018,13:00,14:00,0
14012018,14:00,15:00,0
14012018,15:00,16:00,0
14012018,16:00,17:00,0
14012018,17:00,18:00,0
14012018,18:00,19:00,0
14012018,19:00,20:00,0
14012018,20:00,21:00,0
14012018,21:00,22:00,0
14012018,22:00,23:00,0
14012018,23:00,00:00,0
15012018,00:00,01:00,0
15012018,01:00,02:00,0
15012018,02:00,03:00,0
15012018,03:00,04:00,0
15012018,04:00,05:00,0
15012018,05:00,06:00,0
15012018,06:00,07:00,0
15012018,07:00,08:00,0
15012018,08:00,09:00,0
15012018,09:00,10:00,0
15012018,10:00,11:00,0
15012018,11:00,12:00,0
15012018,12:00,13:00,0
15012018,13:00,14:00,0
15012018,14:00,15:00,0
15012018,15:00,16:00,0
15012018,16:00,17:00,0
15012018,17:00,18:00,0
15012018,18:00,19:00,0
15012018,19:00,20:00,0
15012018,20:00,21:00,0
15012018,21:00,22:00,0
15012018,22:00,23:00,0
15012018,23:00,00:00,0
16012018,00:00,01:00,0
16012018,01:00,02:00,0
16012018,02:00,03:00,0
16012018,03:00,04:00,0
16012018,04:00,05:00,0
16012018,05:00,06:00,0
16012018,06:00,07:00,0
16012018,07:00,08:00,0
16012018,08:00,09:00,0
16012018,09:00,10:00,0
16012018,10:00,11:00,0
16012018,11:00,12:00,0
16012018,12:00,13:00,0
16012018,13:00,14:00,0
16012018,14:00,15:00,0
16012018,15:00,16:00,0
16012018,16:00,17:00,0
16012018,17:00,18:00,0
16012018,18:00,19:00,0
16012018,19:00,20:00,0
16012018,20:00,21:00,0
16012018,21:00,22:00,0
16012018,22:00,23:00,0
16012018,23:00,00:00,0
17012018,00:00,01:00,0
17012018,01:00,02:00,0
17012018,02:00,03:00,0
17012018,03:00,04:00,0
17012018,04:00,05:00,0
17012018,05:00,06:00,0
17012018,06:00,07:00,0
17012018,07:00,08:00,0
17012018,08:00,09:00,0
17012018,09:00,10:00,0
17012018,10:00,11:00,0
17012018,11:00,12:00,0
17012018,12:00,13:00,0
17012018,13:00,14:00,0
17012018,14:00,15:00,0
17012018,15:00,16:00,0
17012018,16:00,17:00,0
17012018,17:00,18:00,0
17012018,18:00,19:00,0
17012018,19:00,20:00,0
17012018,20:00,21:00,0
17012018,21:00,22:00,0
17012018,22:00,23:00,0
17012018,23:00,00:00,0
18012018,00:00,01:00,0
18012018,01:00,02:00,0
18012018,02:00,03:00,0
18012018,03:00,04:00,0
18012018,04:00,05:00,0
18012018,05:00,06:00,0
18012018,06:00,07:00,0
18012018,07:00,08:00,0
18012018,08:00,09:00,0
18012018,09:00,10:00,0
18012018,10:00,11:00,0
18012018,11:00,12:00,0
18012018,12:00,13:00,0
18012018,13:00,14:00,0
18012018,14:00,15:00,0
18012018,15:00,16:00,0
18012018,16:00,17:00,0
18012018,17:00,18:00,0
18012018,18:00,19:00,0
18012018,19:00,20:00,0
18012018,20:00,21:00,0
18012018,21:00,22:00,0
18012018,22:00,23:00,0
18012018,23:00,00:00,0
19012018,00:00,01:00,0
19012018,01:00,02:00,0
19012018,02:00,03:00,0
19012018,03:00,04:00,0
19012018,04:00,05:00,110
19012018,05:00,06:00,383
19012018,06:00,07:00,546
19012018,07:00,08:00,724
19012018,08:00,09:00,744
19012018,09:00,10:00,741
19012018,10:00,11:00,737
19012018,11:00,12:00,738
19012018,12:00,13:00,738
19012018,13:00,14:00,731
19012018,14:00,15:00,733
19012018,15:00,16:00,735
19012018,16:00,17:00,738
19012018,17:00,18:00,740
19012018,18:00,19:00,741
19012018,19:00,20:00,739
19012018,20:00,21:00,736
19012018,21:00,22:00,741
19012018,22:00,23:00,742
19012018,23:00,00:00,477
20012018,00:00,01:00,18
20012018,01:00,02:00,0
20012018,02:00,03:00,0
20012018,03:00,04:00,0
20012018,04:00,05:00,0
20012018,05:00,06:00,0
20012018,06:00,07:00,0
20012018,07:00,08:00,0
20012018,08:00,09:00,0
20012018,09:00,10:00,0
20012018,10:00,11:00,0
20012018,11:00,12:00,0
20012018,12:00,13:00,0
20012018,13:00,14:00,0
20012018,14:00,15:00,0
