date,start,end,11WD2KIEL000050P
1012016,00:00,01:00,135
1012016,01:00,02:00,136
1012016,02:00,03:00,135
1012016,03:00,04:00,137
1012016,04:00,05:00,134
1012016,05:00,06:00,135
1012016,06:00,07:00,145
1012016,07:00,08:00,147
1012016,08:00,09:00,144
1012016,09:00,10:00,143
1012016,10:00,11:00,140
1012016,11:00,12:00,140
1012016,12:00,13:00,139
1012016,13:00,14:00,137
1012016,14:00,15:00,134
1012016,15:00,16:00,132
1012016,16:00,17:00,172
1012016,17:00,18:00,254
1012016,18:00,19:00,273
1012016,19:00,20:00,267
1012016,20:00,21:00,158
1012016,21:00,22:00,129
1012016,22:00,23:00,130
1012016,23:00,00:00,131
2012016,00:00,01:00,133
2012016,01:00,02:00,136
2012016,02:00,03:00,135
2012016,03:00,04:00,135
2012016,04:00,05:00,135
2012016,05:00,06:00,135
2012016,06:00,07:00,135
2012016,07:00,08:00,135
2012016,08:00,09:00,135
2012016,09:00,10:00,182
2012016,10:00,11:00,143
2012016,11:00,12:00,143
2012016,12:00,13:00,145
2012016,13:00,14:00,147
2012016,14:00,15:00,151
2012016,15:00,16:00,153
2012016,16:00,17:00,153
2012016,17:00,18:00,163
2012016,18:00,19:00,175
2012016,19:00,20:00,180
2012016,20:00,21:00,179
2012016,21:00,22:00,174
2012016,22:00,23:00,158
2012016,23:00,00:00,161
3012016,00:00,01:00,162
3012016,01:00,02:00,162
3012016,02:00,03:00,162
3012016,03:00,04:00,161
3012016,04:00,05:00,162
3012016,05:00,06:00,164
3012016,06:00,07:00,175
3012016,07:00,08:00,182
3012016,08:00,09:00,240
3012016,09:00,10:00,241
3012016,10:00,11:00,241
3012016,11:00,12:00,206
3012016,12:00,13:00,217
3012016,13:00,14:00,242
3012016,14:00,15:00,249
3012016,15:00,16:00,239
3012016,16:00,17:00,91
3012016,17:00,18:00,0
3012016,18:00,19:00,0
3012016,19:00,20:00,4
3012016,20:00,21:00,118
3012016,21:00,22:00,147
3012016,22:00,23:00,138
3012016,23:00,00:00,137
4012016,00:00,01:00,177
4012016,01:00,02:00,166
4012016,02:00,03:00,173
4012016,03:00,04:00,159
4012016,04:00,05:00,163
4012016,05:00,06:00,166
4012016,06:00,07:00,174
4012016,07:00,08:00,180
4012016,08:00,09:00,182
4012016,09:00,10:00,185
4012016,10:00,11:00,249
4012016,11:00,12:00,254
4012016,12:00,13:00,257
4012016,13:00,14:00,257
4012016,14:00,15:00,255
4012016,15:00,16:00,252
4012016,16:00,17:00,254
4012016,17:00,18:00,256
4012016,18:00,19:00,257
4012016,19:00,20:00,257
4012016,20:00,21:00,257
4012016,21:00,22:00,254
4012016,22:00,23:00,241
4012016,23:00,00:00,210
5012016,00:00,01:00,212
5012016,01:00,02:00,216
5012016,02:00,03:00,215
5012016,03:00,04:00,214
5012016,04:00,05:00,214
5012016,05:00,06:00,213
5012016,06:00,07:00,213
5012016,07:00,08:00,227
5012016,08:00,09:00,252
5012016,09:00,10:00,252
5012016,10:00,11:00,251
5012016,11:00,12:00,251
5012016,12:00,13:00,247
5012016,13:00,14:00,253
5012016,14:00,15:00,252
5012016,15:00,16:00,251
5012016,16:00,17:00,252
5012016,17:00,18:00,250
5012016,18:00,19:00,254
5012016,19:00,20:00,252
5012016,20:00,21:00,252
5012016,21:00,22:00,257
5012016,22:00,23:00,148
5012016,23:00,00:00,2
6012016,00:00,01:00,116
6012016,01:00,02:00,165
6012016,02:00,03:00,183
6012016,03:00,04:00,182
6012016,04:00,05:00,180
6012016,05:00,06:00,180
6012016,06:00,07:00,216
6012016,07:00,08:00,253
6012016,08:00,09:00,252
6012016,09:00,10:00,258
6012016,10:00,11:00,258
6012016,11:00,12:00,259
6012016,12:00,13:00,257
6012016,13:00,14:00,255
6012016,14:00,15:00,260
6012016,15:00,16:00,258
6012016,16:00,17:00,256
6012016,17:00,18:00,251
6012016,18:00,19:00,253
6012016,19:00,20:00,254
6012016,20:00,21:00,256
6012016,21:00,22:00,258
6012016,22:00,23:00,263
6012016,23:00,00:00,267
7012016,00:00,01:00,201
7012016,01:00,02:00,184
7012016,02:00,03:00,179
7012016,03:00,04:00,178
7012016,04:00,05:00,178
7012016,05:00,06:00,178
7012016,06:00,07:00,186
7012016,07:00,08:00,194
7012016,08:00,09:00,196
7012016,09:00,10:00,194
7012016,10:00,11:00,194
7012016,11:00,12:00,193
7012016,12:00,13:00,191
7012016,13:00,14:00,192
7012016,14:00,15:00,193
7012016,15:00,16:00,193
7012016,16:00,17:00,185
7012016,17:00,18:00,186
7012016,18:00,19:00,193
7012016,19:00,20:00,187
7012016,20:00,21:00,165
7012016,21:00,22:00,165
7012016,22:00,23:00,170
7012016,23:00,00:00,172
8012016,00:00,01:00,173
8012016,01:00,02:00,159
8012016,02:00,03:00,156
8012016,03:00,04:00,157
8012016,04:00,05:00,158
8012016,05:00,06:00,157
8012016,06:00,07:00,160
8012016,07:00,08:00,166
8012016,08:00,09:00,163
8012016,09:00,10:00,169
8012016,10:00,11:00,164
8012016,11:00,12:00,169
8012016,12:00,13:00,169
8012016,13:00,14:00,171
8012016,14:00,15:00,177
8012016,15:00,16:00,243
8012016,16:00,17:00,260
8012016,17:00,18:00,260
8012016,18:00,19:00,258
8012016,19:00,20:00,257
8012016,20:00,21:00,246
8012016,21:00,22:00,202
8012016,22:00,23:00,202
8012016,23:00,00:00,180
9012016,00:00,01:00,159
9012016,01:00,02:00,159
9012016,02:00,03:00,146
9012016,03:00,04:00,143
9012016,04:00,05:00,144
9012016,05:00,06:00,160
9012016,06:00,07:00,165
9012016,07:00,08:00,221
9012016,08:00,09:00,246
9012016,09:00,10:00,185
9012016,10:00,11:00,260
9012016,11:00,12:00,273
9012016,12:00,13:00,277
9012016,13:00,14:00,210
9012016,14:00,15:00,181
9012016,15:00,16:00,182
9012016,16:00,17:00,238
9012016,17:00,18:00,267
9012016,18:00,19:00,267
9012016,19:00,20:00,215
9012016,20:00,21:00,140
9012016,21:00,22:00,138
9012016,22:00,23:00,139
9012016,23:00,00:00,138
10012016,00:00,01:00,132
10012016,01:00,02:00,134
10012016,02:00,03:00,140
10012016,03:00,04:00,144
10012016,04:00,05:00,146
10012016,05:00,06:00,153
10012016,06:00,07:00,155
10012016,07:00,08:00,154
10012016,08:00,09:00,156
10012016,09:00,10:00,157
10012016,10:00,11:00,155
10012016,11:00,12:00,154
10012016,12:00,13:00,154
10012016,13:00,14:00,151
10012016,14:00,15:00,133
10012016,15:00,16:00,133
10012016,16:00,17:00,139
10012016,17:00,18:00,214
10012016,18:00,19:00,268
10012016,19:00,20:00,244
10012016,20:00,21:00,161
10012016,21:00,22:00,154
10012016,22:00,23:00,236
10012016,23:00,00:00,203
11012016,00:00,01:00,173
11012016,01:00,02:00,138
11012016,02:00,03:00,137
11012016,03:00,04:00,157
11012016,04:00,05:00,167
11012016,05:00,06:00,146
11012016,06:00,07:00,178
11012016,07:00,08:00,248
11012016,08:00,09:00,267
11012016,09:00,10:00,275
11012016,10:00,11:00,272
11012016,11:00,12:00,272
11012016,12:00,13:00,276
11012016,13:00,14:00,281
11012016,14:00,15:00,282
11012016,15:00,16:00,280
11012016,16:00,17:00,267
11012016,17:00,18:00,265
11012016,18:00,19:00,268
11012016,19:00,20:00,272
11012016,20:00,21:00,258
11012016,21:00,22:00,199
11012016,22:00,23:00,136
11012016,23:00,00:00,136
12012016,00:00,01:00,141
12012016,01:00,02:00,146
12012016,02:00,03:00,144
12012016,03:00,04:00,145
12012016,04:00,05:00,143
12012016,05:00,06:00,157
12012016,06:00,07:00,233
12012016,07:00,08:00,272
12012016,08:00,09:00,273
12012016,09:00,10:00,274
12012016,10:00,11:00,249
12012016,11:00,12:00,237
12012016,12:00,13:00,205
12012016,13:00,14:00,181
12012016,14:00,15:00,181
12012016,15:00,16:00,179
12012016,16:00,17:00,200
12012016,17:00,18:00,261
12012016,18:00,19:00,259
12012016,19:00,20:00,214
12012016,20:00,21:00,171
12012016,21:00,22:00,170
12012016,22:00,23:00,171
12012016,23:00,00:00,172
13012016,00:00,01:00,173
13012016,01:00,02:00,206
13012016,02:00,03:00,207
13012016,03:00,04:00,177
13012016,04:00,05:00,172
13012016,05:00,06:00,171
13012016,06:00,07:00,206
13012016,07:00,08:00,212
13012016,08:00,09:00,248
13012016,09:00,10:00,268
13012016,10:00,11:00,263
13012016,11:00,12:00,238
13012016,12:00,13:00,279
13012016,13:00,14:00,279
13012016,14:00,15:00,256
13012016,15:00,16:00,276
13012016,16:00,17:00,278
13012016,17:00,18:00,285
13012016,18:00,19:00,286
13012016,19:00,20:00,259
13012016,20:00,21:00,241
13012016,21:00,22:00,212
13012016,22:00,23:00,158
13012016,23:00,00:00,159
14012016,00:00,01:00,163
14012016,01:00,02:00,165
14012016,02:00,03:00,163
14012016,03:00,04:00,162
14012016,04:00,05:00,162
14012016,05:00,06:00,190
14012016,06:00,07:00,249
14012016,07:00,08:00,268
14012016,08:00,09:00,269
14012016,09:00,10:00,246
14012016,10:00,11:00,220
14012016,11:00,12:00,223
14012016,12:00,13:00,223
14012016,13:00,14:00,230
14012016,14:00,15:00,253
14012016,15:00,16:00,274
14012016,16:00,17:00,274
14012016,17:00,18:00,236
14012016,18:00,19:00,230
14012016,19:00,20:00,270
14012016,20:00,21:00,276
14012016,21:00,22:00,278
14012016,22:00,23:00,237
14012016,23:00,00:00,164
15012016,00:00,01:00,165
15012016,01:00,02:00,169
15012016,02:00,03:00,168
15012016,03:00,04:00,170
15012016,04:00,05:00,170
15012016,05:00,06:00,186
15012016,06:00,07:00,221
15012016,07:00,08:00,242
15012016,08:00,09:00,202
15012016,09:00,10:00,204
15012016,10:00,11:00,269
15012016,11:00,12:00,273
15012016,12:00,13:00,278
15012016,13:00,14:00,276
15012016,14:00,15:00,276
15012016,15:00,16:00,274
15012016,16:00,17:00,272
15012016,17:00,18:00,273
15012016,18:00,19:00,273
15012016,19:00,20:00,272
15012016,20:00,21:00,276
15012016,21:00,22:00,278
15012016,22:00,23:00,203
15012016,23:00,00:00,149
16012016,00:00,01:00,157
16012016,01:00,02:00,158
16012016,02:00,03:00,155
16012016,03:00,04:00,158
16012016,04:00,05:00,156
16012016,05:00,06:00,157
16012016,06:00,07:00,157
16012016,07:00,08:00,159
16012016,08:00,09:00,199
16012016,09:00,10:00,260
16012016,10:00,11:00,271
16012016,11:00,12:00,261
16012016,12:00,13:00,219
16012016,13:00,14:00,165
16012016,14:00,15:00,150
16012016,15:00,16:00,144
16012016,16:00,17:00,221
16012016,17:00,18:00,271
16012016,18:00,19:00,255
16012016,19:00,20:00,162
16012016,20:00,21:00,161
16012016,21:00,22:00,161
16012016,22:00,23:00,158
16012016,23:00,00:00,157
17012016,00:00,01:00,156
17012016,01:00,02:00,156
17012016,02:00,03:00,148
17012016,03:00,04:00,157
17012016,04:00,05:00,157
17012016,05:00,06:00,151
17012016,06:00,07:00,149
17012016,07:00,08:00,147
17012016,08:00,09:00,204
17012016,09:00,10:00,252
17012016,10:00,11:00,249
17012016,11:00,12:00,268
17012016,12:00,13:00,257
17012016,13:00,14:00,158
17012016,14:00,15:00,143
17012016,15:00,16:00,142
17012016,16:00,17:00,143
17012016,17:00,18:00,201
17012016,18:00,19:00,259
17012016,19:00,20:00,263
17012016,20:00,21:00,249
17012016,21:00,22:00,207
17012016,22:00,23:00,183
17012016,23:00,00:00,171
18012016,00:00,01:00,163
18012016,01:00,02:00,160
18012016,02:00,03:00,152
18012016,03:00,04:00,148
18012016,04:00,05:00,159
18012016,05:00,06:00,194
18012016,06:00,07:00,241
18012016,07:00,08:00,260
18012016,08:00,09:00,262
18012016,09:00,10:00,264
18012016,10:00,11:00,265
18012016,11:00,12:00,265
18012016,12:00,13:00,264
18012016,13:00,14:00,264
18012016,14:00,15:00,264
18012016,15:00,16:00,264
18012016,16:00,17:00,260
18012016,17:00,18:00,260
18012016,18:00,19:00,258
18012016,19:00,20:00,256
18012016,20:00,21:00,259
18012016,21:00,22:00,246
18012016,22:00,23:00,180
18012016,23:00,00:00,154
19012016,00:00,01:00,147
19012016,01:00,02:00,144
19012016,02:00,03:00,144
19012016,03:00,04:00,144
19012016,04:00,05:00,150
19012016,05:00,06:00,166
19012016,06:00,07:00,185
19012016,07:00,08:00,185
19012016,08:00,09:00,185
19012016,09:00,10:00,185
19012016,10:00,11:00,186
19012016,11:00,12:00,250
19012016,12:00,13:00,259
19012016,13:00,14:00,262
19012016,14:00,15:00,261
19012016,15:00,16:00,260
19012016,16:00,17:00,255
19012016,17:00,18:00,254
19012016,18:00,19:00,256
19012016,19:00,20:00,257
19012016,20:00,21:00,260
19012016,21:00,22:00,194
19012016,22:00,23:00,171
19012016,23:00,00:00,172
20012016,00:00,01:00,217
20012016,01:00,02:00,253
20012016,02:00,03:00,203
20012016,03:00,04:00,192
20012016,04:00,05:00,205
20012016,05:00,06:00,255
20012016,06:00,07:00,261
20012016,07:00,08:00,262
20012016,08:00,09:00,260
20012016,09:00,10:00,267
20012016,10:00,11:00,276
20012016,11:00,12:00,275
20012016,12:00,13:00,278
20012016,13:00,14:00,278
20012016,14:00,15:00,278
20012016,15:00,16:00,274
20012016,16:00,17:00,271
20012016,17:00,18:00,270
20012016,18:00,19:00,272
20012016,19:00,20:00,272
20012016,20:00,21:00,271
20012016,21:00,22:00,264
20012016,22:00,23:00,270
20012016,23:00,00:00,203
21012016,00:00,01:00,152
21012016,01:00,02:00,154
21012016,02:00,03:00,154
21012016,03:00,04:00,153
21012016,04:00,05:00,155
21012016,05:00,06:00,246
21012016,06:00,07:00,259
21012016,07:00,08:00,263
