date,start,end,11WD8DRES5X----D
10012018,11:00,12:00,245
10012018,12:00,13:00,244
10012018,13:00,14:00,244
10012018,14:00,15:00,244
10012018,15:00,16:00,244
10012018,16:00,17:00,244
10012018,17:00,18:00,245
10012018,18:00,19:00,245
10012018,19:00,20:00,246
10012018,20:00,21:00,246
10012018,21:00,22:00,247
10012018,22:00,23:00,245
10012018,23:00,00:00,239
11012018,00:00,01:00,238
11012018,01:00,02:00,238
11012018,02:00,03:00,239
11012018,03:00,04:00,242
11012018,04:00,05:00,247
11012018,05:00,06:00,249
11012018,06:00,07:00,249
11012018,07:00,08:00,249
11012018,08:00,09:00,249
11012018,09:00,10:00,249
11012018,10:00,11:00,248
11012018,11:00,12:00,247
11012018,12:00,13:00,246
11012018,13:00,14:00,246
11012018,14:00,15:00,246
11012018,15:00,16:00,246
11012018,16:00,17:00,246
11012018,17:00,18:00,247
11012018,18:00,19:00,248
11012018,19:00,20:00,249
11012018,20:00,21:00,249
11012018,21:00,22:00,250
11012018,22:00,23:00,249
11012018,23:00,00:00,250
12012018,00:00,01:00,245
12012018,01:00,02:00,245
12012018,02:00,03:00,245
12012018,03:00,04:00,245
12012018,04:00,05:00,245
12012018,05:00,06:00,250
12012018,06:00,07:00,250
12012018,07:00,08:00,250
12012018,08:00,09:00,250
12012018,09:00,10:00,250
12012018,10:00,11:00,250
12012018,11:00,12:00,250
12012018,12:00,13:00,249
12012018,13:00,14:00,249
12012018,14:00,15:00,250
12012018,15:00,16:00,251
12012018,16:00,17:00,251
12012018,17:00,18:00,251
12012018,18:00,19:00,251
12012018,19:00,20:00,252
12012018,20:00,21:00,252
12012018,21:00,22:00,252
12012018,22:00,23:00,251
12012018,23:00,00:00,248
13012018,00:00,01:00,249
13012018,01:00,02:00,249
13012018,02:00,03:00,249
13012018,03:00,04:00,249
13012018,04:00,05:00,249
13012018,05:00,06:00,251
13012018,06:00,07:00,252
13012018,07:00,08:00,253
13012018,08:00,09:00,253
13012018,09:00,10:00,254
