Timestamp,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
2016-01-01 00:00:00,75,74,65.0
2016-01-01 01:00:00,74,74,65.0
2016-01-01 02:00:00,75,75,66.0
2016-01-01 03:00:00,71,71,65.0
2016-01-01 04:00:00,69,69,66.0
2016-01-01 05:00:00,70,69,68.0
2016-01-01 06:00:00,71,70,68.0
2016-01-01 07:00:00,71,71,67.0
2016-01-01 08:00:00,69,69,65.0
2016-01-01 09:00:00,68,68,62.0
2016-01-01 10:00:00,72,72,64.0
2016-01-01 11:00:00,68,68,65.0
2016-01-01 12:00:00,72,72,65.0
2016-01-01 13:00:00,76,76,64.0
2016-01-01 14:00:00,77,77,66.0
2016-01-01 15:00:00,78,78,66.0
2016-01-01 16:00:00,80,79,66.0
2016-01-01 17:00:00,98,98,70.0
2016-01-01 18:00:00,98,97,69.0
2016-01-01 19:00:00,98,98,71.0
2016-01-01 20:00:00,74,74,64.0
2016-01-01 21:00:00,73,73,64.0
2016-01-01 22:00:00,74,73,63.0
2016-01-01 23:00:00,71,71,64.0
2016-01-02 00:00:00,68,67,62.0
2016-01-02 01:00:00,69,65,53.0
2016-01-02 02:00:00,69,64,55.0
2016-01-02 03:00:00,69,66,44.0
2016-01-02 04:00:00,73,71,61.0
2016-01-02 05:00:00,75,72,62.0
2016-01-02 06:00:00,74,70,63.0
2016-01-02 07:00:00,89,88,67.0
2016-01-02 08:00:00,97,96,68.0
2016-01-02 09:00:00,99,98,68.0
2016-01-02 10:00:00,99,99,69.0
2016-01-02 11:00:00,100,99,69.0
2016-01-02 12:00:00,101,101,70.0
2016-01-02 13:00:00,100,100,70.0
2016-01-02 14:00:00,101,100,70.0
2016-01-02 15:00:00,102,102,70.0
2016-01-02 16:00:00,103,102,72.0
2016-01-02 17:00:00,102,102,73.0
2016-01-02 18:00:00,104,104,71.0
2016-01-02 19:00:00,100,100,67.0
2016-01-02 20:00:00,85,86,64.0
2016-01-02 21:00:00,80,80,63.0
2016-01-02 22:00:00,84,84,64.0
2016-01-02 23:00:00,75,73,62.0
2016-01-03 00:00:00,81,80,63.0
2016-01-03 01:00:00,74,74,63.0
2016-01-03 02:00:00,69,68,61.0
2016-01-03 03:00:00,75,74,62.0
2016-01-03 04:00:00,80,77,64.0
2016-01-03 05:00:00,82,79,64.0
2016-01-03 06:00:00,84,80,65.0
2016-01-03 07:00:00,80,78,61.0
2016-01-03 08:00:00,96,95,66.0
2016-01-03 09:00:00,97,95,66.0
2016-01-03 10:00:00,97,97,68.0
2016-01-03 11:00:00,94,92,68.0
2016-01-03 12:00:00,82,82,65.0
2016-01-03 13:00:00,91,91,67.0
2016-01-03 14:00:00,97,93,69.0
2016-01-03 15:00:00,89,88,69.0
2016-01-03 16:00:00,104,104,73.0
2016-01-03 17:00:00,102,102,70.0
2016-01-03 18:00:00,100,98,70.0
2016-01-03 19:00:00,103,102,69.0
2016-01-03 20:00:00,110,109,67.0
2016-01-03 21:00:00,81,81,64.0
2016-01-03 22:00:00,78,78,60.0
2016-01-03 23:00:00,87,87,62.0
2016-01-04 00:00:00,71,71,59.0
2016-01-04 01:00:00,70,70,58.0
2016-01-04 02:00:00,70,69,58.0
2016-01-04 03:00:00,69,69,57.0
2016-01-04 04:00:00,73,73,60.0
2016-01-04 05:00:00,100,99,65.0
2016-01-04 06:00:00,104,103,67.0
2016-01-04 07:00:00,113,112,63.0
2016-01-04 08:00:00,113,111,64.0
2016-01-04 09:00:00,109,107,65.0
2016-01-04 10:00:00,106,106,68.0
2016-01-04 11:00:00,102,102,70.0
2016-01-04 12:00:00,111,111,70.0
2016-01-04 13:00:00,108,107,73.0
2016-01-04 14:00:00,96,96,70.0
2016-01-04 15:00:00,86,91,67.0
2016-01-04 16:00:00,90,89,67.0
2016-01-04 17:00:00,104,104,72.0
2016-01-04 18:00:00,107,107,73.0
2016-01-04 19:00:00,104,104,72.0
2016-01-04 20:00:00,107,106,72.0
2016-01-04 21:00:00,87,87,65.0
2016-01-04 22:00:00,73,73,61.0
2016-01-04 23:00:00,73,73,61.0
2016-01-05 00:00:00,71,70,60.0
2016-01-05 01:00:00,73,73,61.0
2016-01-05 02:00:00,71,70,61.0
2016-01-05 03:00:00,75,75,61.0
2016-01-05 04:00:00,90,90,64.0
2016-01-05 05:00:00,102,102,59.0
2016-01-05 06:00:00,106,105,64.0
2016-01-05 07:00:00,107,107,71.0
2016-01-05 08:00:00,108,108,73.0
2016-01-05 09:00:00,108,107,72.0
2016-01-05 10:00:00,109,107,71.0
2016-01-05 11:00:00,107,106,69.0
2016-01-05 12:00:00,103,102,68.0
2016-01-05 13:00:00,103,103,69.0
2016-01-05 14:00:00,104,103,68.0
2016-01-05 15:00:00,107,106,69.0
2016-01-05 16:00:00,108,107,70.0
2016-01-05 17:00:00,104,103,68.0
2016-01-05 18:00:00,111,110,71.0
