date,start,end,11WD7RHAU5GKW3B5
1012017,00:00,01:00,159.0
1012017,01:00,02:00,151.0
1012017,02:00,03:00,151.0
1012017,03:00,04:00,151.0
1012017,04:00,05:00,151.0
1012017,05:00,06:00,151.0
1012017,06:00,07:00,151.0
1012017,07:00,08:00,151.0
1012017,08:00,09:00,151.0
1012017,09:00,10:00,151.0
1012017,10:00,11:00,150.0
1012017,11:00,12:00,171.0
1012017,12:00,13:00,150.0
1012017,13:00,14:00,151.0
1012017,14:00,15:00,180.0
1012017,15:00,16:00,203.0
1012017,16:00,17:00,212.0
1012017,17:00,18:00,210.0
1012017,18:00,19:00,210.0
1012017,19:00,20:00,210.0
1012017,20:00,21:00,212.0
1012017,21:00,22:00,216.0
1012017,22:00,23:00,216.0
1012017,23:00,00:00,201.0
2012017,00:00,01:00,172.0
2012017,01:00,02:00,151.0
2012017,02:00,03:00,150.0
2012017,03:00,04:00,150.0
2012017,04:00,05:00,150.0
2012017,05:00,06:00,151.0
2012017,06:00,07:00,207.0
2012017,07:00,08:00,209.0
2012017,08:00,09:00,210.0
2012017,09:00,10:00,212.0
2012017,10:00,11:00,213.0
2012017,11:00,12:00,213.0
2012017,12:00,13:00,213.0
2012017,13:00,14:00,212.0
2012017,14:00,15:00,212.0
2012017,15:00,16:00,211.0
2012017,16:00,17:00,211.0
2012017,17:00,18:00,211.0
2012017,18:00,19:00,210.0
2012017,19:00,20:00,211.0
2012017,20:00,21:00,214.0
2012017,21:00,22:00,215.0
2012017,22:00,23:00,215.0
2012017,23:00,00:00,181.0
3012017,00:00,01:00,153.0
3012017,01:00,02:00,151.0
3012017,02:00,03:00,150.0
3012017,03:00,04:00,151.0
3012017,04:00,05:00,150.0
3012017,05:00,06:00,151.0
3012017,06:00,07:00,209.0
3012017,07:00,08:00,210.0
3012017,08:00,09:00,208.0
3012017,09:00,10:00,212.0
3012017,10:00,11:00,212.0
3012017,11:00,12:00,211.0
3012017,12:00,13:00,207.0
3012017,13:00,14:00,207.0
3012017,14:00,15:00,207.0
3012017,15:00,16:00,207.0
3012017,16:00,17:00,208.0
3012017,17:00,18:00,208.0
3012017,18:00,19:00,208.0
3012017,19:00,20:00,207.0
3012017,20:00,21:00,152.0
3012017,21:00,22:00,105.0
3012017,22:00,23:00,73.0
3012017,23:00,00:00,55.0
4012017,00:00,01:00,54.0
4012017,01:00,02:00,54.0
4012017,02:00,03:00,54.0
4012017,03:00,04:00,54.0
4012017,04:00,05:00,54.0
4012017,05:00,06:00,80.0
4012017,06:00,07:00,125.0
4012017,07:00,08:00,170.0
4012017,08:00,09:00,191.0
4012017,09:00,10:00,214.0
4012017,10:00,11:00,204.0
4012017,11:00,12:00,210.0
4012017,12:00,13:00,211.0
4012017,13:00,14:00,211.0
4012017,14:00,15:00,213.0
4012017,15:00,16:00,212.0
4012017,16:00,17:00,212.0
4012017,17:00,18:00,213.0
4012017,18:00,19:00,213.0
4012017,19:00,20:00,212.0
4012017,20:00,21:00,212.0
4012017,21:00,22:00,207.0
4012017,22:00,23:00,187.0
4012017,23:00,00:00,165.0
5012017,00:00,01:00,154.0
5012017,01:00,02:00,151.0
5012017,02:00,03:00,151.0
5012017,03:00,04:00,151.0
5012017,04:00,05:00,151.0
5012017,05:00,06:00,156.0
5012017,06:00,07:00,207.0
5012017,07:00,08:00,208.0
5012017,08:00,09:00,210.0
5012017,09:00,10:00,210.0
