date,start,end,11WD4HLBR1C7---4
1012019,00:00,01:00,389
1012019,01:00,02:00,403
1012019,02:00,03:00,401
1012019,03:00,04:00,660
1012019,04:00,05:00,685
1012019,05:00,06:00,670
1012019,06:00,07:00,503
1012019,07:00,08:00,507
1012019,08:00,09:00,581
1012019,09:00,10:00,688
1012019,10:00,11:00,688
1012019,11:00,12:00,694
1012019,12:00,13:00,710
1012019,13:00,14:00,714
1012019,14:00,15:00,722
1012019,15:00,16:00,714
1012019,16:00,17:00,718
1012019,17:00,18:00,723
1012019,18:00,19:00,722
1012019,19:00,20:00,720
1012019,20:00,21:00,722
1012019,21:00,22:00,720
1012019,22:00,23:00,721
1012019,23:00,00:00,701
2012019,00:00,01:00,690
2012019,01:00,02:00,724
2012019,02:00,03:00,722
2012019,03:00,04:00,722
2012019,04:00,05:00,722
2012019,05:00,06:00,709
2012019,06:00,07:00,601
2012019,07:00,08:00,689
2012019,08:00,09:00,698
2012019,09:00,10:00,705
2012019,10:00,11:00,686
2012019,11:00,12:00,698
2012019,12:00,13:00,487
2012019,13:00,14:00,217
2012019,14:00,15:00,213
2012019,15:00,16:00,336
2012019,16:00,17:00,729
2012019,17:00,18:00,741
2012019,18:00,19:00,739
2012019,19:00,20:00,733
2012019,20:00,21:00,730
2012019,21:00,22:00,571
2012019,22:00,23:00,378
2012019,23:00,00:00,273
3012019,00:00,01:00,234
3012019,01:00,02:00,356
3012019,02:00,03:00,301
3012019,03:00,04:00,203
3012019,04:00,05:00,212
3012019,05:00,06:00,305
3012019,06:00,07:00,397
3012019,07:00,08:00,461
3012019,08:00,09:00,582
3012019,09:00,10:00,723
3012019,10:00,11:00,733
3012019,11:00,12:00,737
3012019,12:00,13:00,738
3012019,13:00,14:00,729
3012019,14:00,15:00,728
3012019,15:00,16:00,728
3012019,16:00,17:00,729
3012019,17:00,18:00,723
3012019,18:00,19:00,727
3012019,19:00,20:00,724
3012019,20:00,21:00,729
3012019,21:00,22:00,731
3012019,22:00,23:00,732
3012019,23:00,00:00,458
4012019,00:00,01:00,87
4012019,01:00,02:00,0
4012019,02:00,03:00,0
4012019,03:00,04:00,0
4012019,04:00,05:00,0
4012019,05:00,06:00,0
