date,start,end,11WD2HANN5C---1X,11WD2HANN5C---2V
9012019,06:00,07:00,0,111
9012019,07:00,08:00,0,108
9012019,08:00,09:00,0,108
9012019,09:00,10:00,0,110
9012019,10:00,11:00,0,111
9012019,11:00,12:00,0,110
9012019,12:00,13:00,0,110
9012019,13:00,14:00,0,110
9012019,14:00,15:00,0,111
9012019,15:00,16:00,0,109
9012019,16:00,17:00,0,108
9012019,17:00,18:00,0,108
9012019,18:00,19:00,0,108
9012019,19:00,20:00,0,109
9012019,20:00,21:00,0,109
9012019,21:00,22:00,0,109
9012019,22:00,23:00,0,110
9012019,23:00,00:00,0,111
10012019,00:00,01:00,0,108
10012019,01:00,02:00,0,107
10012019,02:00,03:00,0,106
10012019,03:00,04:00,0,106
10012019,04:00,05:00,0,107
10012019,05:00,06:00,0,107
10012019,06:00,07:00,0,107
10012019,07:00,08:00,0,106
10012019,08:00,09:00,0,105
10012019,09:00,10:00,0,105
10012019,10:00,11:00,0,106
10012019,11:00,12:00,0,107
10012019,12:00,13:00,0,108
10012019,13:00,14:00,0,108
10012019,14:00,15:00,0,108
10012019,15:00,16:00,0,108
10012019,16:00,17:00,0,109
10012019,17:00,18:00,0,107
10012019,18:00,19:00,0,107
10012019,19:00,20:00,0,106
10012019,20:00,21:00,0,109
10012019,21:00,22:00,0,106
10012019,22:00,23:00,0,109
10012019,23:00,00:00,0,107
11012019,00:00,01:00,0,107
11012019,01:00,02:00,0,108
11012019,02:00,03:00,0,107
11012019,03:00,04:00,0,106
11012019,04:00,05:00,0,106
11012019,05:00,06:00,0,105
11012019,06:00,07:00,0,105
11012019,07:00,08:00,0,105
11012019,08:00,09:00,0,106
11012019,09:00,10:00,0,108
11012019,10:00,11:00,0,110
11012019,11:00,12:00,0,108
11012019,12:00,13:00,0,110
11012019,13:00,14:00,0,109
11012019,14:00,15:00,0,106
11012019,15:00,16:00,0,105
11012019,16:00,17:00,0,106
11012019,17:00,18:00,0,106
11012019,18:00,19:00,0,109
11012019,19:00,20:00,0,107
11012019,20:00,21:00,0,105
11012019,21:00,22:00,0,106
11012019,22:00,23:00,0,108
11012019,23:00,00:00,0,108
12012019,00:00,01:00,0,108
12012019,01:00,02:00,0,108
12012019,02:00,03:00,0,108
12012019,03:00,04:00,0,108
12012019,04:00,05:00,0,107
12012019,05:00,06:00,0,107
12012019,06:00,07:00,0,109
