Timestamp,11WD8JAEN1L---AD,11WD8JAEN1L---BB,11WD8JAEN1L---C9,11WD8JAEN1L---D7,11WD8JAEN1L---E5,11WD8JAEN1L---F3
2022-01-05 04:00:00,501.0,385.0,503.0,500.0,,
2022-01-05 05:00:00,501.0,385.0,503.0,500.0,,
2022-01-05 06:00:00,501.0,385.0,503.0,500.0,,
2022-01-05 07:00:00,501.0,385.0,503.0,500.0,,
2022-01-05 08:00:00,501.0,385.0,503.0,500.0,,
2022-01-05 09:00:00,498.0,407.0,498.0,492.0,,
2022-01-05 10:00:00,400.0,413.0,402.0,380.0,,
2022-01-05 11:00:00,459.0,416.0,465.0,440.0,,
2022-01-05 12:00:00,435.0,422.0,412.0,354.0,,
2022-01-05 13:00:00,457.0,435.0,439.0,378.0,,
2022-01-05 14:00:00,495.0,430.0,499.0,481.0,,
2022-01-05 15:00:00,493.0,428.0,498.0,482.0,,
2022-01-05 16:00:00,495.0,419.0,498.0,480.0,,
2022-01-05 17:00:00,495.0,414.0,500.0,481.0,,
2022-01-05 18:00:00,494.0,420.0,502.0,494.0,,
2022-01-05 19:00:00,493.0,416.0,498.0,496.0,,
2022-01-05 20:00:00,497.0,430.0,501.0,487.0,,
2022-01-05 21:00:00,454.0,421.0,432.0,380.0,,
2022-01-05 22:00:00,490.0,414.0,483.0,435.0,,
2022-01-05 23:00:00,500.0,420.0,480.0,427.0,,
2022-01-06 00:00:00,375.0,418.0,385.0,311.0,,
2022-01-06 01:00:00,344.0,407.0,380.0,306.0,,
2022-01-06 02:00:00,340.0,401.0,381.0,306.0,,
2022-01-06 03:00:00,352.0,381.0,395.0,308.0,,
2022-01-06 04:00:00,346.0,373.0,381.0,342.0,,
2022-01-06 05:00:00,341.0,367.0,377.0,335.0,,
2022-01-06 06:00:00,344.0,368.0,405.0,341.0,,
2022-01-06 07:00:00,343.0,331.0,449.0,358.0,,
2022-01-06 08:00:00,347.0,354.0,443.0,356.0,,
2022-01-06 09:00:00,339.0,366.0,442.0,364.0,,
2022-01-06 10:00:00,353.0,348.0,442.0,366.0,,
2022-01-06 11:00:00,365.0,340.0,443.0,357.0,,
2022-01-06 12:00:00,361.0,327.0,442.0,355.0,,
2022-01-06 13:00:00,361.0,332.0,443.0,365.0,,
2022-01-06 14:00:00,362.0,322.0,443.0,367.0,,
2022-01-06 15:00:00,363.0,312.0,444.0,358.0,,
2022-01-06 16:00:00,363.0,287.0,444.0,361.0,,
2022-01-06 17:00:00,361.0,286.0,444.0,353.0,,
2022-01-06 18:00:00,361.0,279.0,443.0,365.0,,
2022-01-06 19:00:00,361.0,325.0,442.0,365.0,,
2022-01-06 20:00:00,354.0,318.0,436.0,356.0,,
2022-01-06 21:00:00,370.0,306.0,441.0,357.0,,
2022-01-06 22:00:00,361.0,325.0,441.0,342.0,,
2022-01-06 23:00:00,344.0,335.0,442.0,342.0,,
2022-01-07 00:00:00,459.0,396.0,478.0,467.0,,
2022-01-07 01:00:00,493.0,439.0,497.0,478.0,,
2022-01-07 02:00:00,410.0,431.0,390.0,344.0,,
2022-01-07 03:00:00,351.0,410.0,350.0,301.0,,
2022-01-07 04:00:00,359.0,408.0,351.0,307.0,,
2022-01-07 05:00:00,467.0,414.0,436.0,410.0,,
2022-01-07 06:00:00,458.0,399.0,441.0,384.0,,
2022-01-07 07:00:00,341.0,396.0,425.0,326.0,,
2022-01-07 08:00:00,355.0,306.0,439.0,338.0,,
2022-01-07 09:00:00,369.0,294.0,440.0,339.0,,
2022-01-07 10:00:00,371.0,288.0,442.0,341.0,,
2022-01-07 11:00:00,359.0,364.0,442.0,342.0,,
2022-01-07 12:00:00,433.0,433.0,457.0,403.0,,
2022-01-07 13:00:00,375.0,425.0,443.0,346.0,,
2022-01-07 14:00:00,441.0,419.0,444.0,367.0,,
2022-01-07 15:00:00,471.0,421.0,498.0,459.0,,
2022-01-07 16:00:00,501.0,444.0,500.0,498.0,,
2022-01-07 17:00:00,502.0,437.0,497.0,496.0,,
2022-01-07 18:00:00,501.0,449.0,500.0,496.0,,
2022-01-07 19:00:00,502.0,438.0,499.0,497.0,,
2022-01-07 20:00:00,501.0,436.0,499.0,499.0,,
2022-01-07 21:00:00,503.0,429.0,500.0,497.0,,
2022-01-07 22:00:00,498.0,418.0,500.0,495.0,,
2022-01-07 23:00:00,502.0,417.0,503.0,499.0,,
2022-01-08 00:00:00,497.0,434.0,494.0,494.0,,
2022-01-08 01:00:00,499.0,433.0,497.0,495.0,,
2022-01-08 02:00:00,501.0,440.0,498.0,486.0,,
2022-01-08 03:00:00,502.0,438.0,499.0,491.0,,
2022-01-08 04:00:00,500.0,447.0,499.0,496.0,,
2022-01-08 05:00:00,488.0,441.0,487.0,483.0,,
2022-01-08 06:00:00,497.0,439.0,497.0,492.0,,
2022-01-08 07:00:00,497.0,445.0,498.0,499.0,,
2022-01-08 08:00:00,478.0,425.0,479.0,480.0,,
2022-01-08 09:00:00,497.0,441.0,499.0,500.0,,
2022-01-08 10:00:00,499.0,444.0,499.0,501.0,,
2022-01-08 11:00:00,503.0,441.0,498.0,501.0,,
2022-01-08 12:00:00,477.0,452.0,495.0,477.0,,
2022-01-08 13:00:00,471.0,447.0,490.0,476.0,,
2022-01-08 14:00:00,476.0,440.0,495.0,485.0,,
2022-01-08 15:00:00,495.0,452.0,500.0,489.0,,
2022-01-08 16:00:00,491.0,450.0,494.0,459.0,,
2022-01-08 17:00:00,498.0,453.0,496.0,440.0,,
2022-01-08 18:00:00,498.0,464.0,501.0,453.0,,
2022-01-08 19:00:00,494.0,464.0,495.0,441.0,,
2022-01-08 20:00:00,481.0,480.0,456.0,401.0,,
2022-01-08 21:00:00,463.0,480.0,439.0,382.0,,
2022-01-08 22:00:00,467.0,483.0,454.0,408.0,,
2022-01-08 23:00:00,298.0,414.0,297.0,291.0,,
2022-01-09 00:00:00,305.0,424.0,307.0,295.0,,
2022-01-09 01:00:00,302.0,421.0,303.0,297.0,,
2022-01-09 02:00:00,304.0,398.0,306.0,296.0,,
2022-01-09 03:00:00,309.0,406.0,310.0,296.0,,
2022-01-09 04:00:00,324.0,407.0,326.0,296.0,,
2022-01-09 05:00:00,330.0,405.0,334.0,296.0,,
2022-01-09 06:00:00,295.0,392.0,299.0,299.0,,
2022-01-09 07:00:00,331.0,405.0,332.0,299.0,,
2022-01-09 08:00:00,309.0,443.0,306.0,304.0,,
2022-01-09 09:00:00,442.0,470.0,417.0,365.0,,
2022-01-09 10:00:00,498.0,468.0,501.0,494.0,,
2022-01-09 11:00:00,502.0,472.0,502.0,493.0,,
2022-01-09 12:00:00,497.0,479.0,475.0,419.0,,
2022-01-09 13:00:00,498.0,481.0,501.0,495.0,,
2022-01-09 14:00:00,500.0,476.0,501.0,485.0,,
2022-01-09 15:00:00,423.0,476.0,464.0,422.0,,
2022-01-09 16:00:00,352.0,473.0,441.0,385.0,,
2022-01-09 17:00:00,364.0,477.0,409.0,391.0,,
2022-01-09 18:00:00,380.0,483.0,399.0,386.0,,
2022-01-09 19:00:00,386.0,480.0,397.0,387.0,,
2022-01-09 20:00:00,391.0,482.0,377.0,386.0,,
2022-01-09 21:00:00,393.0,482.0,398.0,373.0,,
2022-01-09 22:00:00,418.0,481.0,438.0,384.0,,
2022-01-09 23:00:00,464.0,482.0,471.0,414.0,,
2022-01-10 00:00:00,496.0,479.0,498.0,491.0,,
2022-01-10 01:00:00,496.0,478.0,499.0,495.0,,
2022-01-10 02:00:00,496.0,479.0,499.0,496.0,,
2022-01-10 03:00:00,500.0,482.0,500.0,495.0,,
2022-01-10 04:00:00,497.0,482.0,500.0,495.0,,
2022-01-10 05:00:00,498.0,481.0,501.0,497.0,,
2022-01-10 06:00:00,499.0,476.0,501.0,498.0,,
2022-01-10 07:00:00,500.0,473.0,499.0,497.0,,
2022-01-10 08:00:00,498.0,430.0,501.0,497.0,,
2022-01-10 09:00:00,499.0,430.0,502.0,497.0,,
2022-01-10 10:00:00,500.0,426.0,503.0,495.0,,
2022-01-10 11:00:00,503.0,413.0,502.0,495.0,,
2022-01-10 12:00:00,504.0,415.0,502.0,496.0,,
2022-01-10 13:00:00,504.0,421.0,502.0,493.0,,
2022-01-10 14:00:00,505.0,415.0,502.0,497.0,,
2022-01-10 15:00:00,504.0,426.0,501.0,473.0,,
2022-01-10 16:00:00,501.0,445.0,503.0,496.0,,
2022-01-10 17:00:00,504.0,448.0,503.0,497.0,,
2022-01-10 18:00:00,501.0,453.0,501.0,496.0,,
2022-01-10 19:00:00,503.0,444.0,501.0,496.0,,
2022-01-10 20:00:00,501.0,451.0,501.0,497.0,,
2022-01-10 21:00:00,495.0,450.0,497.0,494.0,,
2022-01-10 22:00:00,499.0,448.0,498.0,496.0,,
2022-01-10 23:00:00,498.0,435.0,499.0,497.0,,
2022-01-11 00:00:00,498.0,438.0,499.0,484.0,,
2022-01-11 01:00:00,499.0,438.0,502.0,497.0,,
2022-01-11 02:00:00,501.0,444.0,503.0,499.0,,
2022-01-11 03:00:00,502.0,448.0,501.0,498.0,,
2022-01-11 04:00:00,501.0,441.0,500.0,497.0,,
2022-01-11 05:00:00,500.0,443.0,499.0,501.0,,
2022-01-11 06:00:00,500.0,435.0,498.0,498.0,,
2022-01-11 07:00:00,501.0,436.0,499.0,500.0,,
2022-01-11 08:00:00,499.0,452.0,498.0,499.0,,
2022-01-11 09:00:00,500.0,439.0,498.0,500.0,,
2022-01-11 10:00:00,497.0,431.0,498.0,500.0,,
2022-01-11 11:00:00,500.0,428.0,497.0,500.0,,
2022-01-11 12:00:00,499.0,436.0,497.0,498.0,,
2022-01-11 13:00:00,503.0,447.0,501.0,500.0,,
2022-01-11 14:00:00,502.0,434.0,501.0,501.0,,
2022-01-11 15:00:00,503.0,437.0,501.0,502.0,,
2022-01-11 16:00:00,503.0,431.0,500.0,499.0,,
2022-01-11 17:00:00,502.0,426.0,500.0,499.0,,
2022-01-11 18:00:00,497.0,428.0,501.0,502.0,,
2022-01-11 19:00:00,498.0,437.0,500.0,502.0,,
2022-01-11 20:00:00,502.0,449.0,498.0,495.0,,
2022-01-11 21:00:00,501.0,448.0,498.0,477.0,,
2022-01-11 22:00:00,503.0,439.0,501.0,486.0,,
2022-01-11 23:00:00,500.0,434.0,499.0,486.0,,
2022-01-12 00:00:00,500.0,435.0,498.0,501.0,,
2022-01-12 01:00:00,501.0,437.0,498.0,501.0,,
2022-01-12 02:00:00,499.0,434.0,498.0,498.0,,
2022-01-12 03:00:00,500.0,437.0,499.0,500.0,,
2022-01-12 04:00:00,502.0,435.0,497.0,501.0,,
2022-01-12 05:00:00,500.0,443.0,498.0,501.0,,
2022-01-12 06:00:00,499.0,440.0,498.0,502.0,,
2022-01-12 07:00:00,499.0,442.0,499.0,501.0,,
2022-01-12 08:00:00,500.0,453.0,497.0,500.0,,
2022-01-12 09:00:00,500.0,458.0,497.0,500.0,,
2022-01-12 10:00:00,500.0,461.0,496.0,501.0,,
2022-01-12 11:00:00,500.0,454.0,497.0,499.0,,
2022-01-12 12:00:00,499.0,449.0,498.0,499.0,,
2022-01-12 13:00:00,501.0,455.0,498.0,498.0,,
2022-01-12 14:00:00,501.0,450.0,498.0,500.0,,
2022-01-12 15:00:00,503.0,448.0,500.0,501.0,,
2022-01-12 16:00:00,502.0,448.0,499.0,499.0,,
2022-01-12 17:00:00,501.0,443.0,499.0,501.0,,
2022-01-12 18:00:00,500.0,455.0,499.0,501.0,,
2022-01-12 19:00:00,501.0,446.0,497.0,501.0,,
2022-01-12 20:00:00,501.0,450.0,499.0,499.0,,
2022-01-12 21:00:00,500.0,445.0,499.0,500.0,,
2022-01-12 22:00:00,501.0,443.0,499.0,500.0,,
2022-01-12 23:00:00,498.0,438.0,498.0,499.0,,
2022-01-13 00:00:00,500.0,444.0,499.0,498.0,,
2022-01-13 01:00:00,499.0,447.0,495.0,494.0,,
2022-01-13 02:00:00,486.0,447.0,464.0,408.0,,
2022-01-13 03:00:00,500.0,466.0,499.0,496.0,,
2022-01-13 04:00:00,501.0,449.0,497.0,495.0,,
2022-01-13 05:00:00,501.0,454.0,496.0,496.0,,
2022-01-13 06:00:00,500.0,454.0,497.0,498.0,,
2022-01-13 07:00:00,499.0,454.0,498.0,499.0,,
2022-01-13 08:00:00,500.0,448.0,498.0,498.0,,
2022-01-13 09:00:00,500.0,447.0,497.0,485.0,,
2022-01-13 10:00:00,498.0,461.0,497.0,486.0,,
2022-01-13 11:00:00,501.0,472.0,498.0,484.0,,
2022-01-13 12:00:00,500.0,456.0,496.0,498.0,,
2022-01-13 13:00:00,476.0,453.0,456.0,409.0,,
2022-01-13 14:00:00,403.0,450.0,377.0,337.0,,
2022-01-13 15:00:00,412.0,454.0,392.0,339.0,,
2022-01-13 16:00:00,419.0,449.0,396.0,343.0,,
2022-01-13 17:00:00,411.0,444.0,388.0,339.0,,
2022-01-13 18:00:00,400.0,458.0,377.0,340.0,,
2022-01-13 19:00:00,413.0,454.0,390.0,340.0,,
2022-01-13 20:00:00,416.0,462.0,393.0,342.0,,
2022-01-13 21:00:00,414.0,469.0,392.0,341.0,,
2022-01-13 22:00:00,409.0,459.0,387.0,335.0,,
2022-01-13 23:00:00,405.0,458.0,381.0,334.0,,
2022-01-14 00:00:00,390.0,465.0,373.0,341.0,,
2022-01-14 01:00:00,358.0,427.0,353.0,339.0,,
2022-01-14 02:00:00,360.0,407.0,353.0,339.0,,
2022-01-14 03:00:00,365.0,405.0,357.0,342.0,,
2022-01-14 04:00:00,364.0,433.0,357.0,343.0,,
2022-01-14 05:00:00,407.0,459.0,386.0,339.0,,
2022-01-14 06:00:00,362.0,453.0,366.0,339.0,,
2022-01-14 07:00:00,339.0,421.0,373.0,343.0,,
2022-01-14 08:00:00,339.0,427.0,362.0,342.0,,
2022-01-14 09:00:00,340.0,411.0,362.0,340.0,,
2022-01-14 10:00:00,338.0,418.0,356.0,341.0,,
2022-01-14 11:00:00,339.0,415.0,342.0,342.0,,
2022-01-14 12:00:00,357.0,395.0,343.0,343.0,,
2022-01-14 13:00:00,344.0,427.0,341.0,341.0,,
2022-01-14 14:00:00,358.0,452.0,343.0,342.0,,
2022-01-14 15:00:00,395.0,431.0,410.0,385.0,,
2022-01-14 16:00:00,476.0,470.0,496.0,497.0,,
2022-01-14 17:00:00,442.0,454.0,474.0,421.0,,
2022-01-14 18:00:00,432.0,473.0,409.0,353.0,,
2022-01-14 19:00:00,496.0,477.0,496.0,483.0,,
2022-01-14 20:00:00,491.0,466.0,350.0,445.0,,
2022-01-14 21:00:00,492.0,466.0,210.0,494.0,,
2022-01-14 22:00:00,495.0,467.0,229.0,495.0,,
2022-01-14 23:00:00,491.0,463.0,184.0,413.0,,
2022-01-15 00:00:00,355.0,448.0,161.0,332.0,,
2022-01-15 01:00:00,330.0,442.0,160.0,332.0,,
2022-01-15 02:00:00,348.0,448.0,159.0,327.0,,
2022-01-15 03:00:00,341.0,451.0,160.0,330.0,,
2022-01-15 04:00:00,485.0,457.0,219.0,478.0,,
2022-01-15 05:00:00,494.0,460.0,230.0,497.0,,
2022-01-15 06:00:00,496.0,450.0,232.0,496.0,,
2022-01-15 07:00:00,496.0,454.0,230.0,496.0,,
2022-01-15 08:00:00,498.0,443.0,230.0,497.0,,
2022-01-15 09:00:00,501.0,448.0,231.0,500.0,,
2022-01-15 10:00:00,500.0,451.0,231.0,500.0,,
2022-01-15 11:00:00,499.0,451.0,232.0,502.0,,
2022-01-15 12:00:00,500.0,451.0,231.0,501.0,,
2022-01-15 13:00:00,502.0,453.0,231.0,501.0,,
2022-01-15 14:00:00,502.0,451.0,231.0,502.0,,
2022-01-15 15:00:00,501.0,445.0,231.0,502.0,,
2022-01-15 16:00:00,502.0,451.0,233.0,501.0,,
2022-01-15 17:00:00,501.0,453.0,231.0,501.0,,
2022-01-15 18:00:00,500.0,454.0,232.0,503.0,,
2022-01-15 19:00:00,502.0,456.0,231.0,502.0,,
2022-01-15 20:00:00,500.0,479.0,229.0,499.0,,
2022-01-15 21:00:00,501.0,480.0,231.0,500.0,,
2022-01-15 22:00:00,501.0,480.0,231.0,499.0,,
2022-01-15 23:00:00,504.0,482.0,229.0,503.0,,
2022-01-16 00:00:00,503.0,479.0,232.0,502.0,,
2022-01-16 01:00:00,501.0,482.0,228.0,502.0,,
2022-01-16 02:00:00,499.0,479.0,230.0,501.0,,
2022-01-16 03:00:00,490.0,473.0,231.0,492.0,,
2022-01-16 04:00:00,492.0,485.0,228.0,500.0,,
2022-01-16 05:00:00,488.0,486.0,230.0,501.0,,
2022-01-16 06:00:00,488.0,478.0,230.0,496.0,,
