Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2022-01-01 00:00:00,,0.0,0.0,188.0,245.0,6.0
2022-01-01 01:00:00,,0.0,0.0,186.0,246.0,5.0
2022-01-01 02:00:00,,0.0,0.0,186.0,246.0,5.0
2022-01-01 03:00:00,,0.0,0.0,188.0,247.0,5.0
2022-01-01 04:00:00,,0.0,0.0,190.0,261.0,5.0
2022-01-01 05:00:00,,0.0,0.0,190.0,259.0,5.0
2022-01-01 06:00:00,,0.0,0.0,191.0,259.0,5.0
2022-01-01 07:00:00,,0.0,0.0,192.0,260.0,5.0
2022-01-01 08:00:00,,0.0,0.0,194.0,260.0,5.0
2022-01-01 09:00:00,,0.0,0.0,201.0,253.0,6.0
2022-01-01 10:00:00,,0.0,0.0,199.0,248.0,6.0
2022-01-01 11:00:00,,0.0,0.0,192.0,247.0,6.0
2022-01-01 12:00:00,,0.0,0.0,191.0,247.0,6.0
2022-01-01 13:00:00,,0.0,0.0,189.0,247.0,6.0
2022-01-01 14:00:00,,0.0,0.0,189.0,248.0,6.0
2022-01-01 15:00:00,,0.0,0.0,188.0,248.0,6.0
2022-01-01 16:00:00,,0.0,0.0,191.0,295.0,5.0
2022-01-01 17:00:00,,0.0,0.0,199.0,612.0,0.0
2022-01-01 18:00:00,,0.0,0.0,199.0,631.0,0.0
2022-01-01 19:00:00,,0.0,0.0,196.0,472.0,3.0
2022-01-01 20:00:00,,0.0,0.0,188.0,253.0,8.0
2022-01-01 21:00:00,,0.0,0.0,187.0,247.0,6.0
2022-01-01 22:00:00,,0.0,0.0,187.0,248.0,6.0
2022-01-01 23:00:00,,0.0,0.0,186.0,247.0,4.0
2022-01-02 00:00:00,,0.0,0.0,184.0,248.0,6.0
2022-01-02 01:00:00,,0.0,0.0,187.0,247.0,6.0
2022-01-02 02:00:00,,0.0,0.0,188.0,247.0,5.0
2022-01-02 03:00:00,,0.0,0.0,189.0,247.0,7.0
2022-01-02 04:00:00,,0.0,0.0,190.0,247.0,6.0
2022-01-02 05:00:00,,0.0,0.0,188.0,247.0,6.0
2022-01-02 06:00:00,,0.0,0.0,186.0,247.0,7.0
2022-01-02 07:00:00,,0.0,0.0,184.0,247.0,6.0
2022-01-02 08:00:00,,0.0,0.0,182.0,246.0,6.0
2022-01-02 09:00:00,,0.0,0.0,191.0,249.0,7.0
2022-01-02 10:00:00,,0.0,0.0,190.0,249.0,7.0
2022-01-02 11:00:00,,0.0,0.0,186.0,247.0,7.0
2022-01-02 12:00:00,,0.0,0.0,184.0,256.0,6.0
2022-01-02 13:00:00,,0.0,0.0,185.0,261.0,6.0
2022-01-02 14:00:00,,0.0,0.0,187.0,261.0,7.0
2022-01-02 15:00:00,,0.0,0.0,192.0,261.0,6.0
2022-01-02 16:00:00,,0.0,0.0,189.0,254.0,7.0
2022-01-02 17:00:00,,0.0,0.0,190.0,255.0,7.0
2022-01-02 18:00:00,,0.0,0.0,188.0,255.0,6.0
2022-01-02 19:00:00,,0.0,0.0,187.0,254.0,6.0
2022-01-02 20:00:00,,0.0,0.0,193.0,247.0,7.0
2022-01-02 21:00:00,,0.0,0.0,190.0,249.0,7.0
2022-01-02 22:00:00,,0.0,0.0,189.0,247.0,7.0
2022-01-02 23:00:00,,0.0,0.0,198.0,247.0,7.0
2022-01-03 00:00:00,,0.0,0.0,189.0,247.0,7.0
2022-01-03 01:00:00,,0.0,0.0,187.0,247.0,7.0
2022-01-03 02:00:00,,0.0,0.0,187.0,247.0,7.0
2022-01-03 03:00:00,,0.0,0.0,188.0,248.0,7.0
2022-01-03 04:00:00,,0.0,0.0,189.0,246.0,3.0
