Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2020-01-05 12:00:00,219,0,0,0,0,632
2020-01-05 13:00:00,191,0,0,0,0,641
2020-01-05 14:00:00,263,0,0,0,0,651
2020-01-05 15:00:00,317,0,0,0,0,655
2020-01-05 16:00:00,316,0,0,0,0,654
2020-01-05 17:00:00,315,0,0,0,0,653
2020-01-05 18:00:00,309,0,0,0,0,649
2020-01-05 19:00:00,306,0,0,0,0,654
2020-01-05 20:00:00,311,0,0,0,0,654
2020-01-05 21:00:00,316,0,0,0,0,655
2020-01-05 22:00:00,318,0,0,0,0,656
2020-01-05 23:00:00,260,0,0,0,0,501
2020-01-06 00:00:00,193,0,0,0,0,306
2020-01-06 01:00:00,192,0,0,0,0,292
2020-01-06 02:00:00,194,0,0,0,0,311
2020-01-06 03:00:00,192,0,0,0,0,294
2020-01-06 04:00:00,192,0,0,0,0,504
2020-01-06 05:00:00,230,0,0,0,0,654
2020-01-06 06:00:00,309,0,0,0,0,647
2020-01-06 07:00:00,314,0,0,0,0,650
2020-01-06 08:00:00,311,0,0,0,0,651
2020-01-06 09:00:00,312,0,0,0,0,652
2020-01-06 10:00:00,312,0,0,0,0,654
2020-01-06 11:00:00,314,0,0,0,0,655
2020-01-06 12:00:00,312,0,0,0,0,652
2020-01-06 13:00:00,315,0,0,0,0,655
2020-01-06 14:00:00,317,0,0,0,0,656
2020-01-06 15:00:00,315,0,0,0,0,653
2020-01-06 16:00:00,316,0,0,0,0,652
2020-01-06 17:00:00,318,0,0,0,0,654
2020-01-06 18:00:00,320,0,0,0,0,656
2020-01-06 19:00:00,318,0,0,0,0,655
2020-01-06 20:00:00,306,0,0,0,0,649
2020-01-06 21:00:00,203,0,0,0,0,648
2020-01-06 22:00:00,195,0,0,0,0,643
2020-01-06 23:00:00,192,0,0,0,0,625
2020-01-07 00:00:00,190,0,0,0,0,637
2020-01-07 01:00:00,192,0,0,0,0,595
2020-01-07 02:00:00,193,0,0,0,0,502
2020-01-07 03:00:00,194,0,0,0,0,461
2020-01-07 04:00:00,192,0,0,0,69,599
2020-01-07 05:00:00,190,0,0,0,235,652
2020-01-07 06:00:00,262,0,25,0,459,636
2020-01-07 07:00:00,316,0,189,0,658,652
2020-01-07 08:00:00,318,0,191,0,660,663
2020-01-07 09:00:00,319,0,192,0,662,660
2020-01-07 10:00:00,318,0,192,0,658,662
2020-01-07 11:00:00,317,0,192,0,657,662
2020-01-07 12:00:00,318,0,192,0,657,662
2020-01-07 13:00:00,316,0,191,0,658,662
2020-01-07 14:00:00,316,0,191,0,659,659
2020-01-07 15:00:00,318,0,191,0,658,663
2020-01-07 16:00:00,316,0,192,0,658,662
2020-01-07 17:00:00,317,0,193,0,658,663
2020-01-07 18:00:00,319,0,192,0,659,663
2020-01-07 19:00:00,317,0,150,0,659,661
2020-01-07 20:00:00,310,0,0,0,658,631
2020-01-07 21:00:00,210,0,0,0,658,659
2020-01-07 22:00:00,192,0,0,0,659,661
2020-01-07 23:00:00,191,0,0,0,522,513
2020-01-08 00:00:00,190,0,0,0,319,299
2020-01-08 01:00:00,192,0,0,0,309,291
2020-01-08 02:00:00,192,0,0,0,309,291
2020-01-08 03:00:00,192,0,0,0,280,291
2020-01-08 04:00:00,191,0,0,0,267,297
2020-01-08 05:00:00,191,0,0,0,372,342
2020-01-08 06:00:00,204,0,0,0,453,544
2020-01-08 07:00:00,300,0,0,0,597,633
2020-01-08 08:00:00,317,0,0,0,657,639
2020-01-08 09:00:00,319,0,0,0,656,638
2020-01-08 10:00:00,317,0,2,0,657,631
2020-01-08 11:00:00,316,0,173,0,650,649
2020-01-08 12:00:00,318,122,185,0,635,658
2020-01-08 13:00:00,318,1,186,0,624,658
2020-01-08 14:00:00,316,58,186,0,631,658
2020-01-08 15:00:00,317,191,187,0,642,660
2020-01-08 16:00:00,316,192,187,0,661,663
2020-01-08 17:00:00,317,193,187,0,656,660
2020-01-08 18:00:00,317,194,187,0,659,657
2020-01-08 19:00:00,316,194,187,0,662,660
2020-01-08 20:00:00,286,195,188,0,661,661
2020-01-08 21:00:00,261,195,187,0,659,661
2020-01-08 22:00:00,264,168,162,0,658,657
2020-01-08 23:00:00,274,0,0,0,624,634
2020-01-09 00:00:00,272,0,0,0,652,661
2020-01-09 01:00:00,273,0,0,0,654,662
2020-01-09 02:00:00,278,0,0,0,654,660
2020-01-09 03:00:00,257,0,0,0,657,657
2020-01-09 04:00:00,203,0,0,0,660,658
2020-01-09 05:00:00,235,0,0,0,661,661
2020-01-09 06:00:00,275,0,0,0,658,655
2020-01-09 07:00:00,295,0,0,0,655,654
2020-01-09 08:00:00,311,0,0,0,651,653
2020-01-09 09:00:00,314,0,0,0,660,655
2020-01-09 10:00:00,315,0,0,0,657,654
2020-01-09 11:00:00,314,0,0,0,655,654
2020-01-09 12:00:00,314,0,0,0,655,655
2020-01-09 13:00:00,242,0,0,0,650,611
2020-01-09 14:00:00,191,0,0,0,657,576
2020-01-09 15:00:00,191,0,0,0,658,604
2020-01-09 16:00:00,221,0,0,0,655,654
2020-01-09 17:00:00,311,0,0,0,657,658
2020-01-09 18:00:00,318,0,0,0,656,659
2020-01-09 19:00:00,317,0,0,0,657,659
2020-01-09 20:00:00,310,0,0,0,657,650
2020-01-09 21:00:00,212,0,0,0,545,464
2020-01-09 22:00:00,189,0,0,0,316,293
2020-01-09 23:00:00,190,0,0,0,248,252
2020-01-10 00:00:00,190,0,0,0,246,252
2020-01-10 01:00:00,190,0,0,0,246,251
2020-01-10 02:00:00,187,0,0,0,248,251
2020-01-10 03:00:00,186,0,0,0,301,252
2020-01-10 04:00:00,190,0,0,0,402,277
2020-01-10 05:00:00,191,0,0,0,520,399
2020-01-10 06:00:00,211,0,0,0,612,565
2020-01-10 07:00:00,300,0,0,0,629,658
2020-01-10 08:00:00,312,0,0,0,660,656
2020-01-10 09:00:00,314,0,0,0,657,658
