Date;Start;End;Generation_DE Maschine 11 [MW] Original resolutions;Generation_DE Vianden M6 [MW] Original resolutions;Generation_DE Vianden M7 [MW] Original resolutions;Generation_DE Vianden M8 [MW] Original resolutions;Generation_DE Vianden M9 [MW] Original resolutions;Generation_DE Vianden M1 [MW] Original resolutions;Generation_DE Vianden M2 [MW] Original resolutions;Generation_DE Vianden M3 [MW] Original resolutions;Generation_DE Vianden M4 [MW] Original resolutions;Generation_DE Vianden M10 [MW] Original resolutions;Generation_DE Vianden M5 [MW] Original resolutions
01.01.2016;00:00;01:00;1;50;48;49;0;0;0;0;0;0;49
01.01.2016;01:00;02:00;1;80;77;79;0;0;0;0;0;0;79
01.01.2016;02:00;03:00;1;74;71;73;0;0;0;0;0;0;73
01.01.2016;03:00;04:00;0;76;74;76;0;0;0;0;0;0;76
01.01.2016;04:00;05:00;0;52;49;50;0;0;0;0;0;0;50
01.01.2016;05:00;06:00;0;46;43;44;0;0;0;0;0;0;44
01.01.2016;06:00;07:00;0;50;47;48;0;0;0;0;0;0;48
01.01.2016;07:00;08:00;0;87;85;86;0;0;0;0;0;0;86
01.01.2016;08:00;09:00;0;61;58;60;0;0;0;0;0;0;60
01.01.2016;09:00;10:00;0;79;77;78;0;0;0;0;0;0;78
01.01.2016;10:00;11:00;0;64;61;63;0;0;0;0;0;0;63
01.01.2016;11:00;12:00;0;72;70;71;0;0;0;0;0;0;71
01.01.2016;12:00;13:00;0;96;94;95;0;0;0;0;0;0;95
01.01.2016;13:00;14:00;0;24;21;23;0;0;0;0;0;0;23
01.01.2016;14:00;15:00;1;59;56;58;0;0;0;0;0;0;58
01.01.2016;15:00;16:00;1;42;39;40;0;0;0;0;0;0;40
01.01.2016;16:00;17:00;1;37;34;35;0;0;0;0;0;0;35
01.01.2016;17:00;18:00;1;44;41;43;0;0;0;0;0;0;43
01.01.2016;18:00;19:00;1;23;20;21;0;0;0;0;0;0;21
01.01.2016;19:00;20:00;1;25;24;24;0;0;0;0;0;0;25
01.01.2016;20:00;21:00;0;12;10;13;0;0;0;0;0;0;12
01.01.2016;21:00;22:00;0;0;0;0;0;19;18;20;18;0;0
01.01.2016;22:00;23:00;0;0;0;0;0;21;20;21;20;0;0
01.01.2016;23:00;00:00;1;0;0;0;0;49;48;51;49;0;0
02.01.2016;00:00;01:00;1;0;0;0;0;44;43;46;44;0;0
02.01.2016;01:00;02:00;1;0;0;0;0;38;37;39;38;0;0
02.01.2016;02:00;03:00;1;0;0;0;0;35;34;36;35;0;0
02.01.2016;03:00;04:00;0;0;0;0;0;48;47;49;48;0;0
02.01.2016;04:00;05:00;0;0;0;0;0;40;39;41;39;0;0
02.01.2016;05:00;06:00;0;0;0;0;0;44;43;45;44;0;0
02.01.2016;06:00;07:00;1;0;0;0;0;41;40;42;41;0;0
02.01.2016;07:00;08:00;1;1;3;4;0;65;64;66;65;0;1
02.01.2016;08:00;09:00;19;39;40;41;0;22;22;23;22;0;38
02.01.2016;09:00;10:00;0;8;8;8;0;49;48;50;49;0;8
02.01.2016;10:00;11:00;1;0;0;0;0;31;29;31;30;0;0
