Datum;Anfang;Ende;Generation_DE Kraftwerk Jänschwalde Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block B [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block C [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block D [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block E [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block F [MW] Originalauflösungen
05.01.2020;14:00;15:00;257;478;0;488;-;-
05.01.2020;15:00;16:00;369;476;0;456;-;-
05.01.2020;16:00;17:00;419;463;0;463;-;-
05.01.2020;17:00;18:00;460;471;0;489;-;-
05.01.2020;18:00;19:00;487;475;0;493;-;-
05.01.2020;19:00;20:00;498;479;0;492;-;-
05.01.2020;20:00;21:00;495;469;0;480;-;-
05.01.2020;21:00;22:00;491;469;0;482;-;-
05.01.2020;22:00;23:00;490;474;0;485;-;-
05.01.2020;23:00;00:00;491;462;0;475;-;-
06.01.2020;00:00;01:00;485;470;0;474;-;-
06.01.2020;01:00;02:00;470;462;0;446;-;-
06.01.2020;02:00;03:00;449;447;0;418;-;-
06.01.2020;03:00;04:00;308;387;0;300;-;-
06.01.2020;04:00;05:00;359;398;0;327;-;-
06.01.2020;05:00;06:00;452;450;0;433;-;-
06.01.2020;06:00;07:00;491;466;0;472;-;-
06.01.2020;07:00;08:00;480;448;0;452;-;-
06.01.2020;08:00;09:00;491;458;0;479;-;-
06.01.2020;09:00;10:00;486;456;0;475;-;-
06.01.2020;10:00;11:00;481;448;0;470;-;-
06.01.2020;11:00;12:00;487;461;0;474;-;-
06.01.2020;12:00;13:00;487;456;0;475;-;-
06.01.2020;13:00;14:00;484;452;0;467;-;-
06.01.2020;14:00;15:00;493;456;0;479;-;-
06.01.2020;15:00;16:00;495;439;0;485;-;-
06.01.2020;16:00;17:00;480;423;25;469;-;-
06.01.2020;17:00;18:00;479;425;99;448;-;-
06.01.2020;18:00;19:00;480;443;132;448;-;-
06.01.2020;19:00;20:00;495;453;155;478;-;-
06.01.2020;20:00;21:00;482;433;171;465;-;-
06.01.2020;21:00;22:00;482;436;171;449;-;-
06.01.2020;22:00;23:00;487;433;167;470;-;-
06.01.2020;23:00;00:00;447;405;159;416;-;-
07.01.2020;00:00;01:00;438;396;202;405;-;-
07.01.2020;01:00;02:00;402;390;338;379;-;-
07.01.2020;02:00;03:00;375;384;349;383;-;-
07.01.2020;03:00;04:00;331;365;342;308;-;-
07.01.2020;04:00;05:00;441;410;351;407;-;-
07.01.2020;05:00;06:00;443;398;441;408;-;-
07.01.2020;06:00;07:00;497;439;476;483;-;-
07.01.2020;07:00;08:00;471;422;484;437;-;-
07.01.2020;08:00;09:00;440;396;463;406;-;-
07.01.2020;09:00;10:00;496;443;491;483;-;-
07.01.2020;10:00;11:00;497;451;491;484;-;-
07.01.2020;11:00;12:00;493;434;486;478;-;-
07.01.2020;12:00;13:00;462;405;456;441;-;-
07.01.2020;13:00;14:00;454;413;475;416;-;-
07.01.2020;14:00;15:00;498;438;485;480;-;-
07.01.2020;15:00;16:00;453;410;477;420;-;-
07.01.2020;16:00;17:00;496;438;489;481;-;-
07.01.2020;17:00;18:00;497;436;489;479;-;-
07.01.2020;18:00;19:00;493;432;486;474;-;-
