Date;Start;End;Generation_DE PSW Markersbach PSS B [MW] Original resolutions;Generation_DE PSW Markersbach PSS A [MW] Original resolutions;Generation_DE PSW Markersbach PSS C [MW] Original resolutions;Generation_DE PSW Markersbach PSS D [MW] Original resolutions;Generation_DE PSW Markersbach PSS E [MW] Original resolutions;Generation_DE PSW Markersbach PSS F [MW] Original resolutions
01.01.2021;00:00;01:00;0;0;0;0;0;0
01.01.2021;01:00;02:00;0;1;0;0;0;0
01.01.2021;02:00;03:00;0;130;0;0;0;0
01.01.2021;03:00;04:00;0;3;0;0;0;0
01.01.2021;04:00;05:00;0;0;0;0;0;0
01.01.2021;05:00;06:00;0;0;0;0;0;0
01.01.2021;06:00;07:00;0;0;0;0;0;0
01.01.2021;07:00;08:00;0;0;0;0;0;0
01.01.2021;08:00;09:00;0;0;0;0;0;0
01.01.2021;09:00;10:00;0;1;0;0;0;0
01.01.2021;10:00;11:00;0;60;0;0;0;0
01.01.2021;11:00;12:00;0;0;0;0;0;0
01.01.2021;12:00;13:00;0;0;0;0;0;0
01.01.2021;13:00;14:00;0;0;0;0;0;0
01.01.2021;14:00;15:00;0;80;0;0;0;0
01.01.2021;15:00;16:00;0;80;0;0;0;0
01.01.2021;16:00;17:00;1;78;0;1;1;0
01.01.2021;17:00;18:00;142;142;142;142;143;141
01.01.2021;18:00;19:00;133;133;133;133;133;133
01.01.2021;19:00;20:00;129;127;129;127;130;129
01.01.2021;20:00;21:00;0;0;2;0;0;137
01.01.2021;21:00;22:00;0;0;0;29;0;0
01.01.2021;22:00;23:00;0;0;0;0;0;0
01.01.2021;23:00;00:00;0;0;0;0;0;88
02.01.2021;00:00;01:00;0;0;0;0;0;0
02.01.2021;01:00;02:00;0;0;0;0;0;0
02.01.2021;02:00;03:00;0;0;0;0;0;0
02.01.2021;03:00;04:00;0;0;0;0;0;0
02.01.2021;04:00;05:00;0;0;0;0;0;0
02.01.2021;05:00;06:00;0;0;0;0;0;0
02.01.2021;06:00;07:00;0;0;0;0;0;0
02.01.2021;07:00;08:00;0;1;0;0;0;0
02.01.2021;08:00;09:00;0;104;0;0;0;0
02.01.2021;09:00;10:00;0;9;0;0;0;3
02.01.2021;10:00;11:00;0;159;0;0;0;159
02.01.2021;11:00;12:00;0;99;0;0;0;0
02.01.2021;12:00;13:00;0;3;0;0;0;0
02.01.2021;13:00;14:00;0;0;0;0;0;0
02.01.2021;14:00;15:00;0;0;0;0;0;0
02.01.2021;15:00;16:00;0;1;0;0;0;1
02.01.2021;16:00;17:00;0;158;2;0;0;158
02.01.2021;17:00;18:00;158;160;160;157;161;160
02.01.2021;18:00;19:00;160;160;160;160;160;160
02.01.2021;19:00;20:00;148;147;148;148;149;147
02.01.2021;20:00;21:00;1;112;112;1;3;75
02.01.2021;21:00;22:00;0;1;2;0;0;0
02.01.2021;22:00;23:00;0;0;0;0;0;42
02.01.2021;23:00;00:00;0;0;0;0;0;60
03.01.2021;00:00;01:00;0;0;0;0;0;0
03.01.2021;01:00;02:00;0;0;0;0;0;0
03.01.2021;02:00;03:00;0;0;0;0;0;0
03.01.2021;03:00;04:00;0;0;0;0;0;0
03.01.2021;04:00;05:00;0;0;0;0;0;0
03.01.2021;05:00;06:00;0;0;0;0;0;0
03.01.2021;06:00;07:00;0;0;0;0;0;0
03.01.2021;07:00;08:00;0;0;0;0;0;1
03.01.2021;08:00;09:00;0;0;0;0;0;120
03.01.2021;09:00;10:00;0;0;0;0;0;2
03.01.2021;10:00;11:00;0;0;0;0;0;0
03.01.2021;11:00;12:00;0;0;0;0;0;0
03.01.2021;12:00;13:00;0;0;0;0;0;0
03.01.2021;13:00;14:00;0;0;0;0;0;0
03.01.2021;14:00;15:00;0;0;0;0;0;0
03.01.2021;15:00;16:00;0;0;0;0;0;0
03.01.2021;16:00;17:00;0;2;0;2;0;0
03.01.2021;17:00;18:00;2;154;0;154;2;152
03.01.2021;18:00;19:00;141;141;137;141;142;141
03.01.2021;19:00;20:00;0;37;1;136;1;136
03.01.2021;20:00;21:00;0;0;0;0;0;1
03.01.2021;21:00;22:00;0;0;0;0;0;0
03.01.2021;22:00;23:00;0;0;0;1;0;0
03.01.2021;23:00;00:00;0;0;0;75;0;0
04.01.2021;00:00;01:00;0;0;0;0;0;0
04.01.2021;01:00;02:00;0;0;0;0;0;0
04.01.2021;02:00;03:00;0;0;0;0;0;0
04.01.2021;03:00;04:00;0;0;0;0;0;0
04.01.2021;04:00;05:00;0;0;0;0;0;0
04.01.2021;05:00;06:00;0;0;0;0;0;0
04.01.2021;06:00;07:00;0;1;0;0;0;0
04.01.2021;07:00;08:00;0;158;0;0;0;0
04.01.2021;08:00;09:00;0;99;0;0;0;0
04.01.2021;09:00;10:00;0;100;0;0;0;0
04.01.2021;10:00;11:00;0;0;0;0;0;0
04.01.2021;11:00;12:00;3;40;0;0;0;0
04.01.2021;12:00;13:00;161;161;161;55;0;0
04.01.2021;13:00;14:00;151;151;149;152;0;0
04.01.2021;14:00;15:00;128;0;0;0;0;0
04.01.2021;15:00;16:00;88;2;0;0;0;0
04.01.2021;16:00;17:00;158;158;150;0;0;159
04.01.2021;17:00;18:00;146;145;146;0;0;146
04.01.2021;18:00;19:00;129;129;129;0;0;129
04.01.2021;19:00;20:00;129;69;67;0;0;130
04.01.2021;20:00;21:00;0;0;0;0;0;66
04.01.2021;21:00;22:00;0;0;0;0;0;0
04.01.2021;22:00;23:00;0;0;0;0;0;0
04.01.2021;23:00;00:00;0;0;0;0;0;64
05.01.2021;00:00;01:00;0;0;0;0;0;99
05.01.2021;01:00;02:00;0;0;0;0;0;82
05.01.2021;02:00;03:00;0;0;0;0;0;74
05.01.2021;03:00;04:00;0;0;0;0;0;44
05.01.2021;04:00;05:00;0;0;0;0;0;0
05.01.2021;05:00;06:00;0;0;0;0;0;0
05.01.2021;06:00;07:00;0;0;0;0;0;0
05.01.2021;07:00;08:00;0;0;68;0;0;0
05.01.2021;08:00;09:00;0;0;99;0;0;0
05.01.2021;09:00;10:00;0;0;98;0;0;0
05.01.2021;10:00;11:00;0;157;161;0;0;0
05.01.2021;11:00;12:00;0;146;25;0;0;0
05.01.2021;12:00;13:00;0;45;0;0;0;0
05.01.2021;13:00;14:00;0;0;0;0;0;0
05.01.2021;14:00;15:00;0;0;0;0;0;0
05.01.2021;15:00;16:00;0;1;0;0;0;2
05.01.2021;16:00;17:00;126;126;123;0;0;127
05.01.2021;17:00;18:00;149;149;149;0;0;150
05.01.2021;18:00;19:00;2;151;151;0;0;152
05.01.2021;19:00;20:00;0;127;0;0;0;75
05.01.2021;20:00;21:00;0;35;0;0;0;0
05.01.2021;21:00;22:00;0;0;0;0;0;0
05.01.2021;22:00;23:00;0;0;0;0;0;41
05.01.2021;23:00;00:00;0;0;0;0;0;62
06.01.2021;00:00;01:00;0;0;0;0;0;2
06.01.2021;01:00;02:00;0;0;0;0;0;0
06.01.2021;02:00;03:00;0;0;0;0;0;0
06.01.2021;03:00;04:00;0;0;0;0;0;0
06.01.2021;04:00;05:00;0;0;0;0;0;0
06.01.2021;05:00;06:00;0;0;0;0;0;0
06.01.2021;06:00;07:00;0;0;0;0;0;0
06.01.2021;07:00;08:00;0;0;0;0;0;91
06.01.2021;08:00;09:00;0;0;0;0;0;145
06.01.2021;09:00;10:00;0;0;0;0;0;150
06.01.2021;10:00;11:00;34;141;0;0;0;151
06.01.2021;11:00;12:00;151;151;51;0;0;151
06.01.2021;12:00;13:00;55;121;121;0;0;122
06.01.2021;13:00;14:00;0;79;1;0;0;1
06.01.2021;14:00;15:00;0;0;0;0;0;64
06.01.2021;15:00;16:00;0;0;0;0;0;107
06.01.2021;16:00;17:00;5;40;1;0;0;111
06.01.2021;17:00;18:00;136;136;136;0;0;136
06.01.2021;18:00;19:00;114;119;119;0;0;119
06.01.2021;19:00;20:00;0;133;0;0;0;26
06.01.2021;20:00;21:00;0;0;0;0;0;0
06.01.2021;21:00;22:00;0;0;0;0;0;42
06.01.2021;22:00;23:00;0;0;0;0;0;83
06.01.2021;23:00;00:00;0;0;0;0;0;70
07.01.2021;00:00;01:00;0;0;0;0;0;1
07.01.2021;01:00;02:00;0;0;0;0;0;0
07.01.2021;02:00;03:00;0;0;0;0;0;0
07.01.2021;03:00;04:00;0;0;0;0;0;0
07.01.2021;04:00;05:00;0;0;0;0;0;0
07.01.2021;05:00;06:00;0;0;0;0;0;0
07.01.2021;06:00;07:00;0;0;0;0;0;0
07.01.2021;07:00;08:00;0;0;0;0;0;0
07.01.2021;08:00;09:00;0;0;110;0;0;105
07.01.2021;09:00;10:00;0;0;9;0;0;158
07.01.2021;10:00;11:00;0;0;0;0;0;163
07.01.2021;11:00;12:00;0;0;0;0;0;159
07.01.2021;12:00;13:00;0;160;0;0;0;164
07.01.2021;13:00;14:00;0;150;0;0;0;151
07.01.2021;14:00;15:00;0;155;0;0;0;156
07.01.2021;15:00;16:00;130;136;0;0;0;136
07.01.2021;16:00;17:00;15;100;0;0;0;101
07.01.2021;17:00;18:00;15;102;0;0;0;103
07.01.2021;18:00;19:00;92;108;0;0;0;109
07.01.2021;19:00;20:00;105;105;0;0;0;106
07.01.2021;20:00;21:00;86;127;0;0;0;128
07.01.2021;21:00;22:00;9;67;44;0;0;72
07.01.2021;22:00;23:00;0;48;60;0;0;60
07.01.2021;23:00;00:00;0;0;24;0;0;54
08.01.2021;00:00;01:00;0;0;0;0;0;0
08.01.2021;01:00;02:00;0;0;0;0;0;0
08.01.2021;02:00;03:00;0;0;0;0;0;0
08.01.2021;03:00;04:00;0;0;0;0;0;0
08.01.2021;04:00;05:00;0;0;0;0;0;12
08.01.2021;05:00;06:00;0;0;0;0;0;0
08.01.2021;06:00;07:00;0;0;0;0;0;0
