Datum;Anfang;Ende;Generation_DE West 2 [MW] Originalauflösungen;Generation_DE West 1 [MW] Originalauflösungen
16.01.2017;06:00;07:00;311;308
16.01.2017;07:00;08:00;308;308
16.01.2017;08:00;09:00;308;306
16.01.2017;09:00;10:00;311;308
16.01.2017;10:00;11:00;312;307
16.01.2017;11:00;12:00;312;307
16.01.2017;12:00;13:00;313;308
16.01.2017;13:00;14:00;313;310
16.01.2017;14:00;15:00;313;315
16.01.2017;15:00;16:00;313;316
16.01.2017;16:00;17:00;304;318
16.01.2017;17:00;18:00;311;316
16.01.2017;18:00;19:00;309;313
16.01.2017;19:00;20:00;314;316
16.01.2017;20:00;21:00;314;319
16.01.2017;21:00;22:00;313;318
16.01.2017;22:00;23:00;310;313
16.01.2017;23:00;00:00;234;230
17.01.2017;00:00;01:00;215;210
17.01.2017;01:00;02:00;149;145
17.01.2017;02:00;03:00;144;145
17.01.2017;03:00;04:00;143;146
17.01.2017;04:00;05:00;157;157
17.01.2017;05:00;06:00;253;257
17.01.2017;06:00;07:00;309;308
17.01.2017;07:00;08:00;309;311
17.01.2017;08:00;09:00;308;311
17.01.2017;09:00;10:00;309;310
17.01.2017;10:00;11:00;309;305
17.01.2017;11:00;12:00;306;302
17.01.2017;12:00;13:00;308;301
17.01.2017;13:00;14:00;312;309
17.01.2017;14:00;15:00;316;317
17.01.2017;15:00;16:00;301;298
17.01.2017;16:00;17:00;324;316
17.01.2017;17:00;18:00;325;322
17.01.2017;18:00;19:00;326;322
17.01.2017;19:00;20:00;315;315
17.01.2017;20:00;21:00;313;315
17.01.2017;21:00;22:00;275;273
17.01.2017;22:00;23:00;257;259
17.01.2017;23:00;00:00;189;199
18.01.2017;00:00;01:00;142;150
18.01.2017;01:00;02:00;142;151
18.01.2017;02:00;03:00;142;149
18.01.2017;03:00;04:00;144;149
18.01.2017;04:00;05:00;190;141
18.01.2017;05:00;06:00;220;210
18.01.2017;06:00;07:00;287;296
18.01.2017;07:00;08:00;313;314
18.01.2017;08:00;09:00;312;313
18.01.2017;09:00;10:00;311;238
18.01.2017;10:00;11:00;311;136
18.01.2017;11:00;12:00;312;267
18.01.2017;12:00;13:00;312;315
18.01.2017;13:00;14:00;313;314
18.01.2017;14:00;15:00;312;313
18.01.2017;15:00;16:00;312;314
18.01.2017;16:00;17:00;313;314
18.01.2017;17:00;18:00;313;314
18.01.2017;18:00;19:00;311;312
18.01.2017;19:00;20:00;311;311
18.01.2017;20:00;21:00;312;314
18.01.2017;21:00;22:00;313;314
18.01.2017;22:00;23:00;268;252
18.01.2017;23:00;00:00;196;150
19.01.2017;00:00;01:00;75;76
19.01.2017;01:00;02:00;70;71
19.01.2017;02:00;03:00;70;72
19.01.2017;03:00;04:00;74;72
19.01.2017;04:00;05:00;77;79
19.01.2017;05:00;06:00;213;208
19.01.2017;06:00;07:00;296;297
19.01.2017;07:00;08:00;313;310
19.01.2017;08:00;09:00;315;313
19.01.2017;09:00;10:00;315;311
19.01.2017;10:00;11:00;317;310
19.01.2017;11:00;12:00;316;312
19.01.2017;12:00;13:00;308;307
19.01.2017;13:00;14:00;317;311
19.01.2017;14:00;15:00;315;312
19.01.2017;15:00;16:00;315;310
19.01.2017;16:00;17:00;315;311
19.01.2017;17:00;18:00;316;311
19.01.2017;18:00;19:00;316;311
19.01.2017;19:00;20:00;316;312
19.01.2017;20:00;21:00;312;307
19.01.2017;21:00;22:00;316;306
19.01.2017;22:00;23:00;307;288
19.01.2017;23:00;00:00;170;177
20.01.2017;00:00;01:00;140;140
20.01.2017;01:00;02:00;71;79
20.01.2017;02:00;03:00;71;72
20.01.2017;03:00;04:00;71;70
20.01.2017;04:00;05:00;71;104
20.01.2017;05:00;06:00;156;227
20.01.2017;06:00;07:00;279;280
20.01.2017;07:00;08:00;296;305
20.01.2017;08:00;09:00;296;127
20.01.2017;09:00;10:00;296;0
20.01.2017;10:00;11:00;294;0
20.01.2017;11:00;12:00;294;0
20.01.2017;12:00;13:00;294;0
20.01.2017;13:00;14:00;295;0
20.01.2017;14:00;15:00;277;0
20.01.2017;15:00;16:00;293;0
20.01.2017;16:00;17:00;293;0
20.01.2017;17:00;18:00;293;0
20.01.2017;18:00;19:00;293;0
20.01.2017;19:00;20:00;293;0
20.01.2017;20:00;21:00;311;0
20.01.2017;21:00;22:00;315;0
20.01.2017;22:00;23:00;279;0
20.01.2017;23:00;00:00;227;0
21.01.2017;00:00;01:00;148;0
21.01.2017;01:00;02:00;147;0
21.01.2017;02:00;03:00;147;0
21.01.2017;03:00;04:00;161;0
21.01.2017;04:00;05:00;160;0
21.01.2017;05:00;06:00;143;0
21.01.2017;06:00;07:00;144;0
21.01.2017;07:00;08:00;217;0
21.01.2017;08:00;09:00;255;0
21.01.2017;09:00;10:00;290;0
21.01.2017;10:00;11:00;276;0
21.01.2017;11:00;12:00;216;0
21.01.2017;12:00;13:00;162;0
21.01.2017;13:00;14:00;160;0
21.01.2017;14:00;15:00;161;0
21.01.2017;15:00;16:00;186;0
21.01.2017;16:00;17:00;298;0
21.01.2017;17:00;18:00;309;0
21.01.2017;18:00;19:00;276;0
21.01.2017;19:00;20:00;222;0
21.01.2017;20:00;21:00;136;0
21.01.2017;21:00;22:00;0;0
21.01.2017;22:00;23:00;0;0
21.01.2017;23:00;00:00;0;0
22.01.2017;00:00;01:00;0;0
22.01.2017;01:00;02:00;0;0
22.01.2017;02:00;03:00;0;0
22.01.2017;03:00;04:00;0;0
22.01.2017;04:00;05:00;0;0
22.01.2017;05:00;06:00;0;0
22.01.2017;06:00;07:00;0;0
22.01.2017;07:00;08:00;0;0
22.01.2017;08:00;09:00;0;0
22.01.2017;09:00;10:00;0;0
22.01.2017;10:00;11:00;0;0
22.01.2017;11:00;12:00;0;0
22.01.2017;12:00;13:00;0;0
22.01.2017;13:00;14:00;0;0
22.01.2017;14:00;15:00;0;0
22.01.2017;15:00;16:00;0;0
22.01.2017;16:00;17:00;0;0
22.01.2017;17:00;18:00;0;0
22.01.2017;18:00;19:00;0;0
22.01.2017;19:00;20:00;0;0
22.01.2017;20:00;21:00;0;0
22.01.2017;21:00;22:00;0;0
22.01.2017;22:00;23:00;0;0
22.01.2017;23:00;00:00;0;0
23.01.2017;00:00;01:00;1;4
23.01.2017;01:00;02:00;68;53
23.01.2017;02:00;03:00;143;143
23.01.2017;03:00;04:00;151;149
23.01.2017;04:00;05:00;235;227
23.01.2017;05:00;06:00;312;243
23.01.2017;06:00;07:00;322;267
23.01.2017;07:00;08:00;322;311
23.01.2017;08:00;09:00;322;321
23.01.2017;09:00;10:00;322;321
23.01.2017;10:00;11:00;319;322
23.01.2017;11:00;12:00;320;324
23.01.2017;12:00;13:00;320;322
23.01.2017;13:00;14:00;322;323
23.01.2017;14:00;15:00;322;323
23.01.2017;15:00;16:00;324;323
23.01.2017;16:00;17:00;323;323
23.01.2017;17:00;18:00;321;322
23.01.2017;18:00;19:00;321;321
23.01.2017;19:00;20:00;321;321
23.01.2017;20:00;21:00;320;320
23.01.2017;21:00;22:00;314;304
23.01.2017;22:00;23:00;272;274
23.01.2017;23:00;00:00;264;284
24.01.2017;00:00;01:00;235;244
24.01.2017;01:00;02:00;214;230
24.01.2017;02:00;03:00;214;213
24.01.2017;03:00;04:00;216;213
24.01.2017;04:00;05:00;218;213
24.01.2017;05:00;06:00;263;256
24.01.2017;06:00;07:00;317;311
24.01.2017;07:00;08:00;324;320
24.01.2017;08:00;09:00;324;321
24.01.2017;09:00;10:00;323;322
24.01.2017;10:00;11:00;320;322
24.01.2017;11:00;12:00;320;321
24.01.2017;12:00;13:00;320;321
24.01.2017;13:00;14:00;321;321
24.01.2017;14:00;15:00;320;320
24.01.2017;15:00;16:00;320;321
24.01.2017;16:00;17:00;320;322
24.01.2017;17:00;18:00;323;321
24.01.2017;18:00;19:00;323;321
24.01.2017;19:00;20:00;321;321
24.01.2017;20:00;21:00;319;319
24.01.2017;21:00;22:00;309;310
24.01.2017;22:00;23:00;216;215
24.01.2017;23:00;00:00;106;106
25.01.2017;00:00;01:00;143;144
25.01.2017;01:00;02:00;143;143
25.01.2017;02:00;03:00;142;144
25.01.2017;03:00;04:00;142;144
25.01.2017;04:00;05:00;143;144
25.01.2017;05:00;06:00;245;241
25.01.2017;06:00;07:00;315;310
25.01.2017;07:00;08:00;321;321
25.01.2017;08:00;09:00;324;324
25.01.2017;09:00;10:00;324;323
25.01.2017;10:00;11:00;323;323
25.01.2017;11:00;12:00;323;324
25.01.2017;12:00;13:00;324;323
25.01.2017;13:00;14:00;324;323
25.01.2017;14:00;15:00;324;323
25.01.2017;15:00;16:00;325;322
25.01.2017;16:00;17:00;324;323
25.01.2017;17:00;18:00;323;323
25.01.2017;18:00;19:00;323;323
25.01.2017;19:00;20:00;325;321
25.01.2017;20:00;21:00;325;321
25.01.2017;21:00;22:00;310;310
25.01.2017;22:00;23:00;206;206
25.01.2017;23:00;00:00;72;72
26.01.2017;00:00;01:00;73;72
26.01.2017;01:00;02:00;74;72
26.01.2017;02:00;03:00;75;72
26.01.2017;03:00;04:00;74;72
26.01.2017;04:00;05:00;97;93
26.01.2017;05:00;06:00;245;242
26.01.2017;06:00;07:00;311;310
26.01.2017;07:00;08:00;315;312
26.01.2017;08:00;09:00;317;311
26.01.2017;09:00;10:00;315;311
26.01.2017;10:00;11:00;307;302
26.01.2017;11:00;12:00;283;277
26.01.2017;12:00;13:00;218;212
26.01.2017;13:00;14:00;214;212
26.01.2017;14:00;15:00;254;253
26.01.2017;15:00;16:00;223;250
26.01.2017;16:00;17:00;285;297
26.01.2017;17:00;18:00;307;311
26.01.2017;18:00;19:00;306;310
26.01.2017;19:00;20:00;317;315
26.01.2017;20:00;21:00;266;283
26.01.2017;21:00;22:00;127;163
26.01.2017;22:00;23:00;0;72
26.01.2017;23:00;00:00;0;73
27.01.2017;00:00;01:00;0;72
27.01.2017;01:00;02:00;0;72
27.01.2017;02:00;03:00;0;72
27.01.2017;03:00;04:00;0;72
27.01.2017;04:00;05:00;0;72
27.01.2017;05:00;06:00;0;90
27.01.2017;06:00;07:00;0;238
27.01.2017;07:00;08:00;0;307
27.01.2017;08:00;09:00;0;313
27.01.2017;09:00;10:00;0;254
27.01.2017;10:00;11:00;0;138
27.01.2017;11:00;12:00;0;74
27.01.2017;12:00;13:00;0;76
27.01.2017;13:00;14:00;0;75
27.01.2017;14:00;15:00;0;88
27.01.2017;15:00;16:00;0;194
27.01.2017;16:00;17:00;0;280
27.01.2017;17:00;18:00;0;312
27.01.2017;18:00;19:00;0;312
27.01.2017;19:00;20:00;0;311
27.01.2017;20:00;21:00;0;247
27.01.2017;21:00;22:00;0;130
27.01.2017;22:00;23:00;0;0
27.01.2017;23:00;00:00;0;0
28.01.2017;00:00;01:00;0;0
28.01.2017;01:00;02:00;0;0
28.01.2017;02:00;03:00;0;0
28.01.2017;03:00;04:00;0;0
28.01.2017;04:00;05:00;0;0
28.01.2017;05:00;06:00;0;0
28.01.2017;06:00;07:00;0;0
28.01.2017;07:00;08:00;0;0
28.01.2017;08:00;09:00;0;0
28.01.2017;09:00;10:00;0;0
28.01.2017;10:00;11:00;0;0
28.01.2017;11:00;12:00;0;0
28.01.2017;12:00;13:00;0;0
28.01.2017;13:00;14:00;0;0
28.01.2017;14:00;15:00;0;0
28.01.2017;15:00;16:00;0;0
28.01.2017;16:00;17:00;0;0
28.01.2017;17:00;18:00;0;0
28.01.2017;18:00;19:00;0;0
28.01.2017;19:00;20:00;0;0
28.01.2017;20:00;21:00;0;0
28.01.2017;21:00;22:00;0;0
28.01.2017;22:00;23:00;0;0
28.01.2017;23:00;00:00;0;0
29.01.2017;00:00;01:00;0;0
29.01.2017;01:00;02:00;0;0
29.01.2017;02:00;03:00;0;0
29.01.2017;03:00;04:00;0;0
29.01.2017;04:00;05:00;0;0
29.01.2017;05:00;06:00;0;0
29.01.2017;06:00;07:00;0;0
29.01.2017;07:00;08:00;0;0
29.01.2017;08:00;09:00;0;0
29.01.2017;09:00;10:00;0;0
29.01.2017;10:00;11:00;0;0
29.01.2017;11:00;12:00;0;0
29.01.2017;12:00;13:00;0;0
29.01.2017;13:00;14:00;0;0
29.01.2017;14:00;15:00;0;0
29.01.2017;15:00;16:00;15;0
29.01.2017;16:00;17:00;74;0
29.01.2017;17:00;18:00;183;0
29.01.2017;18:00;19:00;281;0
29.01.2017;19:00;20:00;308;0
29.01.2017;20:00;21:00;276;0
29.01.2017;21:00;22:00;219;0
29.01.2017;22:00;23:00;163;0
29.01.2017;23:00;00:00;152;0
30.01.2017;00:00;01:00;154;0
30.01.2017;01:00;02:00;153;0
30.01.2017;02:00;03:00;153;0
30.01.2017;03:00;04:00;155;0
30.01.2017;04:00;05:00;154;17
30.01.2017;05:00;06:00;164;116
30.01.2017;06:00;07:00;243;239
