Datum;Anfang;Ende;Generation_DE GKM Block 9 [MW] Originalauflösungen
01.01.2018;00:00;01:00;75
01.01.2018;01:00;02:00;73
01.01.2018;02:00;03:00;72
01.01.2018;03:00;04:00;74
01.01.2018;04:00;05:00;72
01.01.2018;05:00;06:00;64
01.01.2018;06:00;07:00;68
01.01.2018;07:00;08:00;78
01.01.2018;08:00;09:00;70
01.01.2018;09:00;10:00;74
01.01.2018;10:00;11:00;82
01.01.2018;11:00;12:00;94
01.01.2018;12:00;13:00;102
01.01.2018;13:00;14:00;109
01.01.2018;14:00;15:00;131
01.01.2018;15:00;16:00;129
01.01.2018;16:00;17:00;155
01.01.2018;17:00;18:00;178
01.01.2018;18:00;19:00;174
01.01.2018;19:00;20:00;170
01.01.2018;20:00;21:00;173
01.01.2018;21:00;22:00;156
01.01.2018;22:00;23:00;128
01.01.2018;23:00;00:00;100
02.01.2018;00:00;01:00;80
02.01.2018;01:00;02:00;74
02.01.2018;02:00;03:00;73
02.01.2018;03:00;04:00;68
02.01.2018;04:00;05:00;74
02.01.2018;05:00;06:00;111
02.01.2018;06:00;07:00;145
02.01.2018;07:00;08:00;288
02.01.2018;08:00;09:00;366
02.01.2018;09:00;10:00;328
02.01.2018;10:00;11:00;182
02.01.2018;11:00;12:00;175
02.01.2018;12:00;13:00;175
02.01.2018;13:00;14:00;179
02.01.2018;14:00;15:00;318
02.01.2018;15:00;16:00;340
02.01.2018;16:00;17:00;371
02.01.2018;17:00;18:00;372
02.01.2018;18:00;19:00;368
02.01.2018;19:00;20:00;289
02.01.2018;20:00;21:00;182
02.01.2018;21:00;22:00;173
02.01.2018;22:00;23:00;148
02.01.2018;23:00;00:00;95
03.01.2018;00:00;01:00;80
03.01.2018;01:00;02:00;72
03.01.2018;02:00;03:00;73
03.01.2018;03:00;04:00;74
03.01.2018;04:00;05:00;72
03.01.2018;05:00;06:00;77
03.01.2018;06:00;07:00;102
03.01.2018;07:00;08:00;128
03.01.2018;08:00;09:00;132
03.01.2018;09:00;10:00;130
03.01.2018;10:00;11:00;125
03.01.2018;11:00;12:00;129
03.01.2018;12:00;13:00;151
03.01.2018;13:00;14:00;155
03.01.2018;14:00;15:00;153
03.01.2018;15:00;16:00;144
03.01.2018;16:00;17:00;139
03.01.2018;17:00;18:00;138
03.01.2018;18:00;19:00;127
03.01.2018;19:00;20:00;129
03.01.2018;20:00;21:00;131
03.01.2018;21:00;22:00;133
03.01.2018;22:00;23:00;125
03.01.2018;23:00;00:00;90
04.01.2018;00:00;01:00;155
04.01.2018;01:00;02:00;235
04.01.2018;02:00;03:00;141
04.01.2018;03:00;04:00;112
04.01.2018;04:00;05:00;135
04.01.2018;05:00;06:00;150
04.01.2018;06:00;07:00;204
04.01.2018;07:00;08:00;261
04.01.2018;08:00;09:00;346
04.01.2018;09:00;10:00;380
04.01.2018;10:00;11:00;532
04.01.2018;11:00;12:00;559
04.01.2018;12:00;13:00;633
04.01.2018;13:00;14:00;676
04.01.2018;14:00;15:00;737
04.01.2018;15:00;16:00;833
04.01.2018;16:00;17:00;884
04.01.2018;17:00;18:00;876
04.01.2018;18:00;19:00;887
04.01.2018;19:00;20:00;842
04.01.2018;20:00;21:00;655
04.01.2018;21:00;22:00;434
04.01.2018;22:00;23:00;309
04.01.2018;23:00;00:00;247
05.01.2018;00:00;01:00;205
05.01.2018;01:00;02:00;191
05.01.2018;02:00;03:00;191
05.01.2018;03:00;04:00;190
05.01.2018;04:00;05:00;188
05.01.2018;05:00;06:00;204
05.01.2018;06:00;07:00;354
05.01.2018;07:00;08:00;358
05.01.2018;08:00;09:00;371
05.01.2018;09:00;10:00;441
05.01.2018;10:00;11:00;463
05.01.2018;11:00;12:00;406
05.01.2018;12:00;13:00;511
05.01.2018;13:00;14:00;708
05.01.2018;14:00;15:00;805
05.01.2018;15:00;16:00;900
05.01.2018;16:00;17:00;900
05.01.2018;17:00;18:00;903
05.01.2018;18:00;19:00;905
05.01.2018;19:00;20:00;902
05.01.2018;20:00;21:00;795
05.01.2018;21:00;22:00;700
05.01.2018;22:00;23:00;552
05.01.2018;23:00;00:00;434
06.01.2018;00:00;01:00;345
06.01.2018;01:00;02:00;238
06.01.2018;02:00;03:00;197
06.01.2018;03:00;04:00;193
06.01.2018;04:00;05:00;194
06.01.2018;05:00;06:00;215
06.01.2018;06:00;07:00;243
06.01.2018;07:00;08:00;272
06.01.2018;08:00;09:00;407
06.01.2018;09:00;10:00;520
06.01.2018;10:00;11:00;545
06.01.2018;11:00;12:00;543
06.01.2018;12:00;13:00;581
06.01.2018;13:00;14:00;597
06.01.2018;14:00;15:00;621
06.01.2018;15:00;16:00;598
06.01.2018;16:00;17:00;538
06.01.2018;17:00;18:00;575
06.01.2018;18:00;19:00;495
06.01.2018;19:00;20:00;438
06.01.2018;20:00;21:00;410
06.01.2018;21:00;22:00;303
06.01.2018;22:00;23:00;251
06.01.2018;23:00;00:00;224
07.01.2018;00:00;01:00;201
07.01.2018;01:00;02:00;104
07.01.2018;02:00;03:00;73
07.01.2018;03:00;04:00;74
07.01.2018;04:00;05:00;72
07.01.2018;05:00;06:00;73
07.01.2018;06:00;07:00;75
07.01.2018;07:00;08:00;87
07.01.2018;08:00;09:00;84
07.01.2018;09:00;10:00;88
07.01.2018;10:00;11:00;108
07.01.2018;11:00;12:00;124
07.01.2018;12:00;13:00;118
07.01.2018;13:00;14:00;118
07.01.2018;14:00;15:00;115
