Date;Start;End;Generation_DE G [MW] Original resolutions;Generation_DE F [MW] Original resolutions;Generation_DE A [MW] Original resolutions;Generation_DE B [MW] Original resolutions;Generation_DE Neurath C [MW] Original resolutions;Generation_DE Neurath D [MW] Original resolutions;Generation_DE Neurath E [MW] Original resolutions
01.01.2021;00:00;01:00;0;998;0;289;-;619;626
01.01.2021;01:00;02:00;0;995;0;287;-;614;625
01.01.2021;02:00;03:00;151;994;0;286;-;616;624
01.01.2021;03:00;04:00;586;994;0;278;-;610;625
01.01.2021;04:00;05:00;811;999;0;151;-;602;622
01.01.2021;05:00;06:00;940;1.023;0;180;-;605;625
01.01.2021;06:00;07:00;858;901;0;288;-;615;633
01.01.2021;07:00;08:00;477;502;0;290;-;619;636
01.01.2021;08:00;09:00;483;505;0;288;-;619;635
01.01.2021;09:00;10:00;479;512;0;288;-;611;634
01.01.2021;10:00;11:00;483;260;0;289;-;622;637
01.01.2021;11:00;12:00;348;0;0;290;-;621;635
01.01.2021;12:00;13:00;0;0;0;294;-;615;628
01.01.2021;13:00;14:00;0;0;0;289;-;616;630
01.01.2021;14:00;15:00;0;0;0;288;-;617;630
01.01.2021;15:00;16:00;0;0;0;289;-;614;629
01.01.2021;16:00;17:00;0;0;0;292;-;607;625
01.01.2021;17:00;18:00;0;0;0;296;-;609;625
01.01.2021;18:00;19:00;0;0;0;297;-;611;628
01.01.2021;19:00;20:00;0;0;0;296;-;609;626
01.01.2021;20:00;21:00;0;0;0;296;-;610;626
01.01.2021;21:00;22:00;0;0;0;297;-;611;627
01.01.2021;22:00;23:00;0;0;0;292;-;611;626
01.01.2021;23:00;00:00;16;0;0;290;-;605;621
02.01.2021;00:00;01:00;486;0;0;281;-;601;620
02.01.2021;01:00;02:00;685;0;0;275;-;586;623
02.01.2021;02:00;03:00;726;0;0;220;-;567;623
02.01.2021;03:00;04:00;731;0;0;222;-;574;622
02.01.2021;04:00;05:00;905;0;0;250;-;590;622
02.01.2021;05:00;06:00;1.013;2;0;291;-;606;623
02.01.2021;06:00;07:00;1.013;212;0;292;-;607;621
02.01.2021;07:00;08:00;1.017;461;0;292;-;608;623
02.01.2021;08:00;09:00;1.012;860;0;296;-;605;619
02.01.2021;09:00;10:00;1.019;1.029;0;296;-;608;624
02.01.2021;10:00;11:00;1.025;1.026;0;297;-;609;625
02.01.2021;11:00;12:00;1.021;1.027;0;296;-;607;624
02.01.2021;12:00;13:00;1.021;1.025;0;296;-;595;624
02.01.2021;13:00;14:00;1.021;1.028;0;290;-;569;626
02.01.2021;14:00;15:00;1.020;1.026;0;291;-;569;625
02.01.2021;15:00;16:00;1.019;1.027;0;293;-;605;624
02.01.2021;16:00;17:00;1.020;1.025;0;299;-;609;623
02.01.2021;17:00;18:00;1.023;1.030;0;300;-;609;626
02.01.2021;18:00;19:00;1.026;1.027;0;299;-;611;626
02.01.2021;19:00;20:00;1.029;1.029;0;300;-;609;624
02.01.2021;20:00;21:00;1.031;1.030;0;299;-;611;626
02.01.2021;21:00;22:00;1.032;1.029;0;298;-;610;626
02.01.2021;22:00;23:00;1.025;1.026;0;295;-;610;626
02.01.2021;23:00;00:00;889;859;0;293;-;607;622
03.01.2021;00:00;01:00;837;810;0;234;-;441;428
03.01.2021;01:00;02:00;664;568;0;192;-;410;271
03.01.2021;02:00;03:00;631;487;0;142;-;308;268
03.01.2021;03:00;04:00;822;670;0;139;-;266;267
03.01.2021;04:00;05:00;879;700;0;139;-;268;269
03.01.2021;05:00;06:00;857;683;0;140;-;269;270
03.01.2021;06:00;07:00;604;482;0;140;-;269;268
03.01.2021;07:00;08:00;651;480;0;138;-;271;274
03.01.2021;08:00;09:00;649;476;0;139;-;500;434
03.01.2021;09:00;10:00;661;479;0;140;-;597;599
03.01.2021;10:00;11:00;830;646;0;218;-;604;621
03.01.2021;11:00;12:00;856;810;0;292;-;607;624
03.01.2021;12:00;13:00;882;826;0;296;-;609;625
03.01.2021;13:00;14:00;1.028;827;0;251;-;556;565
03.01.2021;14:00;15:00;1.030;829;0;221;-;519;519
03.01.2021;15:00;16:00;1.026;920;0;244;-;553;598
03.01.2021;16:00;17:00;1.030;925;0;289;-;605;625
03.01.2021;17:00;18:00;1.030;927;0;290;-;610;626
03.01.2021;18:00;19:00;1.032;926;0;292;-;611;625
03.01.2021;19:00;20:00;1.031;834;0;294;-;611;626
03.01.2021;20:00;21:00;1.034;834;0;292;-;609;626
03.01.2021;21:00;22:00;1.032;907;0;292;-;611;626
03.01.2021;22:00;23:00;934;738;0;293;-;611;627
03.01.2021;23:00;00:00;884;706;0;293;-;445;626
04.01.2021;00:00;01:00;694;559;0;291;-;387;625
04.01.2021;01:00;02:00;688;520;0;292;-;596;624
04.01.2021;02:00;03:00;715;527;0;292;-;600;623
04.01.2021;03:00;04:00;811;526;0;293;-;584;623
04.01.2021;04:00;05:00;844;528;0;293;-;585;623
04.01.2021;05:00;06:00;871;594;0;293;-;587;622
04.01.2021;06:00;07:00;1.025;907;0;293;-;588;624
04.01.2021;07:00;08:00;922;1.028;0;297;-;589;624
04.01.2021;08:00;09:00;869;1.024;0;298;-;588;623
04.01.2021;09:00;10:00;930;1.023;0;297;-;589;625
04.01.2021;10:00;11:00;897;1.027;0;296;-;590;625
04.01.2021;11:00;12:00;870;1.025;0;293;-;590;625
04.01.2021;12:00;13:00;831;1.026;0;296;-;583;623
04.01.2021;13:00;14:00;850;1.026;0;296;-;568;624
04.01.2021;14:00;15:00;861;1.026;0;299;-;575;623
04.01.2021;15:00;16:00;861;1.023;0;299;-;578;625
04.01.2021;16:00;17:00;860;1.029;0;299;-;579;624
04.01.2021;17:00;18:00;866;1.023;0;299;-;579;625
04.01.2021;18:00;19:00;958;1.028;0;299;-;580;625
04.01.2021;19:00;20:00;973;1.030;0;296;-;580;625
04.01.2021;20:00;21:00;1.030;1.028;0;297;-;595;626
04.01.2021;21:00;22:00;1.038;1.025;0;296;-;597;627
04.01.2021;22:00;23:00;1.038;1.031;0;294;-;594;625
04.01.2021;23:00;00:00;1.037;1.026;0;290;-;568;620
05.01.2021;00:00;01:00;1.046;1.029;0;161;-;317;493
05.01.2021;01:00;02:00;1.041;1.032;0;140;-;273;396
05.01.2021;02:00;03:00;1.039;1.023;0;140;-;271;404
05.01.2021;03:00;04:00;1.036;1.029;0;140;-;279;555
05.01.2021;04:00;05:00;1.031;1.023;0;142;-;386;625
05.01.2021;05:00;06:00;1.036;1.026;0;246;-;573;624
05.01.2021;06:00;07:00;1.038;1.026;0;293;-;610;623
05.01.2021;07:00;08:00;1.037;1.025;0;293;-;607;624
05.01.2021;08:00;09:00;1.033;1.028;0;292;-;609;606
05.01.2021;09:00;10:00;1.034;1.026;0;298;-;609;606
05.01.2021;10:00;11:00;1.033;1.028;0;298;-;619;620
05.01.2021;11:00;12:00;1.033;1.027;0;297;-;612;609
05.01.2021;12:00;13:00;1.031;1.025;0;298;-;608;619
05.01.2021;13:00;14:00;1.033;1.027;0;298;-;609;620
05.01.2021;14:00;15:00;1.014;1.028;0;297;-;608;621
05.01.2021;15:00;16:00;976;1.029;0;293;-;610;621
05.01.2021;16:00;17:00;766;1.026;0;292;-;600;623
05.01.2021;17:00;18:00;709;1.028;0;295;-;605;627
05.01.2021;18:00;19:00;712;1.030;0;300;-;607;627
05.01.2021;19:00;20:00;711;1.028;0;301;-;607;628
05.01.2021;20:00;21:00;712;1.027;0;301;-;607;627
05.01.2021;21:00;22:00;711;1.030;0;301;-;607;627
05.01.2021;22:00;23:00;711;1.029;0;297;-;605;626
05.01.2021;23:00;00:00;712;1.025;0;295;-;599;620
06.01.2021;00:00;01:00;710;772;0;296;-;528;491
