Datum;Anfang;Ende;Generation_DE PSW Goldisthal PSS D [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS C [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS B [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS A [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;0;0;0
01.01.2023;01:00;02:00;0;0;0;0
01.01.2023;02:00;03:00;0;0;0;0
01.01.2023;03:00;04:00;0;0;0;0
01.01.2023;04:00;05:00;0;0;0;0
01.01.2023;05:00;06:00;0;0;0;0
01.01.2023;06:00;07:00;0;0;0;0
01.01.2023;07:00;08:00;0;0;0;0
01.01.2023;08:00;09:00;0;0;0;0
01.01.2023;09:00;10:00;0;0;29;0
01.01.2023;10:00;11:00;0;0;44;0
01.01.2023;11:00;12:00;0;0;3;0
01.01.2023;12:00;13:00;90;128;0;0
01.01.2023;13:00;14:00;96;0;0;0
01.01.2023;14:00;15:00;70;0;0;0
01.01.2023;15:00;16:00;131;64;63;1
01.01.2023;16:00;17:00;233;141;201;244
01.01.2023;17:00;18:00;245;242;242;249
01.01.2023;18:00;19:00;234;249;249;249
01.01.2023;19:00;20:00;223;242;242;249
01.01.2023;20:00;21:00;21;43;43;0
01.01.2023;21:00;22:00;0;0;132;0
01.01.2023;22:00;23:00;0;0;155;0
01.01.2023;23:00;00:00;0;0;0;0
02.01.2023;00:00;01:00;0;0;0;0
02.01.2023;01:00;02:00;0;0;0;0
02.01.2023;02:00;03:00;0;0;0;0
02.01.2023;03:00;04:00;0;0;0;0
02.01.2023;04:00;05:00;0;0;0;0
02.01.2023;05:00;06:00;0;0;0;0
02.01.2023;06:00;07:00;125;59;0;0
02.01.2023;07:00;08:00;1;0;0;0
02.01.2023;08:00;09:00;74;24;0;0
02.01.2023;09:00;10:00;228;0;0;0
02.01.2023;10:00;11:00;109;67;0;84
02.01.2023;11:00;12:00;104;0;0;231
02.01.2023;12:00;13:00;1;0;0;0
02.01.2023;13:00;14:00;0;0;0;0
02.01.2023;14:00;15:00;113;63;0;0
02.01.2023;15:00;16:00;192;0;0;141
02.01.2023;16:00;17:00;261;0;119;262
02.01.2023;17:00;18:00;251;0;259;252
02.01.2023;18:00;19:00;254;0;257;255
02.01.2023;19:00;20:00;228;0;243;228
02.01.2023;20:00;21:00;65;0;126;148
02.01.2023;21:00;22:00;0;0;58;52
02.01.2023;22:00;23:00;0;0;0;0
02.01.2023;23:00;00:00;0;0;0;0
03.01.2023;00:00;01:00;0;0;0;0
03.01.2023;01:00;02:00;0;0;0;0
03.01.2023;02:00;03:00;0;0;0;0
03.01.2023;03:00;04:00;0;0;0;0
03.01.2023;04:00;05:00;0;0;0;0
03.01.2023;05:00;06:00;0;0;0;0
03.01.2023;06:00;07:00;114;0;4;74
03.01.2023;07:00;08:00;205;75;246;205
03.01.2023;08:00;09:00;200;0;244;200
03.01.2023;09:00;10:00;199;0;245;200
03.01.2023;10:00;11:00;211;0;222;211
03.01.2023;11:00;12:00;233;0;246;234
03.01.2023;12:00;13:00;225;0;239;225
03.01.2023;13:00;14:00;171;0;96;171
03.01.2023;14:00;15:00;197;0;65;197
03.01.2023;15:00;16:00;247;0;233;247
03.01.2023;16:00;17:00;273;3;255;272
03.01.2023;17:00;18:00;260;242;242;261
03.01.2023;18:00;19:00;208;213;213;208
03.01.2023;19:00;20:00;162;62;64;145
03.01.2023;20:00;21:00;78;0;47;57
03.01.2023;21:00;22:00;28;0;0;0
03.01.2023;22:00;23:00;0;0;64;62
03.01.2023;23:00;00:00;52;54;0;0
04.01.2023;00:00;01:00;0;0;0;0
04.01.2023;01:00;02:00;0;0;0;0
04.01.2023;02:00;03:00;0;0;0;0
04.01.2023;03:00;04:00;0;0;0;0
04.01.2023;04:00;05:00;0;0;0;0
04.01.2023;05:00;06:00;0;0;0;0
04.01.2023;06:00;07:00;0;0;0;0
04.01.2023;07:00;08:00;0;0;0;1
04.01.2023;08:00;09:00;0;0;175;239
04.01.2023;09:00;10:00;0;0;105;108
04.01.2023;10:00;11:00;0;0;241;225
04.01.2023;11:00;12:00;0;250;259;261
04.01.2023;12:00;13:00;0;210;214;138
04.01.2023;13:00;14:00;0;0;0;139
04.01.2023;14:00;15:00;0;0;0;163
04.01.2023;15:00;16:00;0;0;0;161
04.01.2023;16:00;17:00;0;0;54;192
04.01.2023;17:00;18:00;0;2;262;268
04.01.2023;18:00;19:00;238;222;237;250
04.01.2023;19:00;20:00;144;199;140;161
04.01.2023;20:00;21:00;0;58;0;92
04.01.2023;21:00;22:00;0;0;0;0
04.01.2023;22:00;23:00;0;0;0;0
04.01.2023;23:00;00:00;0;0;0;0
05.01.2023;00:00;01:00;0;0;0;0
05.01.2023;01:00;02:00;0;0;0;0
05.01.2023;02:00;03:00;0;0;0;0
05.01.2023;03:00;04:00;0;0;0;0
05.01.2023;04:00;05:00;0;0;0;0
05.01.2023;05:00;06:00;0;0;0;0
05.01.2023;06:00;07:00;0;0;0;0
05.01.2023;07:00;08:00;64;3;0;0
05.01.2023;08:00;09:00;150;82;0;0
05.01.2023;09:00;10:00;127;116;72;0
05.01.2023;10:00;11:00;114;122;118;0
05.01.2023;11:00;12:00;164;114;0;0
05.01.2023;12:00;13:00;118;50;0;59
05.01.2023;13:00;14:00;176;57;0;177
05.01.2023;14:00;15:00;218;200;189;217
05.01.2023;15:00;16:00;183;216;65;183
05.01.2023;16:00;17:00;226;227;185;225
05.01.2023;17:00;18:00;287;258;258;285
05.01.2023;18:00;19:00;265;260;260;264
05.01.2023;19:00;20:00;260;253;253;259
05.01.2023;20:00;21:00;240;240;240;240
05.01.2023;21:00;22:00;102;130;149;153
05.01.2023;22:00;23:00;0;0;0;92
05.01.2023;23:00;00:00;0;0;0;39
06.01.2023;00:00;01:00;0;0;0;56
06.01.2023;01:00;02:00;0;0;0;0
06.01.2023;02:00;03:00;0;0;0;0
06.01.2023;03:00;04:00;0;0;0;0
06.01.2023;04:00;05:00;0;0;0;0
06.01.2023;05:00;06:00;0;0;0;0
06.01.2023;06:00;07:00;0;0;0;0
06.01.2023;07:00;08:00;37;0;0;0
06.01.2023;08:00;09:00;255;0;0;0
06.01.2023;09:00;10:00;190;0;0;104
06.01.2023;10:00;11:00;159;0;0;0
06.01.2023;11:00;12:00;163;0;106;0
06.01.2023;12:00;13:00;54;0;0;0
06.01.2023;13:00;14:00;79;0;0;0
06.01.2023;14:00;15:00;81;0;0;0
06.01.2023;15:00;16:00;132;119;62;0
06.01.2023;16:00;17:00;196;183;236;99
06.01.2023;17:00;18:00;252;247;247;252
06.01.2023;18:00;19:00;221;230;230;221
06.01.2023;19:00;20:00;248;241;241;248
06.01.2023;20:00;21:00;172;156;108;53
06.01.2023;21:00;22:00;114;49;0;0
06.01.2023;22:00;23:00;92;113;0;0
06.01.2023;23:00;00:00;48;0;0;0
07.01.2023;00:00;01:00;2;0;0;0
07.01.2023;01:00;02:00;0;0;0;0
07.01.2023;02:00;03:00;0;0;0;0
07.01.2023;03:00;04:00;0;0;0;0
07.01.2023;04:00;05:00;0;0;0;0
07.01.2023;05:00;06:00;0;0;0;0
07.01.2023;06:00;07:00;0;0;0;0
07.01.2023;07:00;08:00;105;57;0;0
07.01.2023;08:00;09:00;187;176;0;48
07.01.2023;09:00;10:00;238;240;0;149
07.01.2023;10:00;11:00;210;235;233;112
07.01.2023;11:00;12:00;157;208;208;157
07.01.2023;12:00;13:00;58;46;1;0
07.01.2023;13:00;14:00;68;0;0;0
07.01.2023;14:00;15:00;106;53;51;0
07.01.2023;15:00;16:00;132;108;108;0
07.01.2023;16:00;17:00;163;1;0;9
07.01.2023;17:00;18:00;212;222;221;212
07.01.2023;18:00;19:00;168;158;157;147
07.01.2023;19:00;20:00;75;45;0;0
07.01.2023;20:00;21:00;58;52;52;49
07.01.2023;21:00;22:00;0;0;0;0
07.01.2023;22:00;23:00;0;0;0;0
07.01.2023;23:00;00:00;0;0;0;0
08.01.2023;00:00;01:00;0;0;0;0
08.01.2023;01:00;02:00;0;0;0;0
08.01.2023;02:00;03:00;0;0;0;0
08.01.2023;03:00;04:00;0;0;0;0
08.01.2023;04:00;05:00;0;0;0;0
08.01.2023;05:00;06:00;0;0;0;0
08.01.2023;06:00;07:00;0;0;0;0
08.01.2023;07:00;08:00;0;0;0;0
08.01.2023;08:00;09:00;1;0;0;0
08.01.2023;09:00;10:00;45;0;0;0
08.01.2023;10:00;11:00;76;0;0;0
08.01.2023;11:00;12:00;134;0;0;0
08.01.2023;12:00;13:00;180;0;0;0
08.01.2023;13:00;14:00;222;0;0;0
08.01.2023;14:00;15:00;116;108;0;18
08.01.2023;15:00;16:00;221;251;129;222
08.01.2023;16:00;17:00;155;221;221;155
08.01.2023;17:00;18:00;228;247;247;228
08.01.2023;18:00;19:00;275;263;263;274
08.01.2023;19:00;20:00;278;267;266;277
08.01.2023;20:00;21:00;260;241;242;206
08.01.2023;21:00;22:00;161;210;114;0
08.01.2023;22:00;23:00;116;52;0;0
08.01.2023;23:00;00:00;0;0;0;0
09.01.2023;00:00;01:00;0;0;0;0
