Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
01.01.2017;00:00;01:00;2;2;0;0;0;0;54;53;0;2;1
01.01.2017;01:00;02:00;0;0;0;0;0;0;18;17;0;0;1
01.01.2017;02:00;03:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2017;03:00;04:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2017;04:00;05:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2017;05:00;06:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2017;06:00;07:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2017;07:00;08:00;0;0;0;0;0;0;0;0;0;0;1
01.01.2017;08:00;09:00;0;0;0;0;27;26;27;26;0;0;1
01.01.2017;09:00;10:00;0;0;0;0;33;33;35;34;0;0;1
01.01.2017;10:00;11:00;0;0;0;0;24;23;24;23;0;0;1
01.01.2017;11:00;12:00;0;0;0;0;36;34;36;35;0;0;1
01.01.2017;12:00;13:00;0;0;0;0;15;14;15;15;0;0;0
01.01.2017;13:00;14:00;0;0;0;0;43;42;44;43;0;0;1
01.01.2017;14:00;15:00;22;30;31;31;26;25;26;25;0;31;1
01.01.2017;15:00;16:00;0;0;0;0;1;31;1;32;0;0;1
01.01.2017;16:00;17:00;0;0;0;0;43;47;43;48;0;0;1
01.01.2017;17:00;18:00;24;24;25;25;58;56;59;57;70;25;1
01.01.2017;18:00;19:00;22;22;23;23;2;2;2;2;3;23;1
01.01.2017;19:00;20:00;27;26;28;27;34;34;35;34;0;28;1
01.01.2017;20:00;21:00;19;19;20;20;0;6;7;0;0;20;1
01.01.2017;21:00;22:00;0;0;0;0;34;46;48;35;0;0;1
01.01.2017;22:00;23:00;0;0;0;0;9;9;10;10;0;0;1
01.01.2017;23:00;00:00;12;10;0;0;0;4;11;0;0;12;1
02.01.2017;00:00;01:00;0;0;0;0;0;0;0;0;0;0;1
02.01.2017;01:00;02:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2017;02:00;03:00;0;0;0;0;0;0;15;14;0;0;1
02.01.2017;03:00;04:00;0;0;0;0;0;0;11;10;0;0;0
02.01.2017;04:00;05:00;0;0;0;0;0;0;11;10;0;0;1
02.01.2017;05:00;06:00;0;0;0;0;0;0;11;11;0;0;0
02.01.2017;06:00;07:00;0;0;1;0;0;0;11;11;0;0;0
02.01.2017;07:00;08:00;4;5;6;0;5;5;32;31;0;4;0
02.01.2017;08:00;09:00;41;40;41;35;2;13;15;13;0;42;76
02.01.2017;09:00;10:00;29;27;30;28;0;14;16;15;0;29;91
02.01.2017;10:00;11:00;28;27;29;28;0;33;35;35;0;29;90
02.01.2017;11:00;12:00;32;31;33;32;0;11;12;11;0;33;96
02.01.2017;12:00;13:00;19;17;19;19;0;9;11;10;0;19;68
02.01.2017;13:00;14:00;16;15;17;16;0;9;11;10;0;17;1
02.01.2017;14:00;15:00;9;8;10;9;0;9;11;10;0;10;1
02.01.2017;15:00;16:00;11;10;12;11;0;9;11;10;0;11;1
02.01.2017;16:00;17:00;19;18;20;19;0;21;23;22;0;19;1
02.01.2017;17:00;18:00;36;34;37;36;0;10;11;10;0;37;1
02.01.2017;18:00;19:00;15;13;16;15;0;15;16;15;0;16;1
02.01.2017;19:00;20:00;21;19;22;20;0;0;0;0;0;21;1
02.01.2017;20:00;21:00;32;30;33;32;0;0;0;0;0;33;115
02.01.2017;21:00;22:00;2;1;1;2;0;0;0;0;0;2;23
02.01.2017;22:00;23:00;35;33;35;35;0;0;0;0;0;35;0
02.01.2017;23:00;00:00;29;28;30;29;0;0;0;0;0;30;0
03.01.2017;00:00;01:00;39;38;40;40;0;0;0;0;0;39;0
03.01.2017;01:00;02:00;28;27;29;29;0;0;0;0;0;28;0
03.01.2017;02:00;03:00;37;36;38;37;0;0;0;0;0;38;0
03.01.2017;03:00;04:00;38;37;39;38;0;0;0;0;0;38;1
03.01.2017;04:00;05:00;19;19;20;20;0;0;0;0;0;19;0
03.01.2017;05:00;06:00;0;0;0;0;0;0;0;0;0;1;0
03.01.2017;06:00;07:00;19;19;19;20;0;0;0;0;0;19;0
03.01.2017;07:00;08:00;19;19;21;20;0;0;0;0;0;20;1
03.01.2017;08:00;09:00;80;82;85;83;0;0;0;0;0;84;67
03.01.2017;09:00;10:00;47;47;48;48;0;0;0;0;0;48;120
