Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;-;0;0;98;0;247
01.01.2023;01:00;02:00;-;-;-;0;0;96;0;246
01.01.2023;02:00;03:00;-;-;-;0;0;95;0;244
01.01.2023;03:00;04:00;-;-;-;0;0;95;0;243
01.01.2023;04:00;05:00;-;-;-;0;0;94;0;242
01.01.2023;05:00;06:00;-;-;-;0;0;96;0;244
01.01.2023;06:00;07:00;-;-;-;0;0;97;0;244
01.01.2023;07:00;08:00;-;-;-;0;0;96;0;243
01.01.2023;08:00;09:00;-;-;-;0;0;97;0;245
01.01.2023;09:00;10:00;-;-;-;0;0;97;0;244
01.01.2023;10:00;11:00;-;-;-;0;0;95;0;244
01.01.2023;11:00;12:00;-;-;-;0;0;93;0;243
01.01.2023;12:00;13:00;-;-;-;0;0;96;0;252
01.01.2023;13:00;14:00;-;-;-;0;0;97;0;443
01.01.2023;14:00;15:00;-;-;-;0;0;97;0;491
01.01.2023;15:00;16:00;-;-;-;0;0;92;0;492
01.01.2023;16:00;17:00;-;-;-;0;0;95;0;489
01.01.2023;17:00;18:00;-;-;-;0;0;95;0;341
01.01.2023;18:00;19:00;-;-;-;0;0;95;0;244
01.01.2023;19:00;20:00;-;-;-;0;0;95;0;244
01.01.2023;20:00;21:00;-;-;-;0;0;94;0;260
01.01.2023;21:00;22:00;-;-;-;0;0;93;0;350
01.01.2023;22:00;23:00;-;-;-;0;0;92;0;350
01.01.2023;23:00;00:00;-;-;-;0;0;94;0;350
02.01.2023;00:00;01:00;-;-;-;0;0;90;0;350
02.01.2023;01:00;02:00;-;-;-;0;0;87;0;351
02.01.2023;02:00;03:00;-;-;-;0;0;89;0;351
02.01.2023;03:00;04:00;-;-;-;0;0;86;0;351
02.01.2023;04:00;05:00;-;-;-;0;0;104;0;351
02.01.2023;05:00;06:00;-;-;-;0;0;211;5;352
02.01.2023;06:00;07:00;-;-;-;0;0;194;185;351
02.01.2023;07:00;08:00;-;-;-;0;0;193;310;562
02.01.2023;08:00;09:00;-;-;-;0;0;192;450;653
02.01.2023;09:00;10:00;-;-;-;0;0;266;628;656
02.01.2023;10:00;11:00;-;-;-;0;0;318;648;650
02.01.2023;11:00;12:00;-;-;-;0;0;316;650;650
02.01.2023;12:00;13:00;-;-;-;0;0;317;647;655
02.01.2023;13:00;14:00;-;-;-;0;0;318;646;654
02.01.2023;14:00;15:00;-;-;-;0;0;319;651;653
02.01.2023;15:00;16:00;-;-;-;0;0;319;651;655
02.01.2023;16:00;17:00;-;-;-;0;0;318;650;656
02.01.2023;17:00;18:00;-;-;-;0;0;317;653;658
02.01.2023;18:00;19:00;-;-;-;0;0;318;652;657
02.01.2023;19:00;20:00;-;-;-;0;0;318;649;657
02.01.2023;20:00;21:00;-;-;-;0;0;318;654;659
02.01.2023;21:00;22:00;-;-;-;0;0;319;650;657
02.01.2023;22:00;23:00;-;-;-;0;0;318;652;657
02.01.2023;23:00;00:00;-;-;-;0;0;317;651;657
03.01.2023;00:00;01:00;-;-;-;0;0;318;651;658
03.01.2023;01:00;02:00;-;-;-;0;0;318;653;659
03.01.2023;02:00;03:00;-;-;-;0;0;316;652;659
03.01.2023;03:00;04:00;-;-;-;0;0;318;648;656
03.01.2023;04:00;05:00;-;-;-;0;0;318;650;657
03.01.2023;05:00;06:00;-;-;-;0;0;318;651;657
03.01.2023;06:00;07:00;-;-;-;0;0;320;650;655
03.01.2023;07:00;08:00;-;-;-;0;0;318;650;657
03.01.2023;08:00;09:00;-;-;-;0;0;317;651;655
03.01.2023;09:00;10:00;-;-;-;0;0;316;651;656
03.01.2023;10:00;11:00;-;-;-;0;0;318;650;658
03.01.2023;11:00;12:00;-;-;-;0;0;192;651;656
03.01.2023;12:00;13:00;-;-;-;0;0;150;651;656
03.01.2023;13:00;14:00;-;-;-;0;0;151;652;655
03.01.2023;14:00;15:00;-;-;-;0;0;150;652;654
03.01.2023;15:00;16:00;-;-;-;0;0;147;652;655
03.01.2023;16:00;17:00;-;-;-;0;0;150;651;656
03.01.2023;17:00;18:00;-;-;-;0;0;147;651;656
03.01.2023;18:00;19:00;-;-;-;0;0;147;652;656
03.01.2023;19:00;20:00;-;-;-;0;0;146;653;655
03.01.2023;20:00;21:00;-;-;-;0;0;146;653;656
03.01.2023;21:00;22:00;-;-;-;0;0;145;654;656
