Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE A [MW] Originalauflösungen;Generation_DE Niederaußem E [MW] Originalauflösungen;Generation_DE Niederaußem F [MW] Originalauflösungen;Generation_DE Niederaußem G [MW] Originalauflösungen;Generation_DE Niederaußem H [MW] Originalauflösungen;Generation_DE Niederaußem K [MW] Originalauflösungen
01.01.2020;00:00;01:00;0;268;-;-;-;-;0;0;934
01.01.2020;01:00;02:00;0;279;-;-;-;-;0;0;932
01.01.2020;02:00;03:00;0;279;-;-;-;-;0;0;927
01.01.2020;03:00;04:00;0;280;-;-;-;-;0;0;929
01.01.2020;04:00;05:00;0;278;-;-;-;-;0;0;929
01.01.2020;05:00;06:00;0;214;-;-;-;-;0;0;927
01.01.2020;06:00;07:00;0;155;-;-;-;-;0;0;927
01.01.2020;07:00;08:00;0;149;-;-;-;-;0;0;933
01.01.2020;08:00;09:00;0;150;-;-;-;-;0;0;927
01.01.2020;09:00;10:00;0;150;-;-;-;-;0;0;929
01.01.2020;10:00;11:00;0;150;-;-;-;-;0;0;927
01.01.2020;11:00;12:00;0;150;-;-;-;-;0;0;902
01.01.2020;12:00;13:00;0;150;-;-;-;-;0;0;907
01.01.2020;13:00;14:00;0;150;-;-;-;-;0;0;848
01.01.2020;14:00;15:00;0;175;-;-;-;-;0;0;928
01.01.2020;15:00;16:00;0;254;-;-;-;-;0;0;926
01.01.2020;16:00;17:00;0;278;-;-;-;-;0;0;931
01.01.2020;17:00;18:00;0;284;-;-;-;-;0;0;928
01.01.2020;18:00;19:00;0;284;-;-;-;-;0;0;931
01.01.2020;19:00;20:00;0;284;-;-;-;-;0;0;930
01.01.2020;20:00;21:00;0;280;-;-;-;-;0;0;929
01.01.2020;21:00;22:00;0;279;-;-;-;-;0;0;931
01.01.2020;22:00;23:00;0;275;-;-;-;-;0;0;930
01.01.2020;23:00;00:00;0;277;-;-;-;-;0;0;924
02.01.2020;00:00;01:00;0;219;-;-;-;-;0;0;925
02.01.2020;01:00;02:00;0;160;-;-;-;-;0;0;926
02.01.2020;02:00;03:00;0;149;-;-;-;-;0;0;928
02.01.2020;03:00;04:00;0;161;-;-;-;-;0;0;929
02.01.2020;04:00;05:00;0;153;-;-;-;-;0;0;917
02.01.2020;05:00;06:00;0;183;-;-;-;-;0;0;928
02.01.2020;06:00;07:00;0;262;-;-;-;-;0;0;923
02.01.2020;07:00;08:00;0;271;-;-;-;-;0;0;927
02.01.2020;08:00;09:00;0;249;-;-;-;-;0;0;925
02.01.2020;09:00;10:00;0;244;-;-;-;-;0;0;925
02.01.2020;10:00;11:00;0;245;-;-;-;-;0;0;929
02.01.2020;11:00;12:00;0;244;-;-;-;-;0;0;929
02.01.2020;12:00;13:00;0;245;-;-;-;-;0;0;928
02.01.2020;13:00;14:00;0;243;-;-;-;-;0;0;924
02.01.2020;14:00;15:00;0;245;-;-;-;-;0;0;926
02.01.2020;15:00;16:00;0;243;-;-;-;-;0;0;926
02.01.2020;16:00;17:00;0;242;-;-;-;-;0;0;928
02.01.2020;17:00;18:00;0;244;-;-;-;-;0;0;924
02.01.2020;18:00;19:00;0;243;-;-;-;-;0;0;928
02.01.2020;19:00;20:00;0;243;-;-;-;-;0;0;927
02.01.2020;20:00;21:00;0;240;-;-;-;-;0;0;928
02.01.2020;21:00;22:00;0;178;-;-;-;-;0;0;892
02.01.2020;22:00;23:00;0;172;-;-;-;-;0;0;825
02.01.2020;23:00;00:00;0;148;-;-;-;-;0;0;493
03.01.2020;00:00;01:00;0;148;-;-;-;-;0;0;568
03.01.2020;01:00;02:00;0;150;-;-;-;-;0;0;566
03.01.2020;02:00;03:00;0;150;-;-;-;-;0;0;487
03.01.2020;03:00;04:00;0;150;-;-;-;-;0;0;521
03.01.2020;04:00;05:00;0;150;-;-;-;-;0;0;514
03.01.2020;05:00;06:00;0;150;-;-;-;-;0;0;449
03.01.2020;06:00;07:00;0;149;-;-;-;-;0;0;365
03.01.2020;07:00;08:00;0;150;-;-;-;-;0;0;652
03.01.2020;08:00;09:00;0;150;-;-;-;-;0;0;794
03.01.2020;09:00;10:00;0;151;-;-;-;-;0;0;782
03.01.2020;10:00;11:00;0;151;-;-;-;-;0;0;911
03.01.2020;11:00;12:00;0;150;-;-;-;-;0;0;928
03.01.2020;12:00;13:00;0;151;-;-;-;-;0;0;924
03.01.2020;13:00;14:00;0;182;-;-;-;-;0;0;931
03.01.2020;14:00;15:00;0;177;-;-;-;-;0;0;922
03.01.2020;15:00;16:00;0;169;-;-;-;-;0;0;925
03.01.2020;16:00;17:00;0;170;-;-;-;-;0;0;925
03.01.2020;17:00;18:00;0;163;-;-;-;-;0;0;921
03.01.2020;18:00;19:00;0;148;-;-;-;-;0;0;684
03.01.2020;19:00;20:00;0;150;-;-;-;-;0;0;382
03.01.2020;20:00;21:00;0;150;-;-;-;-;0;0;368
03.01.2020;21:00;22:00;0;150;-;-;-;-;0;0;385
03.01.2020;22:00;23:00;0;150;-;-;-;-;0;0;402
03.01.2020;23:00;00:00;0;150;-;-;-;-;0;0;369
04.01.2020;00:00;01:00;0;153;-;-;-;-;0;0;370
04.01.2020;01:00;02:00;0;151;-;-;-;-;0;0;368
04.01.2020;02:00;03:00;0;150;-;-;-;-;0;0;407
04.01.2020;03:00;04:00;0;151;-;-;-;-;0;0;360
04.01.2020;04:00;05:00;0;152;-;-;-;-;0;0;374
04.01.2020;05:00;06:00;0;150;-;-;-;-;0;0;370
04.01.2020;06:00;07:00;0;150;-;-;-;-;0;0;374
04.01.2020;07:00;08:00;0;149;-;-;-;-;0;0;369
04.01.2020;08:00;09:00;0;149;-;-;-;-;0;0;377
04.01.2020;09:00;10:00;0;151;-;-;-;-;0;0;369
04.01.2020;10:00;11:00;0;149;-;-;-;-;0;0;376
04.01.2020;11:00;12:00;0;150;-;-;-;-;0;0;408
04.01.2020;12:00;13:00;0;150;-;-;-;-;0;0;385
04.01.2020;13:00;14:00;0;151;-;-;-;-;0;0;422
04.01.2020;14:00;15:00;0;150;-;-;-;-;0;0;384
04.01.2020;15:00;16:00;0;150;-;-;-;-;0;0;417
04.01.2020;16:00;17:00;0;160;-;-;-;-;0;0;437
04.01.2020;17:00;18:00;0;159;-;-;-;-;0;0;431
04.01.2020;18:00;19:00;0;148;-;-;-;-;0;0;432
04.01.2020;19:00;20:00;0;150;-;-;-;-;0;0;429
04.01.2020;20:00;21:00;0;150;-;-;-;-;0;0;439
04.01.2020;21:00;22:00;0;150;-;-;-;-;0;0;504
04.01.2020;22:00;23:00;0;180;-;-;-;-;0;0;530
04.01.2020;23:00;00:00;0;262;-;-;-;-;0;0;718
05.01.2020;00:00;01:00;0;196;-;-;-;-;0;0;914
05.01.2020;01:00;02:00;0;149;-;-;-;-;0;0;924
05.01.2020;02:00;03:00;0;150;-;-;-;-;0;0;927
05.01.2020;03:00;04:00;0;150;-;-;-;-;0;0;917
05.01.2020;04:00;05:00;0;150;-;-;-;-;0;0;925
05.01.2020;05:00;06:00;0;150;-;-;-;-;0;0;930
05.01.2020;06:00;07:00;0;149;-;-;-;-;0;0;929
05.01.2020;07:00;08:00;0;152;-;-;-;-;0;0;927
