Datum;Anfang;Ende;Generation_DE PSW Markersbach PSS B [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS A [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS C [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS D [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS E [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS F [MW] Originalauflösungen
01.01.2022;00:00;01:00;0;0;0;0;0;0
01.01.2022;01:00;02:00;0;0;0;0;0;0
01.01.2022;02:00;03:00;0;0;0;0;0;0
01.01.2022;03:00;04:00;0;0;0;0;0;0
01.01.2022;04:00;05:00;0;0;0;0;0;0
01.01.2022;05:00;06:00;0;0;0;0;0;0
01.01.2022;06:00;07:00;0;0;0;0;0;0
01.01.2022;07:00;08:00;0;1;0;0;0;0
01.01.2022;08:00;09:00;0;69;0;0;0;0
01.01.2022;09:00;10:00;0;69;0;0;0;0
01.01.2022;10:00;11:00;0;71;0;0;0;0
01.01.2022;11:00;12:00;0;71;0;0;0;0
01.01.2022;12:00;13:00;0;4;0;0;0;0
01.01.2022;13:00;14:00;1;131;0;0;0;0
01.01.2022;14:00;15:00;124;124;0;125;0;147
01.01.2022;15:00;16:00;153;152;0;153;0;150
01.01.2022;16:00;17:00;143;142;0;143;0;150
01.01.2022;17:00;18:00;143;142;0;143;0;150
01.01.2022;18:00;19:00;142;142;0;142;0;150
01.01.2022;19:00;20:00;121;121;0;121;0;150
01.01.2022;20:00;21:00;99;2;0;1;0;150
01.01.2022;21:00;22:00;65;0;0;0;0;5
01.01.2022;22:00;23:00;67;0;0;0;0;0
01.01.2022;23:00;00:00;64;0;0;0;0;0
02.01.2022;00:00;01:00;18;65;0;0;0;0
02.01.2022;01:00;02:00;0;0;0;0;0;0
02.01.2022;02:00;03:00;0;0;0;0;0;0
02.01.2022;03:00;04:00;0;0;0;0;0;0
02.01.2022;04:00;05:00;0;0;0;0;0;0
02.01.2022;05:00;06:00;0;0;0;0;0;0
02.01.2022;06:00;07:00;0;0;0;0;0;0
02.01.2022;07:00;08:00;0;70;0;0;0;0
02.01.2022;08:00;09:00;0;154;0;7;0;0
02.01.2022;09:00;10:00;0;164;0;164;0;0
02.01.2022;10:00;11:00;0;110;0;110;0;0
02.01.2022;11:00;12:00;0;111;0;111;0;0
02.01.2022;12:00;13:00;0;5;0;0;0;0
02.01.2022;13:00;14:00;0;0;0;0;0;0
02.01.2022;14:00;15:00;0;0;0;0;0;0
02.01.2022;15:00;16:00;0;3;0;0;0;0
02.01.2022;16:00;17:00;0;99;0;0;0;0
02.01.2022;17:00;18:00;71;129;0;0;0;0
02.01.2022;18:00;19:00;9;113;0;0;0;0
02.01.2022;19:00;20:00;49;76;0;0;0;0
02.01.2022;20:00;21:00;1;0;0;0;0;0
02.01.2022;21:00;22:00;0;0;0;0;0;0
02.01.2022;22:00;23:00;0;0;0;0;0;0
02.01.2022;23:00;00:00;0;0;0;0;0;0
03.01.2022;00:00;01:00;0;0;0;0;0;0
03.01.2022;01:00;02:00;0;0;0;0;0;0
03.01.2022;02:00;03:00;0;0;0;0;0;0
03.01.2022;03:00;04:00;0;0;0;0;0;0
03.01.2022;04:00;05:00;0;0;0;0;0;0
03.01.2022;05:00;06:00;0;0;0;0;0;0
03.01.2022;06:00;07:00;0;55;0;0;0;0
03.01.2022;07:00;08:00;0;57;0;0;0;0
03.01.2022;08:00;09:00;0;2;0;0;0;0
03.01.2022;09:00;10:00;0;0;0;0;0;0
03.01.2022;10:00;11:00;0;0;0;0;0;0
03.01.2022;11:00;12:00;0;0;0;0;0;0
03.01.2022;12:00;13:00;0;10;0;0;0;0
03.01.2022;13:00;14:00;0;130;0;0;0;0
03.01.2022;14:00;15:00;30;35;0;0;0;0
03.01.2022;15:00;16:00;34;115;0;0;0;0
03.01.2022;16:00;17:00;74;154;0;0;0;0
03.01.2022;17:00;18:00;159;159;0;122;0;0
03.01.2022;18:00;19:00;147;148;0;148;0;80
03.01.2022;19:00;20:00;7;154;0;155;0;8
03.01.2022;20:00;21:00;25;76;0;8;0;64
03.01.2022;21:00;22:00;80;90;0;0;0;142
03.01.2022;22:00;23:00;1;29;0;8;0;27
03.01.2022;23:00;00:00;0;7;0;0;0;0
04.01.2022;00:00;01:00;0;0;0;0;0;0
04.01.2022;01:00;02:00;0;0;0;0;0;0
04.01.2022;02:00;03:00;0;0;0;0;0;0
04.01.2022;03:00;04:00;0;0;0;0;0;0
04.01.2022;04:00;05:00;0;0;0;0;0;0
04.01.2022;05:00;06:00;0;0;0;0;0;0
04.01.2022;06:00;07:00;0;0;0;0;0;0
04.01.2022;07:00;08:00;34;37;0;0;0;0
04.01.2022;08:00;09:00;135;135;0;71;0;0
04.01.2022;09:00;10:00;159;159;0;160;0;22
04.01.2022;10:00;11:00;115;115;0;115;0;120
04.01.2022;11:00;12:00;113;113;0;113;0;0
04.01.2022;12:00;13:00;155;155;0;156;0;0
04.01.2022;13:00;14:00;108;108;0;108;0;0
04.01.2022;14:00;15:00;2;65;0;47;0;0
04.01.2022;15:00;16:00;0;0;0;0;0;0
04.01.2022;16:00;17:00;78;113;0;13;0;2
04.01.2022;17:00;18:00;115;115;0;116;0;156
04.01.2022;18:00;19:00;112;112;0;112;0;152
04.01.2022;19:00;20:00;1;3;0;3;0;9
04.01.2022;20:00;21:00;104;112;0;0;0;105
04.01.2022;21:00;22:00;0;57;0;0;0;0
04.01.2022;22:00;23:00;21;38;0;19;0;0
04.01.2022;23:00;00:00;1;16;0;0;0;0
05.01.2022;00:00;01:00;9;10;0;0;0;0
05.01.2022;01:00;02:00;0;0;0;0;0;0
05.01.2022;02:00;03:00;0;0;0;0;0;0
05.01.2022;03:00;04:00;0;0;0;0;0;0
05.01.2022;04:00;05:00;0;0;0;0;0;0
05.01.2022;05:00;06:00;0;0;0;0;0;36
05.01.2022;06:00;07:00;0;24;0;26;0;30
05.01.2022;07:00;08:00;63;77;0;43;0;34
05.01.2022;08:00;09:00;130;130;0;130;0;129
05.01.2022;09:00;10:00;104;104;0;104;0;71
05.01.2022;10:00;11:00;49;84;0;34;0;0
05.01.2022;11:00;12:00;0;0;0;0;0;0
05.01.2022;12:00;13:00;0;0;0;0;0;0
05.01.2022;13:00;14:00;0;0;0;0;0;0
05.01.2022;14:00;15:00;0;0;0;0;0;0
05.01.2022;15:00;16:00;0;0;0;0;0;0
05.01.2022;16:00;17:00;125;127;0;128;0;0
05.01.2022;17:00;18:00;144;145;0;2;0;74
05.01.2022;18:00;19:00;124;124;0;125;0;30
05.01.2022;19:00;20:00;127;13;0;3;0;0
05.01.2022;20:00;21:00;2;2;0;0;0;0
05.01.2022;21:00;22:00;0;0;0;0;0;0
05.01.2022;22:00;23:00;0;0;0;0;0;0
05.01.2022;23:00;00:00;0;0;0;0;0;0
06.01.2022;00:00;01:00;0;0;0;0;0;0
06.01.2022;01:00;02:00;0;0;0;0;0;0
06.01.2022;02:00;03:00;0;0;0;0;0;0
06.01.2022;03:00;04:00;0;0;0;0;0;0
06.01.2022;04:00;05:00;0;0;0;0;0;0
06.01.2022;05:00;06:00;0;0;0;0;0;0
06.01.2022;06:00;07:00;0;0;0;0;0;0
06.01.2022;07:00;08:00;79;88;0;77;0;0
06.01.2022;08:00;09:00;157;157;0;157;0;0
06.01.2022;09:00;10:00;159;159;0;159;0;0
06.01.2022;10:00;11:00;156;156;0;156;0;0
06.01.2022;11:00;12:00;153;153;0;2;0;0
06.01.2022;12:00;13:00;28;0;0;0;0;0
06.01.2022;13:00;14:00;0;0;0;0;0;0
06.01.2022;14:00;15:00;0;0;0;0;0;0
06.01.2022;15:00;16:00;75;118;0;55;0;0
06.01.2022;16:00;17:00;127;126;0;127;0;119
06.01.2022;17:00;18:00;115;115;0;115;0;146
06.01.2022;18:00;19:00;96;92;0;91;0;77
06.01.2022;19:00;20:00;89;113;0;84;0;75
06.01.2022;20:00;21:00;0;55;0;0;0;0
06.01.2022;21:00;22:00;0;15;0;0;0;0
06.01.2022;22:00;23:00;0;64;0;0;0;0
06.01.2022;23:00;00:00;0;0;0;0;0;0
07.01.2022;00:00;01:00;0;0;0;0;0;0
07.01.2022;01:00;02:00;0;0;0;0;0;0
07.01.2022;02:00;03:00;0;0;0;0;0;0
07.01.2022;03:00;04:00;0;0;0;0;0;0
