Datum;Anfang;Ende;Generation_DE GKM Block 6 [MW] Originalauflösungen
01.01.2018;00:00;01:00;18
01.01.2018;01:00;02:00;17
01.01.2018;02:00;03:00;17
01.01.2018;03:00;04:00;17
01.01.2018;04:00;05:00;17
01.01.2018;05:00;06:00;15
01.01.2018;06:00;07:00;16
01.01.2018;07:00;08:00;19
01.01.2018;08:00;09:00;17
01.01.2018;09:00;10:00;18
01.01.2018;10:00;11:00;20
01.01.2018;11:00;12:00;22
01.01.2018;12:00;13:00;24
01.01.2018;13:00;14:00;26
01.01.2018;14:00;15:00;31
01.01.2018;15:00;16:00;30
01.01.2018;16:00;17:00;37
01.01.2018;17:00;18:00;42
01.01.2018;18:00;19:00;41
01.01.2018;19:00;20:00;40
01.01.2018;20:00;21:00;41
01.01.2018;21:00;22:00;37
01.01.2018;22:00;23:00;30
01.01.2018;23:00;00:00;24
02.01.2018;00:00;01:00;19
02.01.2018;01:00;02:00;17
02.01.2018;02:00;03:00;17
02.01.2018;03:00;04:00;16
02.01.2018;04:00;05:00;17
02.01.2018;05:00;06:00;27
02.01.2018;06:00;07:00;34
02.01.2018;07:00;08:00;68
02.01.2018;08:00;09:00;86
02.01.2018;09:00;10:00;77
02.01.2018;10:00;11:00;43
02.01.2018;11:00;12:00;41
02.01.2018;12:00;13:00;41
02.01.2018;13:00;14:00;42
02.01.2018;14:00;15:00;75
02.01.2018;15:00;16:00;80
02.01.2018;16:00;17:00;87
02.01.2018;17:00;18:00;88
02.01.2018;18:00;19:00;87
02.01.2018;19:00;20:00;68
02.01.2018;20:00;21:00;43
02.01.2018;21:00;22:00;41
02.01.2018;22:00;23:00;35
02.01.2018;23:00;00:00;23
03.01.2018;00:00;01:00;19
03.01.2018;01:00;02:00;17
03.01.2018;02:00;03:00;17
03.01.2018;03:00;04:00;17
03.01.2018;04:00;05:00;17
03.01.2018;05:00;06:00;18
03.01.2018;06:00;07:00;24
03.01.2018;07:00;08:00;30
03.01.2018;08:00;09:00;31
03.01.2018;09:00;10:00;31
03.01.2018;10:00;11:00;29
03.01.2018;11:00;12:00;30
03.01.2018;12:00;13:00;35
03.01.2018;13:00;14:00;37
03.01.2018;14:00;15:00;36
03.01.2018;15:00;16:00;34
03.01.2018;16:00;17:00;33
03.01.2018;17:00;18:00;32
03.01.2018;18:00;19:00;30
03.01.2018;19:00;20:00;31
03.01.2018;20:00;21:00;31
03.01.2018;21:00;22:00;31
03.01.2018;22:00;23:00;29
03.01.2018;23:00;00:00;21
04.01.2018;00:00;01:00;37
04.01.2018;01:00;02:00;55
04.01.2018;02:00;03:00;33
04.01.2018;03:00;04:00;27
04.01.2018;04:00;05:00;32
04.01.2018;05:00;06:00;35
04.01.2018;06:00;07:00;48
