Datum;Anfang;Ende;Generation_DE Maschine 11 [MW] Originalauflösungen;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen
01.01.2018;00:00;01:00;0;0;0;0;0;60;59;43;60;0;0
01.01.2018;01:00;02:00;0;0;0;0;0;4;3;0;4;0;0
01.01.2018;02:00;03:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;03:00;04:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;04:00;05:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;05:00;06:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;06:00;07:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;07:00;08:00;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;08:00;09:00;0;53;52;54;53;0;0;0;0;0;52
01.01.2018;09:00;10:00;0;84;83;86;84;0;0;0;0;0;85
01.01.2018;10:00;11:00;1;56;56;58;57;0;0;0;0;0;57
01.01.2018;11:00;12:00;1;25;24;26;26;0;0;0;0;0;25
01.01.2018;12:00;13:00;1;64;63;65;64;0;0;0;0;0;65
01.01.2018;13:00;14:00;0;13;11;14;13;0;0;0;0;0;13
01.01.2018;14:00;15:00;0;10;7;10;9;0;0;0;0;0;10
01.01.2018;15:00;16:00;1;18;18;19;19;0;0;0;0;0;19
01.01.2018;16:00;17:00;0;29;28;30;30;0;0;0;0;0;29
01.01.2018;17:00;18:00;1;63;62;64;63;0;0;0;0;13;63
01.01.2018;18:00;19:00;142;64;63;65;64;65;64;67;65;163;65
01.01.2018;19:00;20:00;73;36;35;37;37;37;36;38;37;93;37
01.01.2018;20:00;21:00;1;24;23;25;25;25;24;26;25;0;24
01.01.2018;21:00;22:00;1;2;2;2;2;11;10;3;3;0;2
01.01.2018;22:00;23:00;1;0;0;0;0;10;10;0;0;0;0
01.01.2018;23:00;00:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;00:00;01:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;01:00;02:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;02:00;03:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;03:00;04:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;04:00;05:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;05:00;06:00;0;0;0;0;0;0;0;0;0;0;0
02.01.2018;06:00;07:00;0;0;0;0;0;0;19;20;19;0;0
02.01.2018;07:00;08:00;1;0;0;0;0;0;42;45;43;0;0
02.01.2018;08:00;09:00;108;47;46;48;47;0;64;67;65;0;47
02.01.2018;09:00;10:00;123;49;49;51;49;0;50;52;51;0;50
02.01.2018;10:00;11:00;167;78;54;79;78;25;78;81;79;0;79
