Datum;Anfang;Ende;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen;Generation_DE GTKW Wedel [MW] Originalauflösungen
09.01.2023;01:00;02:00;1;80;-
09.01.2023;02:00;03:00;24;81;-
09.01.2023;03:00;04:00;37;82;-
09.01.2023;04:00;05:00;52;83;-
09.01.2023;05:00;06:00;53;80;-
09.01.2023;06:00;07:00;61;76;-
09.01.2023;07:00;08:00;70;85;-
09.01.2023;08:00;09:00;76;88;-
09.01.2023;09:00;10:00;71;97;-
09.01.2023;10:00;11:00;72;101;-
09.01.2023;11:00;12:00;91;100;-
09.01.2023;12:00;13:00;96;100;-
09.01.2023;13:00;14:00;98;100;-
09.01.2023;14:00;15:00;98;98;-
09.01.2023;15:00;16:00;100;99;-
09.01.2023;16:00;17:00;99;98;-
09.01.2023;17:00;18:00;100;98;-
09.01.2023;18:00;19:00;100;98;-
09.01.2023;19:00;20:00;99;96;-
09.01.2023;20:00;21:00;100;99;-
09.01.2023;21:00;22:00;98;98;-
09.01.2023;22:00;23:00;69;83;-
09.01.2023;23:00;00:00;48;47;-
10.01.2023;00:00;01:00;47;46;-
10.01.2023;01:00;02:00;47;50;-
10.01.2023;02:00;03:00;47;49;-
10.01.2023;03:00;04:00;47;48;-
10.01.2023;04:00;05:00;45;52;-
10.01.2023;05:00;06:00;58;68;-
10.01.2023;06:00;07:00;91;98;-
10.01.2023;07:00;08:00;98;104;-
10.01.2023;08:00;09:00;96;104;-
10.01.2023;09:00;10:00;97;103;-
10.01.2023;10:00;11:00;96;104;-
10.01.2023;11:00;12:00;96;104;-
10.01.2023;12:00;13:00;95;103;-
10.01.2023;13:00;14:00;96;104;-
10.01.2023;14:00;15:00;85;104;-
10.01.2023;15:00;16:00;96;103;-
10.01.2023;16:00;17:00;86;97;-
10.01.2023;17:00;18:00;49;61;-
10.01.2023;18:00;19:00;44;55;-
10.01.2023;19:00;20:00;47;59;-
10.01.2023;20:00;21:00;47;62;-
10.01.2023;21:00;22:00;47;60;-
10.01.2023;22:00;23:00;47;61;-
10.01.2023;23:00;00:00;47;62;-
11.01.2023;00:00;01:00;46;61;-
11.01.2023;01:00;02:00;46;62;-
11.01.2023;02:00;03:00;47;62;-
11.01.2023;03:00;04:00;47;62;-
11.01.2023;04:00;05:00;48;63;-
11.01.2023;05:00;06:00;47;63;-
11.01.2023;06:00;07:00;47;62;-
11.01.2023;07:00;08:00;48;63;-
11.01.2023;08:00;09:00;48;59;-
11.01.2023;09:00;10:00;47;60;-
11.01.2023;10:00;11:00;46;49;-
11.01.2023;11:00;12:00;49;47;-
11.01.2023;12:00;13:00;49;49;-
11.01.2023;13:00;14:00;49;47;-
11.01.2023;14:00;15:00;49;46;-
11.01.2023;15:00;16:00;49;50;-
11.01.2023;16:00;17:00;49;51;-
11.01.2023;17:00;18:00;49;51;-
11.01.2023;18:00;19:00;50;53;-
11.01.2023;19:00;20:00;50;52;-
11.01.2023;20:00;21:00;47;51;-
11.01.2023;21:00;22:00;45;52;-
11.01.2023;22:00;23:00;45;52;-
11.01.2023;23:00;00:00;46;52;-
12.01.2023;00:00;01:00;47;52;-
12.01.2023;01:00;02:00;46;51;-
12.01.2023;02:00;03:00;43;52;-
12.01.2023;03:00;04:00;39;50;-
12.01.2023;04:00;05:00;37;49;-
12.01.2023;05:00;06:00;40;50;-
12.01.2023;06:00;07:00;43;50;-
12.01.2023;07:00;08:00;42;50;-
12.01.2023;08:00;09:00;44;50;-
12.01.2023;09:00;10:00;44;50;-
12.01.2023;10:00;11:00;44;51;-
12.01.2023;11:00;12:00;44;51;-
12.01.2023;12:00;13:00;44;57;-
