Datum;Anfang;Ende;Generation_DE HKW Reuter West Dampfturbine D [MW] Originalauflösungen;Generation_DE HKW Reuter West Dampfturbine E [MW] Originalauflösungen
11.01.2023;04:00;05:00;0;49
11.01.2023;05:00;06:00;0;51
11.01.2023;06:00;07:00;0;52
11.01.2023;07:00;08:00;0;124
11.01.2023;08:00;09:00;0;124
11.01.2023;09:00;10:00;0;124
11.01.2023;10:00;11:00;0;124
11.01.2023;11:00;12:00;0;124
11.01.2023;12:00;13:00;0;124
11.01.2023;13:00;14:00;0;124
11.01.2023;14:00;15:00;0;125
11.01.2023;15:00;16:00;0;124
11.01.2023;16:00;17:00;0;125
11.01.2023;17:00;18:00;0;124
11.01.2023;18:00;19:00;0;123
11.01.2023;19:00;20:00;0;123
11.01.2023;20:00;21:00;0;123
11.01.2023;21:00;22:00;0;123
11.01.2023;22:00;23:00;0;123
11.01.2023;23:00;00:00;0;122
12.01.2023;00:00;01:00;0;55
12.01.2023;01:00;02:00;0;53
12.01.2023;02:00;03:00;0;56
12.01.2023;03:00;04:00;0;53
12.01.2023;04:00;05:00;0;67
12.01.2023;05:00;06:00;0;58
12.01.2023;06:00;07:00;0;53
12.01.2023;07:00;08:00;0;59
12.01.2023;08:00;09:00;0;63
12.01.2023;09:00;10:00;0;57
12.01.2023;10:00;11:00;0;55
12.01.2023;11:00;12:00;0;53
12.01.2023;12:00;13:00;0;53
12.01.2023;13:00;14:00;0;53
12.01.2023;14:00;15:00;0;53
12.01.2023;15:00;16:00;0;53
12.01.2023;16:00;17:00;0;52
12.01.2023;17:00;18:00;0;69
12.01.2023;18:00;19:00;0;123
12.01.2023;19:00;20:00;0;60
12.01.2023;20:00;21:00;0;53
12.01.2023;21:00;22:00;0;54
12.01.2023;22:00;23:00;0;55
12.01.2023;23:00;00:00;0;41
13.01.2023;00:00;01:00;0;39
13.01.2023;01:00;02:00;0;39
13.01.2023;02:00;03:00;0;39
13.01.2023;03:00;04:00;0;38
13.01.2023;04:00;05:00;0;38
13.01.2023;05:00;06:00;0;41
13.01.2023;06:00;07:00;0;124
13.01.2023;07:00;08:00;0;122
13.01.2023;08:00;09:00;0;125
13.01.2023;09:00;10:00;0;125
13.01.2023;10:00;11:00;0;125
13.01.2023;11:00;12:00;0;121
13.01.2023;12:00;13:00;0;123
13.01.2023;13:00;14:00;0;121
13.01.2023;14:00;15:00;0;121
13.01.2023;15:00;16:00;0;124
13.01.2023;16:00;17:00;0;123
13.01.2023;17:00;18:00;0;124
13.01.2023;18:00;19:00;0;124
13.01.2023;19:00;20:00;0;125
13.01.2023;20:00;21:00;0;124
13.01.2023;21:00;22:00;0;123
13.01.2023;22:00;23:00;0;125
13.01.2023;23:00;00:00;0;123
14.01.2023;00:00;01:00;0;122
14.01.2023;01:00;02:00;0;125
14.01.2023;02:00;03:00;0;124
14.01.2023;03:00;04:00;0;123
14.01.2023;04:00;05:00;0;125
14.01.2023;05:00;06:00;0;125
14.01.2023;06:00;07:00;0;125
14.01.2023;07:00;08:00;0;126
14.01.2023;08:00;09:00;0;124
14.01.2023;09:00;10:00;0;125
14.01.2023;10:00;11:00;0;125
14.01.2023;11:00;12:00;0;122
14.01.2023;12:00;13:00;0;125
14.01.2023;13:00;14:00;0;125
14.01.2023;14:00;15:00;0;47
14.01.2023;15:00;16:00;0;27
14.01.2023;16:00;17:00;0;25
14.01.2023;17:00;18:00;0;24
14.01.2023;18:00;19:00;0;24
14.01.2023;19:00;20:00;0;24
14.01.2023;20:00;21:00;0;24
14.01.2023;21:00;22:00;2;26
14.01.2023;22:00;23:00;5;26
14.01.2023;23:00;00:00;27;25
15.01.2023;00:00;01:00;40;27
15.01.2023;01:00;02:00;77;27
15.01.2023;02:00;03:00;126;26
15.01.2023;03:00;04:00;136;25
15.01.2023;04:00;05:00;135;25
15.01.2023;05:00;06:00;136;24
15.01.2023;06:00;07:00;135;26
15.01.2023;07:00;08:00;133;25
15.01.2023;08:00;09:00;135;25
15.01.2023;09:00;10:00;138;25
15.01.2023;10:00;11:00;137;25
15.01.2023;11:00;12:00;138;25
15.01.2023;12:00;13:00;139;24
15.01.2023;13:00;14:00;139;21
15.01.2023;14:00;15:00;138;24
15.01.2023;15:00;16:00;134;23
15.01.2023;16:00;17:00;134;23
15.01.2023;17:00;18:00;135;23
15.01.2023;18:00;19:00;136;21
15.01.2023;19:00;20:00;134;24
15.01.2023;20:00;21:00;134;24
15.01.2023;21:00;22:00;134;18
15.01.2023;22:00;23:00;134;116
15.01.2023;23:00;00:00;134;124
16.01.2023;00:00;01:00;134;124
16.01.2023;01:00;02:00;134;126
16.01.2023;02:00;03:00;136;126
16.01.2023;03:00;04:00;137;124
16.01.2023;04:00;05:00;138;126
16.01.2023;05:00;06:00;138;124
16.01.2023;06:00;07:00;155;124
16.01.2023;07:00;08:00;159;124
16.01.2023;08:00;09:00;166;123
16.01.2023;09:00;10:00;168;123
16.01.2023;10:00;11:00;154;125
16.01.2023;11:00;12:00;136;125
16.01.2023;12:00;13:00;134;125
16.01.2023;13:00;14:00;134;125
16.01.2023;14:00;15:00;138;125
16.01.2023;15:00;16:00;138;125
16.01.2023;16:00;17:00;148;125
16.01.2023;17:00;18:00;176;126
16.01.2023;18:00;19:00;176;124
16.01.2023;19:00;20:00;175;125
16.01.2023;20:00;21:00;154;125
16.01.2023;21:00;22:00;134;125
16.01.2023;22:00;23:00;134;124
16.01.2023;23:00;00:00;134;125
17.01.2023;00:00;01:00;134;125
17.01.2023;01:00;02:00;137;125
17.01.2023;02:00;03:00;137;125
17.01.2023;03:00;04:00;138;125
17.01.2023;04:00;05:00;137;125
17.01.2023;05:00;06:00;137;125
17.01.2023;06:00;07:00;137;125
17.01.2023;07:00;08:00;168;124
17.01.2023;08:00;09:00;175;123
17.01.2023;09:00;10:00;178;125
17.01.2023;10:00;11:00;199;124
17.01.2023;11:00;12:00;201;124
17.01.2023;12:00;13:00;201;124
17.01.2023;13:00;14:00;201;122
17.01.2023;14:00;15:00;201;123
17.01.2023;15:00;16:00;201;124
17.01.2023;16:00;17:00;201;126
17.01.2023;17:00;18:00;200;126
17.01.2023;18:00;19:00;200;123
17.01.2023;19:00;20:00;200;125
17.01.2023;20:00;21:00;200;124
17.01.2023;21:00;22:00;200;126
17.01.2023;22:00;23:00;200;124
17.01.2023;23:00;00:00;201;124
18.01.2023;00:00;01:00;204;126
18.01.2023;01:00;02:00;200;123
18.01.2023;02:00;03:00;200;126
18.01.2023;03:00;04:00;200;125
18.01.2023;04:00;05:00;200;125
18.01.2023;05:00;06:00;200;125
18.01.2023;06:00;07:00;200;125
18.01.2023;07:00;08:00;201;125
18.01.2023;08:00;09:00;200;125
18.01.2023;09:00;10:00;199;125
18.01.2023;10:00;11:00;199;123
18.01.2023;11:00;12:00;202;121
18.01.2023;12:00;13:00;183;125
18.01.2023;13:00;14:00;174;120
18.01.2023;14:00;15:00;174;124
18.01.2023;15:00;16:00;174;124
18.01.2023;16:00;17:00;174;125
18.01.2023;17:00;18:00;174;124
18.01.2023;18:00;19:00;174;124
18.01.2023;19:00;20:00;174;125
18.01.2023;20:00;21:00;174;124
18.01.2023;21:00;22:00;174;124
18.01.2023;22:00;23:00;152;124
18.01.2023;23:00;00:00;137;124
19.01.2023;00:00;01:00;137;124
19.01.2023;01:00;02:00;133;124
19.01.2023;02:00;03:00;138;124
19.01.2023;03:00;04:00;154;124
19.01.2023;04:00;05:00;172;123
19.01.2023;05:00;06:00;175;124
19.01.2023;06:00;07:00;177;124
19.01.2023;07:00;08:00;195;123
19.01.2023;08:00;09:00;198;127
19.01.2023;09:00;10:00;199;124
19.01.2023;10:00;11:00;196;124
19.01.2023;11:00;12:00;186;124
19.01.2023;12:00;13:00;183;124
19.01.2023;13:00;14:00;183;124
19.01.2023;14:00;15:00;183;125
19.01.2023;15:00;16:00;183;124
19.01.2023;16:00;17:00;183;124
19.01.2023;17:00;18:00;183;124
19.01.2023;18:00;19:00;183;125
19.01.2023;19:00;20:00;183;119
19.01.2023;20:00;21:00;183;125
19.01.2023;21:00;22:00;185;128
19.01.2023;22:00;23:00;186;127
19.01.2023;23:00;00:00;183;124
20.01.2023;00:00;01:00;183;124
20.01.2023;01:00;02:00;183;126
20.01.2023;02:00;03:00;183;124
20.01.2023;03:00;04:00;183;127
20.01.2023;04:00;05:00;185;125
20.01.2023;05:00;06:00;184;127
20.01.2023;06:00;07:00;200;127
20.01.2023;07:00;08:00;204;128
