Datum;Anfang;Ende;Generation_DE Heizkraftwerk West Block 1 [MW] Originalauflösungen;Generation_DE Heizkraftwerk West Block 2 [MW] Originalauflösungen
07.01.2023;20:00;21:00;38;37
07.01.2023;21:00;22:00;38;37
07.01.2023;22:00;23:00;37;37
07.01.2023;23:00;00:00;38;38
08.01.2023;00:00;01:00;38;38
08.01.2023;01:00;02:00;35;38
08.01.2023;02:00;03:00;44;38
08.01.2023;03:00;04:00;42;38
08.01.2023;04:00;05:00;39;38
08.01.2023;05:00;06:00;38;38
08.01.2023;06:00;07:00;38;38
08.01.2023;07:00;08:00;38;38
08.01.2023;08:00;09:00;39;37
08.01.2023;09:00;10:00;56;38
08.01.2023;10:00;11:00;43;38
08.01.2023;11:00;12:00;38;38
08.01.2023;12:00;13:00;39;38
08.01.2023;13:00;14:00;38;38
08.01.2023;14:00;15:00;39;38
08.01.2023;15:00;16:00;39;38
08.01.2023;16:00;17:00;38;38
08.01.2023;17:00;18:00;38;37
08.01.2023;18:00;19:00;38;38
08.01.2023;19:00;20:00;37;37
08.01.2023;20:00;21:00;38;38
08.01.2023;21:00;22:00;38;38
08.01.2023;22:00;23:00;38;38
08.01.2023;23:00;00:00;37;38
09.01.2023;00:00;01:00;37;37
09.01.2023;01:00;02:00;37;38
09.01.2023;02:00;03:00;37;38
09.01.2023;03:00;04:00;38;38
09.01.2023;04:00;05:00;38;38
09.01.2023;05:00;06:00;42;42
09.01.2023;06:00;07:00;58;53
09.01.2023;07:00;08:00;55;56
09.01.2023;08:00;09:00;55;55
09.01.2023;09:00;10:00;56;55
09.01.2023;10:00;11:00;56;55
09.01.2023;11:00;12:00;56;55
09.01.2023;12:00;13:00;61;55
09.01.2023;13:00;14:00;61;56
09.01.2023;14:00;15:00;60;55
09.01.2023;15:00;16:00;62;55
09.01.2023;16:00;17:00;59;56
09.01.2023;17:00;18:00;61;58
09.01.2023;18:00;19:00;55;55
09.01.2023;19:00;20:00;64;55
09.01.2023;20:00;21:00;60;55
09.01.2023;21:00;22:00;51;54
