Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
05.01.2017;00:00;01:00;-;-;318;0;0;323;658;658
05.01.2017;01:00;02:00;-;-;320;0;0;321;659;658
05.01.2017;02:00;03:00;-;-;318;0;0;324;665;660
05.01.2017;03:00;04:00;-;-;318;0;0;323;662;660
05.01.2017;04:00;05:00;-;-;319;0;0;320;660;657
05.01.2017;05:00;06:00;-;-;322;0;0;323;659;660
05.01.2017;06:00;07:00;-;-;319;0;0;322;657;660
05.01.2017;07:00;08:00;-;-;318;0;0;321;661;658
05.01.2017;08:00;09:00;-;-;318;0;0;324;658;658
05.01.2017;09:00;10:00;-;-;322;0;0;324;658;658
05.01.2017;10:00;11:00;-;-;318;0;0;320;665;661
05.01.2017;11:00;12:00;-;-;318;0;0;325;657;660
05.01.2017;12:00;13:00;-;-;321;0;0;324;661;661
05.01.2017;13:00;14:00;-;-;320;0;0;324;660;660
05.01.2017;14:00;15:00;-;-;316;0;0;325;659;660
05.01.2017;15:00;16:00;-;-;319;0;0;325;660;660
05.01.2017;16:00;17:00;-;-;323;0;0;323;662;660
05.01.2017;17:00;18:00;-;-;320;0;0;324;659;659
05.01.2017;18:00;19:00;-;-;318;0;0;320;658;657
05.01.2017;19:00;20:00;-;-;319;0;0;321;660;662
05.01.2017;20:00;21:00;-;-;321;0;0;323;658;661
05.01.2017;21:00;22:00;-;-;322;0;0;319;659;661
05.01.2017;22:00;23:00;-;-;319;0;0;324;661;661
05.01.2017;23:00;00:00;-;-;322;0;0;324;662;659
06.01.2017;00:00;01:00;-;-;323;0;0;321;665;662
06.01.2017;01:00;02:00;-;-;321;0;0;325;661;662
06.01.2017;02:00;03:00;-;-;320;0;0;321;661;660
06.01.2017;03:00;04:00;-;-;320;0;0;324;663;663
06.01.2017;04:00;05:00;-;-;322;0;0;322;662;662
06.01.2017;05:00;06:00;-;-;320;0;0;323;662;659
06.01.2017;06:00;07:00;-;-;320;0;0;324;664;660
06.01.2017;07:00;08:00;-;-;322;0;0;321;661;661
06.01.2017;08:00;09:00;-;-;321;0;0;324;662;657
06.01.2017;09:00;10:00;-;-;322;0;0;322;661;663
06.01.2017;10:00;11:00;-;-;320;0;0;322;659;662
06.01.2017;11:00;12:00;-;-;317;0;0;321;662;663
06.01.2017;12:00;13:00;-;-;317;0;0;323;662;664
06.01.2017;13:00;14:00;-;-;319;0;0;323;662;664
06.01.2017;14:00;15:00;-;-;317;0;0;322;661;662
06.01.2017;15:00;16:00;-;-;319;0;0;323;661;660
06.01.2017;16:00;17:00;-;-;321;0;0;326;658;662
06.01.2017;17:00;18:00;-;-;319;0;0;323;658;661
06.01.2017;18:00;19:00;-;-;317;0;0;323;660;661
06.01.2017;19:00;20:00;-;-;323;0;0;321;663;663
06.01.2017;20:00;21:00;-;-;316;0;0;323;659;661
06.01.2017;21:00;22:00;-;-;316;0;0;325;662;662
06.01.2017;22:00;23:00;-;-;318;0;0;323;662;660
06.01.2017;23:00;00:00;-;-;319;0;0;323;662;662
07.01.2017;00:00;01:00;-;-;320;0;0;321;663;661
07.01.2017;01:00;02:00;-;-;321;0;0;323;663;662
07.01.2017;02:00;03:00;-;-;317;0;0;323;662;663
07.01.2017;03:00;04:00;-;-;320;0;0;325;664;665
07.01.2017;04:00;05:00;-;-;318;0;0;320;664;663
07.01.2017;05:00;06:00;-;-;318;0;0;321;663;661
07.01.2017;06:00;07:00;-;-;320;0;0;323;664;659
07.01.2017;07:00;08:00;-;-;320;0;0;324;661;659
07.01.2017;08:00;09:00;-;-;318;0;0;323;662;660
07.01.2017;09:00;10:00;-;-;321;0;0;322;662;661
07.01.2017;10:00;11:00;-;-;317;0;0;321;661;662
07.01.2017;11:00;12:00;-;-;319;0;0;325;658;665
07.01.2017;12:00;13:00;-;-;317;0;0;321;658;661
07.01.2017;13:00;14:00;-;-;318;0;0;321;660;663
07.01.2017;14:00;15:00;-;-;318;0;0;322;661;664
07.01.2017;15:00;16:00;-;-;321;0;0;325;660;663
07.01.2017;16:00;17:00;-;-;318;0;0;321;659;663
07.01.2017;17:00;18:00;-;-;318;0;0;322;657;662
