Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions;Generation_DE Weisweiler G VGT [MW] Original resolutions;Generation_DE Weisweiler H VGT [MW] Original resolutions;Generation_DE Weisweiler F [MW] Original resolutions;Generation_DE Weisweiler G [MW] Original resolutions;Generation_DE Weisweiler H [MW] Original resolutions
01.01.2021;00:00;01:00;-;-;146;0;0;322;656;667
01.01.2021;01:00;02:00;-;-;145;0;0;322;652;667
01.01.2021;02:00;03:00;-;-;145;0;0;321;652;668
01.01.2021;03:00;04:00;-;-;150;0;0;318;653;666
01.01.2021;04:00;05:00;-;-;151;0;0;218;652;670
01.01.2021;05:00;06:00;-;-;151;0;0;191;651;669
01.01.2021;06:00;07:00;-;-;151;0;0;267;648;666
01.01.2021;07:00;08:00;-;-;151;0;0;321;654;667
01.01.2021;08:00;09:00;-;-;151;0;0;321;653;668
01.01.2021;09:00;10:00;-;-;151;0;0;321;653;669
01.01.2021;10:00;11:00;-;-;151;0;0;320;652;668
01.01.2021;11:00;12:00;-;-;151;0;0;320;642;669
01.01.2021;12:00;13:00;-;-;151;0;0;320;642;665
01.01.2021;13:00;14:00;-;-;150;0;0;321;641;668
01.01.2021;14:00;15:00;-;-;151;0;0;319;644;665
01.01.2021;15:00;16:00;-;-;151;0;0;321;642;663
01.01.2021;16:00;17:00;-;-;151;0;0;321;641;666
01.01.2021;17:00;18:00;-;-;151;0;0;318;640;663
01.01.2021;18:00;19:00;-;-;150;0;0;319;641;668
01.01.2021;19:00;20:00;-;-;150;0;0;320;641;669
01.01.2021;20:00;21:00;-;-;152;0;0;321;641;669
01.01.2021;21:00;22:00;-;-;153;0;0;321;644;667
01.01.2021;22:00;23:00;-;-;153;0;0;320;640;667
01.01.2021;23:00;00:00;-;-;152;0;0;320;643;669
02.01.2021;00:00;01:00;-;-;152;0;0;320;641;668
02.01.2021;01:00;02:00;-;-;153;0;0;319;641;668
02.01.2021;02:00;03:00;-;-;154;0;0;322;643;615
02.01.2021;03:00;04:00;-;-;152;0;0;319;641;572
02.01.2021;04:00;05:00;-;-;154;0;0;319;640;571
02.01.2021;05:00;06:00;-;-;154;0;0;322;640;572
02.01.2021;06:00;07:00;-;-;154;0;0;320;643;573
02.01.2021;07:00;08:00;-;-;153;0;0;320;640;572
02.01.2021;08:00;09:00;-;-;153;0;0;319;639;572
02.01.2021;09:00;10:00;-;-;154;0;0;321;641;572
02.01.2021;10:00;11:00;-;-;156;0;0;321;639;643
02.01.2021;11:00;12:00;-;-;155;0;0;321;641;665
02.01.2021;12:00;13:00;-;-;153;0;0;321;642;667
02.01.2021;13:00;14:00;-;-;153;0;0;320;648;666
02.01.2021;14:00;15:00;-;-;152;0;0;319;652;666
02.01.2021;15:00;16:00;-;-;153;0;0;320;652;666
02.01.2021;16:00;17:00;-;-;153;0;0;320;651;665
02.01.2021;17:00;18:00;-;-;153;0;0;320;651;665
02.01.2021;18:00;19:00;-;-;154;0;0;320;652;666
02.01.2021;19:00;20:00;-;-;154;0;0;321;654;666
02.01.2021;20:00;21:00;-;-;154;0;0;321;600;667
02.01.2021;21:00;22:00;-;-;153;0;0;321;482;666
