Datum;Anfang;Ende;Generation_DE Kraftwerk Schwarze Pumpe Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Schwarze Pumpe Block B [MW] Originalauflösungen
01.01.2023;00:00;01:00;306;0
01.01.2023;01:00;02:00;305;0
01.01.2023;02:00;03:00;299;0
01.01.2023;03:00;04:00;307;0
01.01.2023;04:00;05:00;305;0
01.01.2023;05:00;06:00;322;0
01.01.2023;06:00;07:00;307;0
01.01.2023;07:00;08:00;315;0
01.01.2023;08:00;09:00;312;0
01.01.2023;09:00;10:00;304;0
01.01.2023;10:00;11:00;321;0
01.01.2023;11:00;12:00;317;0
01.01.2023;12:00;13:00;319;0
01.01.2023;13:00;14:00;325;0
01.01.2023;14:00;15:00;324;0
01.01.2023;15:00;16:00;331;0
01.01.2023;16:00;17:00;413;0
01.01.2023;17:00;18:00;432;0
01.01.2023;18:00;19:00;559;0
01.01.2023;19:00;20:00;415;0
01.01.2023;20:00;21:00;333;0
01.01.2023;21:00;22:00;303;0
01.01.2023;22:00;23:00;308;0
01.01.2023;23:00;00:00;315;0
02.01.2023;00:00;01:00;319;0
02.01.2023;01:00;02:00;319;0
02.01.2023;02:00;03:00;326;0
02.01.2023;03:00;04:00;327;0
02.01.2023;04:00;05:00;320;215
02.01.2023;05:00;06:00;305;310
02.01.2023;06:00;07:00;495;407
02.01.2023;07:00;08:00;691;475
02.01.2023;08:00;09:00;698;589
02.01.2023;09:00;10:00;735;753
02.01.2023;10:00;11:00;728;752
02.01.2023;11:00;12:00;716;760
02.01.2023;12:00;13:00;725;747
02.01.2023;13:00;14:00;727;745
02.01.2023;14:00;15:00;720;734
02.01.2023;15:00;16:00;730;736
02.01.2023;16:00;17:00;724;736
02.01.2023;17:00;18:00;730;746
02.01.2023;18:00;19:00;722;748
02.01.2023;19:00;20:00;726;746
02.01.2023;20:00;21:00;721;751
02.01.2023;21:00;22:00;734;744
02.01.2023;22:00;23:00;728;747
02.01.2023;23:00;00:00;718;735
03.01.2023;00:00;01:00;706;720
03.01.2023;01:00;02:00;701;710
03.01.2023;02:00;03:00;710;726
03.01.2023;03:00;04:00;720;741
03.01.2023;04:00;05:00;719;739
03.01.2023;05:00;06:00;718;744
03.01.2023;06:00;07:00;743;760
03.01.2023;07:00;08:00;743;755
03.01.2023;08:00;09:00;753;755
03.01.2023;09:00;10:00;748;762
03.01.2023;10:00;11:00;753;758
03.01.2023;11:00;12:00;745;759
03.01.2023;12:00;13:00;754;769
03.01.2023;13:00;14:00;747;763
03.01.2023;14:00;15:00;730;755
03.01.2023;15:00;16:00;727;743
03.01.2023;16:00;17:00;722;736
03.01.2023;17:00;18:00;727;743
03.01.2023;18:00;19:00;708;727
03.01.2023;19:00;20:00;705;723
03.01.2023;20:00;21:00;716;742
03.01.2023;21:00;22:00;688;724
03.01.2023;22:00;23:00;722;723
03.01.2023;23:00;00:00;615;634
04.01.2023;00:00;01:00;303;446
04.01.2023;01:00;02:00;276;274
04.01.2023;02:00;03:00;260;269
04.01.2023;03:00;04:00;262;272
04.01.2023;04:00;05:00;265;280
04.01.2023;05:00;06:00;270;272
04.01.2023;06:00;07:00;266;277
04.01.2023;07:00;08:00;270;280
04.01.2023;08:00;09:00;262;299
04.01.2023;09:00;10:00;265;297
04.01.2023;10:00;11:00;270;303
04.01.2023;11:00;12:00;264;304
04.01.2023;12:00;13:00;266;302
04.01.2023;13:00;14:00;260;307
04.01.2023;14:00;15:00;250;312
04.01.2023;15:00;16:00;254;302
04.01.2023;16:00;17:00;254;304
04.01.2023;17:00;18:00;254;302
04.01.2023;18:00;19:00;254;307
04.01.2023;19:00;20:00;256;307
04.01.2023;20:00;21:00;258;285
04.01.2023;21:00;22:00;257;277
04.01.2023;22:00;23:00;247;278
04.01.2023;23:00;00:00;259;272
05.01.2023;00:00;01:00;270;279
05.01.2023;01:00;02:00;283;282
05.01.2023;02:00;03:00;271;281
05.01.2023;03:00;04:00;280;285
05.01.2023;04:00;05:00;262;315
05.01.2023;05:00;06:00;272;329
05.01.2023;06:00;07:00;318;382
05.01.2023;07:00;08:00;517;585
05.01.2023;08:00;09:00;452;466
05.01.2023;09:00;10:00;437;430
05.01.2023;10:00;11:00;433;422
05.01.2023;11:00;12:00;406;443
05.01.2023;12:00;13:00;431;451
05.01.2023;13:00;14:00;429;454
05.01.2023;14:00;15:00;462;500
05.01.2023;15:00;16:00;598;703
05.01.2023;16:00;17:00;688;701
05.01.2023;17:00;18:00;673;706
05.01.2023;18:00;19:00;692;724
