Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions;Generation_DE Weisweiler G VGT [MW] Original resolutions;Generation_DE Weisweiler H VGT [MW] Original resolutions;Generation_DE Weisweiler F [MW] Original resolutions;Generation_DE Weisweiler G [MW] Original resolutions;Generation_DE Weisweiler H [MW] Original resolutions
05.01.2016;01:00;02:00;-;-;322;0;0;318;652;648
05.01.2016;02:00;03:00;-;-;321;0;0;318;650;646
05.01.2016;03:00;04:00;-;-;323;0;0;318;653;648
05.01.2016;04:00;05:00;-;-;324;0;0;318;653;647
05.01.2016;05:00;06:00;-;-;323;0;0;318;652;647
05.01.2016;06:00;07:00;-;-;322;0;0;318;652;645
05.01.2016;07:00;08:00;-;-;324;0;0;318;664;648
05.01.2016;08:00;09:00;-;-;325;0;0;321;665;647
05.01.2016;09:00;10:00;-;-;322;0;0;322;666;649
05.01.2016;10:00;11:00;-;-;321;0;0;321;665;654
05.01.2016;11:00;12:00;-;-;325;0;0;321;666;657
05.01.2016;12:00;13:00;-;-;322;0;0;321;663;656
05.01.2016;13:00;14:00;-;-;322;0;0;321;662;654
05.01.2016;14:00;15:00;-;-;326;0;0;322;664;655
05.01.2016;15:00;16:00;-;-;321;0;0;321;666;656
05.01.2016;16:00;17:00;-;-;322;0;0;321;664;655
05.01.2016;17:00;18:00;-;-;325;0;0;321;666;654
05.01.2016;18:00;19:00;-;-;322;0;0;321;667;655
05.01.2016;19:00;20:00;-;-;323;0;0;321;666;656
05.01.2016;20:00;21:00;-;-;322;0;0;321;665;657
05.01.2016;21:00;22:00;-;-;321;0;0;321;665;655
05.01.2016;22:00;23:00;-;-;324;0;0;321;659;652
05.01.2016;23:00;00:00;-;-;323;0;0;321;654;647
06.01.2016;00:00;01:00;-;-;324;0;0;321;655;646
06.01.2016;01:00;02:00;-;-;322;0;0;321;653;647
06.01.2016;02:00;03:00;-;-;323;0;0;321;654;647
06.01.2016;03:00;04:00;-;-;324;0;0;321;654;621
06.01.2016;04:00;05:00;-;-;321;0;0;321;655;615
06.01.2016;05:00;06:00;-;-;321;0;0;321;653;614
06.01.2016;06:00;07:00;-;-;325;0;0;322;652;614
06.01.2016;07:00;08:00;-;-;321;0;0;321;654;615
06.01.2016;08:00;09:00;-;-;321;0;0;320;663;622
06.01.2016;09:00;10:00;-;-;324;0;0;321;667;624
06.01.2016;10:00;11:00;-;-;321;0;0;321;671;624
06.01.2016;11:00;12:00;-;-;322;0;0;321;669;645
06.01.2016;12:00;13:00;-;-;323;0;0;321;670;658
06.01.2016;13:00;14:00;-;-;322;0;0;321;667;657
06.01.2016;14:00;15:00;-;-;323;0;0;321;670;657
06.01.2016;15:00;16:00;-;-;322;0;0;322;670;658
06.01.2016;16:00;17:00;-;-;322;0;0;322;668;660
06.01.2016;17:00;18:00;-;-;321;0;0;321;668;658
06.01.2016;18:00;19:00;-;-;322;0;0;321;668;658
06.01.2016;19:00;20:00;-;-;323;0;0;321;669;655
06.01.2016;20:00;21:00;-;-;322;0;0;321;667;657
06.01.2016;21:00;22:00;-;-;320;0;0;321;665;655
06.01.2016;22:00;23:00;-;-;322;0;0;322;663;659
06.01.2016;23:00;00:00;-;-;322;0;0;320;668;657
07.01.2016;00:00;01:00;-;-;322;0;0;319;669;657
07.01.2016;01:00;02:00;-;-;321;0;0;319;666;658
07.01.2016;02:00;03:00;-;-;323;0;0;320;668;659
07.01.2016;03:00;04:00;-;-;323;0;0;320;670;661
07.01.2016;04:00;05:00;-;-;321;0;0;320;669;654
07.01.2016;05:00;06:00;-;-;320;0;0;321;668;656
07.01.2016;06:00;07:00;-;-;324;0;0;320;669;654
07.01.2016;07:00;08:00;-;-;321;0;0;319;669;654
07.01.2016;08:00;09:00;-;-;324;0;0;319;670;655
07.01.2016;09:00;10:00;-;-;322;0;0;319;670;656
07.01.2016;10:00;11:00;-;-;320;0;0;319;667;656
07.01.2016;11:00;12:00;-;-;323;0;0;319;669;653
07.01.2016;12:00;13:00;-;-;320;0;0;319;670;653
07.01.2016;13:00;14:00;-;-;321;0;0;319;666;655
07.01.2016;14:00;15:00;-;-;322;0;0;320;666;656
07.01.2016;15:00;16:00;-;-;322;0;0;319;669;656
07.01.2016;16:00;17:00;-;-;320;0;0;319;668;655
07.01.2016;17:00;18:00;-;-;323;0;0;319;667;651
07.01.2016;18:00;19:00;-;-;321;0;0;319;670;655
07.01.2016;19:00;20:00;-;-;322;0;0;319;667;656
07.01.2016;20:00;21:00;-;-;324;0;0;319;663;654
07.01.2016;21:00;22:00;-;-;321;0;0;320;667;647
07.01.2016;22:00;23:00;-;-;321;0;0;321;669;650
07.01.2016;23:00;00:00;-;-;324;0;0;320;667;647
08.01.2016;00:00;01:00;-;-;322;0;0;320;655;648
08.01.2016;01:00;02:00;-;-;321;0;0;319;652;645
08.01.2016;02:00;03:00;-;-;323;0;0;320;651;637
08.01.2016;03:00;04:00;-;-;323;0;0;320;525;471
08.01.2016;04:00;05:00;-;-;323;0;0;320;511;356
08.01.2016;05:00;06:00;-;-;322;0;0;320;620;550
08.01.2016;06:00;07:00;-;-;325;0;0;320;653;648
08.01.2016;07:00;08:00;-;-;322;0;0;320;650;646
08.01.2016;08:00;09:00;-;-;322;0;0;320;658;651
08.01.2016;09:00;10:00;-;-;323;0;0;321;661;656
08.01.2016;10:00;11:00;-;-;323;0;0;321;661;658
08.01.2016;11:00;12:00;-;-;321;0;0;321;661;657
08.01.2016;12:00;13:00;-;-;325;0;0;320;444;655
08.01.2016;13:00;14:00;-;-;324;0;0;320;184;656
08.01.2016;14:00;15:00;-;-;321;0;0;321;0;657
08.01.2016;15:00;16:00;-;-;324;0;0;319;0;656
08.01.2016;16:00;17:00;-;-;324;0;0;319;0;655
08.01.2016;17:00;18:00;-;-;323;0;0;319;0;656
08.01.2016;18:00;19:00;-;-;321;0;0;320;0;656
08.01.2016;19:00;20:00;-;-;324;0;0;320;0;656
08.01.2016;20:00;21:00;-;-;323;0;0;320;0;655
08.01.2016;21:00;22:00;-;-;324;0;0;321;0;658
08.01.2016;22:00;23:00;-;-;321;0;0;320;0;658
08.01.2016;23:00;00:00;-;-;325;0;0;320;0;656
09.01.2016;00:00;01:00;-;-;325;0;0;319;0;659
09.01.2016;01:00;02:00;-;-;325;0;0;319;0;659
09.01.2016;02:00;03:00;-;-;324;0;0;319;0;661
09.01.2016;03:00;04:00;-;-;323;0;0;320;0;662
09.01.2016;04:00;05:00;-;-;324;0;0;320;0;662
09.01.2016;05:00;06:00;-;-;323;0;0;319;0;661
09.01.2016;06:00;07:00;-;-;323;0;0;319;0;657
09.01.2016;07:00;08:00;-;-;324;0;0;319;0;659
09.01.2016;08:00;09:00;-;-;324;0;0;318;0;655
09.01.2016;09:00;10:00;-;-;323;0;0;319;0;658
09.01.2016;10:00;11:00;-;-;323;0;0;319;0;657
09.01.2016;11:00;12:00;-;-;326;0;0;319;0;652
09.01.2016;12:00;13:00;-;-;324;0;0;320;0;651
09.01.2016;13:00;14:00;-;-;320;0;0;319;0;653
09.01.2016;14:00;15:00;-;-;325;0;0;318;0;650
09.01.2016;15:00;16:00;-;-;326;0;0;318;0;647
09.01.2016;16:00;17:00;-;-;323;0;0;319;0;642
09.01.2016;17:00;18:00;-;-;325;0;0;320;222;645
09.01.2016;18:00;19:00;-;-;325;0;0;319;628;652
09.01.2016;19:00;20:00;-;-;323;0;0;319;670;641
09.01.2016;20:00;21:00;-;-;325;0;0;319;672;642
09.01.2016;21:00;22:00;-;-;325;0;0;319;664;646
09.01.2016;22:00;23:00;-;-;322;0;0;319;667;651
09.01.2016;23:00;00:00;-;-;322;0;0;320;669;652
10.01.2016;00:00;01:00;-;-;327;0;0;318;656;653
10.01.2016;01:00;02:00;-;-;321;0;0;318;645;644
10.01.2016;02:00;03:00;-;-;321;0;0;318;504;566
10.01.2016;03:00;04:00;-;-;321;0;0;314;319;366
10.01.2016;04:00;05:00;-;-;261;0;0;262;312;307
10.01.2016;05:00;06:00;-;-;257;0;0;266;316;307
10.01.2016;06:00;07:00;-;-;258;0;0;265;360;307
10.01.2016;07:00;08:00;-;-;284;0;0;287;380;324
10.01.2016;08:00;09:00;-;-;326;0;0;319;635;614
10.01.2016;09:00;10:00;-;-;329;0;0;319;652;657
10.01.2016;10:00;11:00;-;-;325;0;0;319;653;656
10.01.2016;11:00;12:00;-;-;326;0;0;319;651;653
10.01.2016;12:00;13:00;-;-;324;0;0;319;649;656
10.01.2016;13:00;14:00;-;-;320;0;0;319;652;656
10.01.2016;14:00;15:00;-;-;318;0;0;319;653;656
10.01.2016;15:00;16:00;-;-;325;0;0;319;652;652
10.01.2016;16:00;17:00;-;-;321;0;0;319;651;654
10.01.2016;17:00;18:00;-;-;321;0;0;318;652;654
10.01.2016;18:00;19:00;-;-;319;0;0;316;651;654
10.01.2016;19:00;20:00;-;-;327;0;0;320;654;651
10.01.2016;20:00;21:00;-;-;323;0;0;318;652;647
10.01.2016;21:00;22:00;-;-;317;0;0;319;653;647
10.01.2016;22:00;23:00;-;-;319;0;0;315;652;651
10.01.2016;23:00;00:00;-;-;320;0;0;319;652;650
11.01.2016;00:00;01:00;-;-;323;0;0;319;653;651
11.01.2016;01:00;02:00;-;-;322;0;0;319;652;651
11.01.2016;02:00;03:00;-;-;322;0;0;319;652;651
11.01.2016;03:00;04:00;-;-;323;0;0;319;653;651
11.01.2016;04:00;05:00;-;-;320;0;0;319;654;652
11.01.2016;05:00;06:00;-;-;320;0;0;319;652;652
11.01.2016;06:00;07:00;-;-;326;0;0;320;651;649
11.01.2016;07:00;08:00;-;-;324;0;0;319;665;653
11.01.2016;08:00;09:00;-;-;321;0;0;318;667;653
11.01.2016;09:00;10:00;-;-;323;0;0;318;668;654
11.01.2016;10:00;11:00;-;-;324;0;0;318;664;655
11.01.2016;11:00;12:00;-;-;322;0;0;318;667;655
11.01.2016;12:00;13:00;-;-;322;0;0;318;665;656
11.01.2016;13:00;14:00;-;-;323;0;0;318;664;654
11.01.2016;14:00;15:00;-;-;319;0;0;319;666;655
11.01.2016;15:00;16:00;-;-;320;0;0;318;660;655
11.01.2016;16:00;17:00;-;-;323;0;0;318;660;649
11.01.2016;17:00;18:00;-;-;325;0;0;319;661;652
11.01.2016;18:00;19:00;-;-;320;0;0;318;660;654
11.01.2016;19:00;20:00;-;-;321;0;0;319;661;654
11.01.2016;20:00;21:00;-;-;326;0;0;318;661;653
11.01.2016;21:00;22:00;-;-;322;0;0;319;665;654
11.01.2016;22:00;23:00;-;-;323;0;0;319;669;657
11.01.2016;23:00;00:00;-;-;326;0;0;319;655;650
12.01.2016;00:00;01:00;-;-;325;0;0;319;661;657
12.01.2016;01:00;02:00;-;-;323;0;0;319;662;657
12.01.2016;02:00;03:00;-;-;326;0;0;320;667;657
12.01.2016;03:00;04:00;-;-;322;0;0;319;666;659
12.01.2016;04:00;05:00;-;-;323;0;0;319;662;658
12.01.2016;05:00;06:00;-;-;325;0;0;319;665;653
12.01.2016;06:00;07:00;-;-;326;0;0;319;666;651
12.01.2016;07:00;08:00;-;-;324;0;0;319;664;644
12.01.2016;08:00;09:00;-;-;326;0;0;319;666;648
12.01.2016;09:00;10:00;-;-;323;0;0;319;662;646
12.01.2016;10:00;11:00;-;-;323;0;0;319;665;645
12.01.2016;11:00;12:00;-;-;324;0;0;320;662;645
12.01.2016;12:00;13:00;-;-;325;0;0;320;664;642
12.01.2016;13:00;14:00;-;-;325;0;0;319;665;650
12.01.2016;14:00;15:00;-;-;325;0;0;319;668;647
12.01.2016;15:00;16:00;-;-;326;0;0;319;668;646
12.01.2016;16:00;17:00;-;-;324;0;0;319;671;645
12.01.2016;17:00;18:00;-;-;325;0;0;319;672;648
12.01.2016;18:00;19:00;-;-;323;0;0;319;669;654
12.01.2016;19:00;20:00;-;-;323;0;0;319;664;651
12.01.2016;20:00;21:00;-;-;326;0;0;320;663;652
12.01.2016;21:00;22:00;-;-;324;0;0;320;664;659
12.01.2016;22:00;23:00;-;-;323;0;0;320;659;656
12.01.2016;23:00;00:00;-;-;326;0;0;320;665;659
13.01.2016;00:00;01:00;-;-;325;0;0;320;664;656
13.01.2016;01:00;02:00;-;-;324;0;0;320;671;659
13.01.2016;02:00;03:00;-;-;323;0;0;320;665;656
13.01.2016;03:00;04:00;-;-;322;0;0;320;666;657
13.01.2016;04:00;05:00;-;-;324;0;0;320;669;658
13.01.2016;05:00;06:00;-;-;324;0;0;320;667;657
13.01.2016;06:00;07:00;-;-;324;0;0;319;669;656
13.01.2016;07:00;08:00;-;-;325;0;0;319;665;657
13.01.2016;08:00;09:00;-;-;325;0;0;319;667;656
13.01.2016;09:00;10:00;-;-;324;0;0;319;663;654
13.01.2016;10:00;11:00;-;-;322;0;0;319;626;651
13.01.2016;11:00;12:00;-;-;323;0;0;319;381;514
13.01.2016;12:00;13:00;-;-;322;0;0;319;362;482
13.01.2016;13:00;14:00;-;-;323;0;0;318;374;480
13.01.2016;14:00;15:00;-;-;325;0;0;319;373;482
13.01.2016;15:00;16:00;-;-;324;0;0;319;375;481
13.01.2016;16:00;17:00;-;-;324;0;0;319;375;480
13.01.2016;17:00;18:00;-;-;324;0;0;319;577;623
13.01.2016;18:00;19:00;-;-;320;0;0;318;663;658
13.01.2016;19:00;20:00;-;-;325;0;0;319;664;653
13.01.2016;20:00;21:00;-;-;325;0;0;320;663;656
13.01.2016;21:00;22:00;-;-;322;0;0;320;661;655
13.01.2016;22:00;23:00;-;-;325;0;0;320;663;658
13.01.2016;23:00;00:00;-;-;324;0;0;320;664;658
14.01.2016;00:00;01:00;-;-;323;0;0;320;663;649
14.01.2016;01:00;02:00;-;-;323;0;0;320;663;654
14.01.2016;02:00;03:00;-;-;323;0;0;320;664;658
14.01.2016;03:00;04:00;-;-;325;0;0;320;663;660
14.01.2016;04:00;05:00;-;-;323;0;0;320;665;657
14.01.2016;05:00;06:00;-;-;323;0;0;320;666;657
14.01.2016;06:00;07:00;-;-;325;0;0;320;664;654
14.01.2016;07:00;08:00;-;-;327;0;0;319;666;653
14.01.2016;08:00;09:00;-;-;324;0;0;319;665;652
14.01.2016;09:00;10:00;-;-;322;0;0;319;666;654
14.01.2016;10:00;11:00;-;-;325;0;0;318;670;656
14.01.2016;11:00;12:00;-;-;322;0;0;319;666;656
14.01.2016;12:00;13:00;-;-;325;0;0;319;667;655
14.01.2016;13:00;14:00;-;-;324;0;0;320;668;656
14.01.2016;14:00;15:00;-;-;323;0;0;320;665;652
14.01.2016;15:00;16:00;-;-;322;0;0;319;664;651
14.01.2016;16:00;17:00;-;-;323;0;0;318;668;649
14.01.2016;17:00;18:00;-;-;324;0;0;319;664;656
14.01.2016;18:00;19:00;-;-;322;0;0;319;664;657
14.01.2016;19:00;20:00;-;-;322;0;0;318;668;658
14.01.2016;20:00;21:00;-;-;324;0;0;318;663;656
14.01.2016;21:00;22:00;-;-;320;0;0;318;666;657
14.01.2016;22:00;23:00;-;-;323;0;0;319;664;659
14.01.2016;23:00;00:00;-;-;326;0;0;319;663;658
15.01.2016;00:00;01:00;-;-;322;0;0;319;660;657
15.01.2016;01:00;02:00;-;-;321;0;0;319;662;656
15.01.2016;02:00;03:00;-;-;323;0;0;319;663;657
15.01.2016;03:00;04:00;-;-;325;0;0;319;661;656
15.01.2016;04:00;05:00;-;-;323;0;0;319;662;653
15.01.2016;05:00;06:00;-;-;322;0;0;319;663;656
15.01.2016;06:00;07:00;-;-;323;0;0;318;660;654
15.01.2016;07:00;08:00;-;-;324;0;0;318;659;651
15.01.2016;08:00;09:00;-;-;323;0;0;318;664;654
15.01.2016;09:00;10:00;-;-;324;0;0;318;665;655
