Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
01.01.2020;00:00;01:00;-;-;309;0;0;0;0;636
01.01.2020;01:00;02:00;-;-;305;0;0;0;0;635
01.01.2020;02:00;03:00;-;-;218;0;0;0;0;634
01.01.2020;03:00;04:00;-;-;192;0;0;0;0;629
01.01.2020;04:00;05:00;-;-;194;0;0;0;0;630
01.01.2020;05:00;06:00;-;-;192;0;0;0;0;630
01.01.2020;06:00;07:00;-;-;193;0;0;0;0;604
01.01.2020;07:00;08:00;-;-;193;0;0;0;0;562
01.01.2020;08:00;09:00;-;-;193;0;0;0;0;553
01.01.2020;09:00;10:00;-;-;193;0;0;0;0;621
01.01.2020;10:00;11:00;-;-;194;0;0;0;0;620
01.01.2020;11:00;12:00;-;-;194;0;0;0;0;421
01.01.2020;12:00;13:00;-;-;193;0;0;0;0;319
01.01.2020;13:00;14:00;-;-;193;0;0;0;0;322
01.01.2020;14:00;15:00;-;-;193;0;0;0;0;496
01.01.2020;15:00;16:00;-;-;193;0;0;0;0;630
01.01.2020;16:00;17:00;-;-;252;0;0;0;0;619
01.01.2020;17:00;18:00;-;-;306;0;0;0;0;628
01.01.2020;18:00;19:00;-;-;300;0;0;0;0;629
01.01.2020;19:00;20:00;-;-;307;0;0;0;0;630
01.01.2020;20:00;21:00;-;-;306;0;0;0;0;629
01.01.2020;21:00;22:00;-;-;307;0;0;0;0;633
01.01.2020;22:00;23:00;-;-;306;0;0;0;0;630
01.01.2020;23:00;00:00;-;-;306;0;0;0;0;631
02.01.2020;00:00;01:00;-;-;304;0;0;0;0;612
02.01.2020;01:00;02:00;-;-;304;0;0;0;0;610
02.01.2020;02:00;03:00;-;-;265;0;0;0;0;489
02.01.2020;03:00;04:00;-;-;194;0;0;0;0;557
02.01.2020;04:00;05:00;-;-;195;0;0;0;0;630
02.01.2020;05:00;06:00;-;-;201;0;0;0;0;633
02.01.2020;06:00;07:00;-;-;292;0;0;0;0;630
02.01.2020;07:00;08:00;-;-;308;0;137;0;0;643
02.01.2020;08:00;09:00;-;-;309;0;201;0;0;639
02.01.2020;09:00;10:00;-;-;308;0;201;0;0;641
02.01.2020;10:00;11:00;-;-;304;0;202;0;0;641
02.01.2020;11:00;12:00;-;-;305;0;200;0;0;640
02.01.2020;12:00;13:00;-;-;304;0;198;0;0;640
02.01.2020;13:00;14:00;-;-;306;0;196;0;0;639
02.01.2020;14:00;15:00;-;-;305;0;196;0;0;638
02.01.2020;15:00;16:00;-;-;307;0;194;0;0;644
02.01.2020;16:00;17:00;-;-;313;0;193;0;0;642
02.01.2020;17:00;18:00;-;-;316;0;194;0;0;642
02.01.2020;18:00;19:00;-;-;318;0;194;0;0;643
02.01.2020;19:00;20:00;-;-;314;0;194;0;0;645
02.01.2020;20:00;21:00;-;-;317;0;161;0;0;618
02.01.2020;21:00;22:00;-;-;268;0;0;0;0;596
02.01.2020;22:00;23:00;-;-;193;0;0;0;0;517
02.01.2020;23:00;00:00;-;-;189;0;0;0;0;337
03.01.2020;00:00;01:00;-;-;190;0;0;0;0;263
03.01.2020;01:00;02:00;-;-;192;0;0;0;0;253
03.01.2020;02:00;03:00;-;-;192;0;0;0;0;252
03.01.2020;03:00;04:00;-;-;193;0;0;0;0;294
03.01.2020;04:00;05:00;-;-;192;0;0;0;0;294
03.01.2020;05:00;06:00;-;-;190;0;0;0;0;293
03.01.2020;06:00;07:00;-;-;191;0;0;0;0;291
03.01.2020;07:00;08:00;-;-;192;0;0;0;0;292
03.01.2020;08:00;09:00;-;-;193;0;0;0;0;293
03.01.2020;09:00;10:00;-;-;192;0;0;0;0;279
03.01.2020;10:00;11:00;-;-;191;0;0;0;0;277
03.01.2020;11:00;12:00;-;-;191;0;0;0;0;318
03.01.2020;12:00;13:00;-;-;194;0;0;0;0;594
03.01.2020;13:00;14:00;-;-;194;0;0;0;0;651
03.01.2020;14:00;15:00;-;-;192;0;0;0;0;654
03.01.2020;15:00;16:00;-;-;194;0;0;0;0;654
03.01.2020;16:00;17:00;-;-;194;0;0;0;0;648
03.01.2020;17:00;18:00;-;-;193;0;0;0;0;591
03.01.2020;18:00;19:00;-;-;193;0;0;0;0;432
03.01.2020;19:00;20:00;-;-;190;0;0;0;0;273
