Date;Start;End;Generation_DE Kraftwerk Jänschwalde Block A [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block B [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block C [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block D [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block E [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block F [MW] Original resolutions
05.01.2021;14:00;15:00;497;416;499;496;-;-
05.01.2021;15:00;16:00;498;412;497;496;-;-
05.01.2021;16:00;17:00;498;404;499;494;-;-
05.01.2021;17:00;18:00;495;404;496;497;-;-
05.01.2021;18:00;19:00;492;400;497;496;-;-
05.01.2021;19:00;20:00;497;274;495;492;-;-
05.01.2021;20:00;21:00;496;153;496;494;-;-
05.01.2021;21:00;22:00;490;169;492;491;-;-
05.01.2021;22:00;23:00;494;162;495;494;-;-
05.01.2021;23:00;00:00;493;164;495;494;-;-
06.01.2021;00:00;01:00;493;166;494;492;-;-
06.01.2021;01:00;02:00;493;161;495;493;-;-
06.01.2021;02:00;03:00;495;169;495;495;-;-
06.01.2021;03:00;04:00;496;166;497;495;-;-
06.01.2021;04:00;05:00;496;176;497;494;-;-
06.01.2021;05:00;06:00;495;180;496;493;-;-
06.01.2021;06:00;07:00;493;186;494;492;-;-
06.01.2021;07:00;08:00;489;192;490;487;-;-
06.01.2021;08:00;09:00;496;192;494;493;-;-
06.01.2021;09:00;10:00;497;197;495;495;-;-
06.01.2021;10:00;11:00;496;196;496;495;-;-
06.01.2021;11:00;12:00;495;195;497;496;-;-
06.01.2021;12:00;13:00;493;182;496;495;-;-
06.01.2021;13:00;14:00;493;178;496;493;-;-
06.01.2021;14:00;15:00;495;175;499;495;-;-
06.01.2021;15:00;16:00;500;167;501;491;-;-
06.01.2021;16:00;17:00;498;162;409;496;-;-
06.01.2021;17:00;18:00;486;161;244;492;-;-
06.01.2021;18:00;19:00;486;163;219;497;-;-
06.01.2021;19:00;20:00;436;166;365;472;-;-
06.01.2021;20:00;21:00;267;159;486;487;-;-
06.01.2021;21:00;22:00;241;166;493;492;-;-
06.01.2021;22:00;23:00;227;151;497;495;-;-
06.01.2021;23:00;00:00;233;149;494;495;-;-
07.01.2021;00:00;01:00;237;144;493;492;-;-
07.01.2021;01:00;02:00;237;148;495;494;-;-
07.01.2021;02:00;03:00;238;148;490;493;-;-
07.01.2021;03:00;04:00;238;147;491;491;-;-
07.01.2021;04:00;05:00;237;154;489;491;-;-
07.01.2021;05:00;06:00;238;167;482;495;-;-
07.01.2021;06:00;07:00;238;157;487;496;-;-
07.01.2021;07:00;08:00;239;160;493;496;-;-
07.01.2021;08:00;09:00;238;156;495;496;-;-
07.01.2021;09:00;10:00;238;160;496;496;-;-
07.01.2021;10:00;11:00;238;157;495;494;-;-
07.01.2021;11:00;12:00;239;170;492;495;-;-
07.01.2021;12:00;13:00;239;160;496;496;-;-
07.01.2021;13:00;14:00;238;163;496;495;-;-
07.01.2021;14:00;15:00;238;161;496;497;-;-
07.01.2021;15:00;16:00;235;157;494;496;-;-
07.01.2021;16:00;17:00;231;157;492;494;-;-
07.01.2021;17:00;18:00;238;153;495;495;-;-
07.01.2021;18:00;19:00;239;159;495;498;-;-
07.01.2021;19:00;20:00;239;159;495;498;-;-
07.01.2021;20:00;21:00;240;166;494;494;-;-
07.01.2021;21:00;22:00;239;163;493;493;-;-
07.01.2021;22:00;23:00;239;158;494;490;-;-
07.01.2021;23:00;00:00;241;153;493;495;-;-
08.01.2021;00:00;01:00;183;157;353;461;-;-
08.01.2021;01:00;02:00;177;162;342;473;-;-
08.01.2021;02:00;03:00;177;163;337;471;-;-
08.01.2021;03:00;04:00;170;160;333;458;-;-
08.01.2021;04:00;05:00;185;163;335;446;-;-
08.01.2021;05:00;06:00;195;157;342;438;-;-
08.01.2021;06:00;07:00;223;153;425;452;-;-
08.01.2021;07:00;08:00;221;150;481;485;-;-
08.01.2021;08:00;09:00;220;162;497;494;-;-
08.01.2021;09:00;10:00;236;149;496;439;-;-
08.01.2021;10:00;11:00;238;140;496;439;-;-
08.01.2021;11:00;12:00;238;148;493;434;-;-
08.01.2021;12:00;13:00;239;148;495;441;-;-
08.01.2021;13:00;14:00;239;155;497;443;-;-
08.01.2021;14:00;15:00;237;149;502;444;-;-
08.01.2021;15:00;16:00;233;153;502;450;-;-
08.01.2021;16:00;17:00;238;140;502;492;-;-
08.01.2021;17:00;18:00;242;136;501;493;-;-
08.01.2021;18:00;19:00;243;134;502;495;-;-
08.01.2021;19:00;20:00;242;141;501;494;-;-
08.01.2021;20:00;21:00;239;147;500;491;-;-
08.01.2021;21:00;22:00;238;145;500;495;-;-
08.01.2021;22:00;23:00;225;344;473;475;-;-
08.01.2021;23:00;00:00;226;390;489;483;-;-
09.01.2021;00:00;01:00;236;384;494;493;-;-
09.01.2021;01:00;02:00;232;397;494;493;-;-
09.01.2021;02:00;03:00;227;400;492;493;-;-
09.01.2021;03:00;04:00;237;404;491;491;-;-
09.01.2021;04:00;05:00;239;428;492;493;-;-
09.01.2021;05:00;06:00;232;426;491;490;-;-
09.01.2021;06:00;07:00;236;420;490;492;-;-
09.01.2021;07:00;08:00;235;414;481;481;-;-
09.01.2021;08:00;09:00;241;417;493;493;-;-
09.01.2021;09:00;10:00;239;415;494;495;-;-
09.01.2021;10:00;11:00;239;417;494;485;-;-
09.01.2021;11:00;12:00;238;417;495;495;-;-
09.01.2021;12:00;13:00;241;411;494;492;-;-
09.01.2021;13:00;14:00;240;419;492;487;-;-
09.01.2021;14:00;15:00;203;416;494;499;-;-
09.01.2021;15:00;16:00;215;417;495;498;-;-
09.01.2021;16:00;17:00;217;418;497;492;-;-
09.01.2021;17:00;18:00;213;416;499;493;-;-
09.01.2021;18:00;19:00;217;416;498;494;-;-
09.01.2021;19:00;20:00;223;421;496;494;-;-
09.01.2021;20:00;21:00;377;400;456;451;-;-
09.01.2021;21:00;22:00;379;406;449;444;-;-
09.01.2021;22:00;23:00;379;405;408;407;-;-
09.01.2021;23:00;00:00;367;377;349;350;-;-
10.01.2021;00:00;01:00;427;407;419;439;-;-
10.01.2021;01:00;02:00;420;405;422;437;-;-
10.01.2021;02:00;03:00;421;406;422;439;-;-
10.01.2021;03:00;04:00;415;406;416;437;-;-
10.01.2021;04:00;05:00;424;407;425;444;-;-
10.01.2021;05:00;06:00;423;418;424;445;-;-
10.01.2021;06:00;07:00;424;403;404;409;-;-
10.01.2021;07:00;08:00;420;400;425;456;-;-
10.01.2021;08:00;09:00;429;400;425;447;-;-
10.01.2021;09:00;10:00;428;400;426;450;-;-
10.01.2021;10:00;11:00;429;401;425;449;-;-
10.01.2021;11:00;12:00;422;400;432;441;-;-
10.01.2021;12:00;13:00;401;401;427;423;-;-
10.01.2021;13:00;14:00;397;405;421;419;-;-
10.01.2021;14:00;15:00;413;401;435;430;-;-
10.01.2021;15:00;16:00;423;401;440;436;-;-
10.01.2021;16:00;17:00;429;407;456;449;-;-
10.01.2021;17:00;18:00;490;431;498;494;-;-
10.01.2021;18:00;19:00;496;441;497;494;-;-
10.01.2021;19:00;20:00;497;441;496;490;-;-
10.01.2021;20:00;21:00;491;442;496;492;-;-
10.01.2021;21:00;22:00;496;440;498;494;-;-
10.01.2021;22:00;23:00;497;440;496;492;-;-
10.01.2021;23:00;00:00;442;431;455;453;-;-
11.01.2021;00:00;01:00;406;429;440;424;-;-
11.01.2021;01:00;02:00;423;426;465;440;-;-
11.01.2021;02:00;03:00;387;414;435;425;-;-
11.01.2021;03:00;04:00;383;423;456;450;-;-
11.01.2021;04:00;05:00;387;426;460;445;-;-
11.01.2021;05:00;06:00;478;440;491;487;-;-
11.01.2021;06:00;07:00;490;431;492;491;-;-
11.01.2021;07:00;08:00;494;421;496;493;-;-
11.01.2021;08:00;09:00;495;421;501;500;-;-
11.01.2021;09:00;10:00;497;424;497;498;-;-
11.01.2021;10:00;11:00;497;432;497;492;-;-
11.01.2021;11:00;12:00;493;423;495;493;-;-
11.01.2021;12:00;13:00;494;421;492;487;-;-
11.01.2021;13:00;14:00;491;425;487;449;-;-
11.01.2021;14:00;15:00;474;424;480;425;-;-
11.01.2021;15:00;16:00;488;399;498;469;-;-
11.01.2021;16:00;17:00;495;387;497;466;-;-
11.01.2021;17:00;18:00;465;391;471;402;-;-
