Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
01.01.2017;00:00;01:00;214;614;211;770
01.01.2017;01:00;02:00;214;616;210;840
01.01.2017;02:00;03:00;215;619;209;844
01.01.2017;03:00;04:00;214;613;212;842
01.01.2017;04:00;05:00;213;617;213;845
01.01.2017;05:00;06:00;212;616;215;845
01.01.2017;06:00;07:00;213;612;214;845
01.01.2017;07:00;08:00;213;614;213;845
01.01.2017;08:00;09:00;214;615;213;845
01.01.2017;09:00;10:00;216;616;212;844
01.01.2017;10:00;11:00;215;616;210;846
01.01.2017;11:00;12:00;214;618;213;846
01.01.2017;12:00;13:00;214;619;214;846
01.01.2017;13:00;14:00;213;618;214;846
01.01.2017;14:00;15:00;214;617;215;847
01.01.2017;15:00;16:00;214;616;211;844
01.01.2017;16:00;17:00;214;614;213;820
01.01.2017;17:00;18:00;214;559;213;716
01.01.2017;18:00;19:00;215;544;212;711
01.01.2017;19:00;20:00;215;545;211;712
01.01.2017;20:00;21:00;213;547;210;713
01.01.2017;21:00;22:00;213;585;211;710
01.01.2017;22:00;23:00;214;575;211;707
01.01.2017;23:00;00:00;213;574;212;718
02.01.2017;00:00;01:00;213;598;210;827
02.01.2017;01:00;02:00;207;593;207;836
02.01.2017;02:00;03:00;202;591;213;842
02.01.2017;03:00;04:00;212;589;211;844
02.01.2017;04:00;05:00;209;593;213;844
02.01.2017;05:00;06:00;208;589;209;845
02.01.2017;06:00;07:00;202;574;202;839
02.01.2017;07:00;08:00;189;573;194;840
02.01.2017;08:00;09:00;236;568;194;843
02.01.2017;09:00;10:00;437;571;208;844
02.01.2017;10:00;11:00;432;584;201;844
02.01.2017;11:00;12:00;435;584;205;845
02.01.2017;12:00;13:00;433;587;200;844
02.01.2017;13:00;14:00;444;599;190;844
02.01.2017;14:00;15:00;444;593;187;845
02.01.2017;15:00;16:00;471;584;186;847
02.01.2017;16:00;17:00;436;576;185;820
02.01.2017;17:00;18:00;439;571;184;777
02.01.2017;18:00;19:00;488;571;185;774
02.01.2017;19:00;20:00;498;580;188;767
02.01.2017;20:00;21:00;498;583;184;771
02.01.2017;21:00;22:00;499;594;198;776
02.01.2017;22:00;23:00;449;586;196;772
02.01.2017;23:00;00:00;436;544;191;743
03.01.2017;00:00;01:00;462;577;174;758
03.01.2017;01:00;02:00;465;512;162;788
03.01.2017;02:00;03:00;465;511;160;787
03.01.2017;03:00;04:00;459;516;161;773
03.01.2017;04:00;05:00;457;504;161;784
03.01.2017;05:00;06:00;460;513;158;788
03.01.2017;06:00;07:00;461;578;163;832
03.01.2017;07:00;08:00;459;556;158;777
03.01.2017;08:00;09:00;442;546;192;739
03.01.2017;09:00;10:00;434;510;204;717
03.01.2017;10:00;11:00;435;571;205;717
03.01.2017;11:00;12:00;434;506;186;718
03.01.2017;12:00;13:00;435;498;173;679
03.01.2017;13:00;14:00;433;512;172;496
03.01.2017;14:00;15:00;436;571;174;0
03.01.2017;15:00;16:00;437;564;171;0
03.01.2017;16:00;17:00;437;567;174;0
03.01.2017;17:00;18:00;436;556;176;0
03.01.2017;18:00;19:00;436;537;181;0
03.01.2017;19:00;20:00;435;543;178;0
03.01.2017;20:00;21:00;437;563;175;0
03.01.2017;21:00;22:00;437;571;175;0
03.01.2017;22:00;23:00;437;565;174;0
03.01.2017;23:00;00:00;436;563;173;0
04.01.2017;00:00;01:00;461;575;172;0
04.01.2017;01:00;02:00;462;523;177;0
04.01.2017;02:00;03:00;462;517;173;0
04.01.2017;03:00;04:00;465;531;173;0
04.01.2017;04:00;05:00;464;526;171;0
04.01.2017;05:00;06:00;464;549;170;0
04.01.2017;06:00;07:00;463;567;180;0
04.01.2017;07:00;08:00;464;447;167;0
04.01.2017;08:00;09:00;478;341;177;0
04.01.2017;09:00;10:00;477;341;175;0
04.01.2017;10:00;11:00;479;340;165;0
04.01.2017;11:00;12:00;481;338;149;0
04.01.2017;12:00;13:00;476;364;143;0
04.01.2017;13:00;14:00;478;353;374;0
04.01.2017;14:00;15:00;488;334;419;0
04.01.2017;15:00;16:00;493;463;439;0
04.01.2017;16:00;17:00;497;544;446;0
