Datum;Anfang;Ende;Generation_DE Huckingen A [MW] Originalauflösungen;Generation_DE Huckingen B [MW] Originalauflösungen
01.01.2023;00:00;01:00;224;0
01.01.2023;01:00;02:00;226;0
01.01.2023;02:00;03:00;231;0
01.01.2023;03:00;04:00;227;0
01.01.2023;04:00;05:00;214;0
01.01.2023;05:00;06:00;207;0
01.01.2023;06:00;07:00;242;0
01.01.2023;07:00;08:00;235;0
01.01.2023;08:00;09:00;230;0
01.01.2023;09:00;10:00;213;0
01.01.2023;10:00;11:00;202;0
01.01.2023;11:00;12:00;201;0
01.01.2023;12:00;13:00;179;0
01.01.2023;13:00;14:00;187;0
01.01.2023;14:00;15:00;196;0
01.01.2023;15:00;16:00;182;0
01.01.2023;16:00;17:00;189;0
01.01.2023;17:00;18:00;189;0
01.01.2023;18:00;19:00;180;0
01.01.2023;19:00;20:00;184;0
01.01.2023;20:00;21:00;188;0
01.01.2023;21:00;22:00;183;0
01.01.2023;22:00;23:00;193;0
01.01.2023;23:00;00:00;195;0
02.01.2023;00:00;01:00;184;0
02.01.2023;01:00;02:00;190;0
02.01.2023;02:00;03:00;198;0
02.01.2023;03:00;04:00;193;0
02.01.2023;04:00;05:00;196;0
02.01.2023;05:00;06:00;205;0
02.01.2023;06:00;07:00;202;0
02.01.2023;07:00;08:00;193;0
02.01.2023;08:00;09:00;128;0
02.01.2023;09:00;10:00;127;0
02.01.2023;10:00;11:00;127;0
02.01.2023;11:00;12:00;131;0
02.01.2023;12:00;13:00;129;0
02.01.2023;13:00;14:00;151;0
02.01.2023;14:00;15:00;172;0
02.01.2023;15:00;16:00;174;0
02.01.2023;16:00;17:00;184;0
02.01.2023;17:00;18:00;188;0
02.01.2023;18:00;19:00;187;0
02.01.2023;19:00;20:00;197;0
02.01.2023;20:00;21:00;200;0
02.01.2023;21:00;22:00;189;0
02.01.2023;22:00;23:00;195;0
02.01.2023;23:00;00:00;201;0
03.01.2023;00:00;01:00;207;0
03.01.2023;01:00;02:00;206;0
03.01.2023;02:00;03:00;206;0
03.01.2023;03:00;04:00;194;0
03.01.2023;04:00;05:00;215;0
03.01.2023;05:00;06:00;203;0
03.01.2023;06:00;07:00;187;0
03.01.2023;07:00;08:00;173;0
03.01.2023;08:00;09:00;173;0
03.01.2023;09:00;10:00;166;0
03.01.2023;10:00;11:00;182;0
03.01.2023;11:00;12:00;180;0
03.01.2023;12:00;13:00;180;0
03.01.2023;13:00;14:00;186;0
03.01.2023;14:00;15:00;200;0
03.01.2023;15:00;16:00;202;0
03.01.2023;16:00;17:00;208;0
03.01.2023;17:00;18:00;211;0
03.01.2023;18:00;19:00;199;0
03.01.2023;19:00;20:00;199;0
03.01.2023;20:00;21:00;191;0
03.01.2023;21:00;22:00;165;0
03.01.2023;22:00;23:00;170;0
03.01.2023;23:00;00:00;166;0
04.01.2023;00:00;01:00;162;0
04.01.2023;01:00;02:00;186;0
04.01.2023;02:00;03:00;184;0
04.01.2023;03:00;04:00;186;0
04.01.2023;04:00;05:00;186;0
04.01.2023;05:00;06:00;185;0
04.01.2023;06:00;07:00;182;0
04.01.2023;07:00;08:00;193;0
04.01.2023;08:00;09:00;191;0
04.01.2023;09:00;10:00;190;0
04.01.2023;10:00;11:00;197;0
04.01.2023;11:00;12:00;172;0
04.01.2023;12:00;13:00;172;0
04.01.2023;13:00;14:00;180;0
04.01.2023;14:00;15:00;192;0
04.01.2023;15:00;16:00;192;0
04.01.2023;16:00;17:00;198;0
04.01.2023;17:00;18:00;203;0
04.01.2023;18:00;19:00;194;0
04.01.2023;19:00;20:00;201;0
04.01.2023;20:00;21:00;205;0
04.01.2023;21:00;22:00;203;0
04.01.2023;22:00;23:00;207;0
04.01.2023;23:00;00:00;213;0
05.01.2023;00:00;01:00;196;0
05.01.2023;01:00;02:00;203;0
05.01.2023;02:00;03:00;190;0
05.01.2023;03:00;04:00;143;0
05.01.2023;04:00;05:00;130;0
05.01.2023;05:00;06:00;129;0
05.01.2023;06:00;07:00;125;0
05.01.2023;07:00;08:00;139;0
05.01.2023;08:00;09:00;140;0
05.01.2023;09:00;10:00;143;0
05.01.2023;10:00;11:00;139;0
05.01.2023;11:00;12:00;135;0
05.01.2023;12:00;13:00;138;0
05.01.2023;13:00;14:00;115;0
05.01.2023;14:00;15:00;123;0
05.01.2023;15:00;16:00;127;0
05.01.2023;16:00;17:00;123;0
05.01.2023;17:00;18:00;121;0
