Datum;Anfang;Ende;Generation_DE GuD Marzahn Dampfturbine [MW] Originalauflösungen;Generation_DE GuD Marzahn Gasturbine [MW] Originalauflösungen
01.01.2023;00:00;01:00;55;55
01.01.2023;01:00;02:00;55;55
01.01.2023;02:00;03:00;55;55
01.01.2023;03:00;04:00;55;55
01.01.2023;04:00;05:00;55;55
01.01.2023;05:00;06:00;55;55
01.01.2023;06:00;07:00;55;55
01.01.2023;07:00;08:00;55;55
01.01.2023;08:00;09:00;55;55
01.01.2023;09:00;10:00;55;55
01.01.2023;10:00;11:00;55;55
01.01.2023;11:00;12:00;55;55
01.01.2023;12:00;13:00;55;55
01.01.2023;13:00;14:00;55;55
01.01.2023;14:00;15:00;55;55
01.01.2023;15:00;16:00;55;55
01.01.2023;16:00;17:00;55;55
01.01.2023;17:00;18:00;55;55
01.01.2023;18:00;19:00;55;55
01.01.2023;19:00;20:00;55;55
01.01.2023;20:00;21:00;55;55
01.01.2023;21:00;22:00;55;55
01.01.2023;22:00;23:00;55;55
01.01.2023;23:00;00:00;55;55
02.01.2023;00:00;01:00;55;55
02.01.2023;01:00;02:00;55;55
02.01.2023;02:00;03:00;55;55
02.01.2023;03:00;04:00;55;55
02.01.2023;04:00;05:00;55;55
02.01.2023;05:00;06:00;64;64
02.01.2023;06:00;07:00;65;65
02.01.2023;07:00;08:00;65;65
02.01.2023;08:00;09:00;65;65
02.01.2023;09:00;10:00;80;80
02.01.2023;10:00;11:00;125;125
02.01.2023;11:00;12:00;135;135
02.01.2023;12:00;13:00;102;102
02.01.2023;13:00;14:00;75;75
02.01.2023;14:00;15:00;98;98
02.01.2023;15:00;16:00;125;125
02.01.2023;16:00;17:00;125;125
02.01.2023;17:00;18:00;125;125
02.01.2023;18:00;19:00;125;125
02.01.2023;19:00;20:00;125;125
02.01.2023;20:00;21:00;125;125
02.01.2023;21:00;22:00;125;125
02.01.2023;22:00;23:00;125;125
02.01.2023;23:00;00:00;125;125
03.01.2023;00:00;01:00;94;94
03.01.2023;01:00;02:00;125;125
03.01.2023;02:00;03:00;88;88
03.01.2023;03:00;04:00;90;90
03.01.2023;04:00;05:00;123;123
03.01.2023;05:00;06:00;160;160
03.01.2023;06:00;07:00;160;160
03.01.2023;07:00;08:00;207;207
03.01.2023;08:00;09:00;210;210
03.01.2023;09:00;10:00;210;210
03.01.2023;10:00;11:00;210;210
03.01.2023;11:00;12:00;210;210
03.01.2023;12:00;13:00;210;210
03.01.2023;13:00;14:00;210;210
03.01.2023;14:00;15:00;210;210
03.01.2023;15:00;16:00;210;210
03.01.2023;16:00;17:00;210;210
03.01.2023;17:00;18:00;210;210
03.01.2023;18:00;19:00;210;210
03.01.2023;19:00;20:00;210;210
03.01.2023;20:00;21:00;210;210
03.01.2023;21:00;22:00;210;210
03.01.2023;22:00;23:00;153;153
03.01.2023;23:00;00:00;78;78
04.01.2023;00:00;01:00;44;44
04.01.2023;01:00;02:00;41;41
04.01.2023;02:00;03:00;41;41
04.01.2023;03:00;04:00;41;41
04.01.2023;04:00;05:00;42;42
04.01.2023;05:00;06:00;41;41
04.01.2023;06:00;07:00;41;41
04.01.2023;07:00;08:00;41;41
04.01.2023;08:00;09:00;40;40
04.01.2023;09:00;10:00;41;41
04.01.2023;10:00;11:00;40;40
04.01.2023;11:00;12:00;41;41
04.01.2023;12:00;13:00;41;41
04.01.2023;13:00;14:00;40;40
04.01.2023;14:00;15:00;41;41
04.01.2023;15:00;16:00;41;41
04.01.2023;16:00;17:00;40;40
04.01.2023;17:00;18:00;40;40
04.01.2023;18:00;19:00;40;40
04.01.2023;19:00;20:00;40;40
04.01.2023;20:00;21:00;41;41
04.01.2023;21:00;22:00;40;40
04.01.2023;22:00;23:00;40;40
04.01.2023;23:00;00:00;40;40
05.01.2023;00:00;01:00;41;41
05.01.2023;01:00;02:00;41;41
05.01.2023;02:00;03:00;40;40
05.01.2023;03:00;04:00;41;41
05.01.2023;04:00;05:00;42;42
