Date;Start;End;Generation_DE PSW Markersbach PSS B [MW] Original resolutions;Generation_DE PSW Markersbach PSS A [MW] Original resolutions;Generation_DE PSW Markersbach PSS C [MW] Original resolutions;Generation_DE PSW Markersbach PSS D [MW] Original resolutions;Generation_DE PSW Markersbach PSS E [MW] Original resolutions;Generation_DE PSW Markersbach PSS F [MW] Original resolutions
03.01.2016;04:00;05:00;0;0;0;0;0;0
03.01.2016;05:00;06:00;0;0;0;0;0;0
03.01.2016;06:00;07:00;0;0;0;0;0;0
03.01.2016;07:00;08:00;1;0;0;0;0;0
03.01.2016;08:00;09:00;56;0;0;0;0;0
03.01.2016;09:00;10:00;0;0;0;0;0;0
03.01.2016;10:00;11:00;0;0;0;0;0;0
03.01.2016;11:00;12:00;0;0;0;0;0;0
03.01.2016;12:00;13:00;0;0;0;0;0;0
03.01.2016;13:00;14:00;0;0;0;0;0;0
03.01.2016;14:00;15:00;0;0;0;0;0;0
03.01.2016;15:00;16:00;0;0;0;0;0;0
03.01.2016;16:00;17:00;1;1;1;2;1;0
03.01.2016;17:00;18:00;140;139;140;140;139;0
03.01.2016;18:00;19:00;131;131;131;132;130;0
03.01.2016;19:00;20:00;134;134;135;135;134;0
03.01.2016;20:00;21:00;0;0;0;0;0;0
03.01.2016;21:00;22:00;0;0;0;0;0;0
03.01.2016;22:00;23:00;0;0;0;0;0;0
03.01.2016;23:00;00:00;0;0;0;0;0;0
04.01.2016;00:00;01:00;41;0;0;0;0;0
04.01.2016;01:00;02:00;0;0;0;0;0;0
04.01.2016;02:00;03:00;0;0;0;0;0;0
04.01.2016;03:00;04:00;0;0;0;0;0;0
04.01.2016;04:00;05:00;1;0;0;0;0;0
04.01.2016;05:00;06:00;46;0;0;0;0;0
04.01.2016;06:00;07:00;89;89;0;0;0;0
04.01.2016;07:00;08:00;71;0;0;0;0;0
04.01.2016;08:00;09:00;122;0;0;0;0;0
04.01.2016;09:00;10:00;128;0;0;0;0;0
04.01.2016;10:00;11:00;72;0;0;0;75;0
04.01.2016;11:00;12:00;1;0;0;0;101;0
04.01.2016;12:00;13:00;146;75;0;45;144;0
04.01.2016;13:00;14:00;129;46;0;130;128;0
04.01.2016;14:00;15:00;123;0;0;124;123;0
04.01.2016;15:00;16:00;124;27;0;125;124;0
04.01.2016;16:00;17:00;116;113;0;117;115;0
04.01.2016;17:00;18:00;126;126;0;127;125;0
04.01.2016;18:00;19:00;85;0;0;29;103;0
04.01.2016;19:00;20:00;17;0;0;0;42;0
04.01.2016;20:00;21:00;0;0;0;0;0;0
04.01.2016;21:00;22:00;0;0;0;0;0;0
04.01.2016;22:00;23:00;100;0;0;0;0;0
04.01.2016;23:00;00:00;0;0;0;0;25;0
05.01.2016;00:00;01:00;0;0;0;0;44;0
05.01.2016;01:00;02:00;0;0;0;0;48;0
05.01.2016;02:00;03:00;0;0;0;0;46;0
05.01.2016;03:00;04:00;0;0;0;0;47;0
05.01.2016;04:00;05:00;0;0;0;0;0;0
05.01.2016;05:00;06:00;0;0;0;87;0;0
05.01.2016;06:00;07:00;0;0;0;1;0;0
05.01.2016;07:00;08:00;0;0;0;0;1;0
05.01.2016;08:00;09:00;0;0;0;0;84;0
05.01.2016;09:00;10:00;0;0;0;0;32;0
05.01.2016;10:00;11:00;0;7;0;0;84;0
05.01.2016;11:00;12:00;71;0;0;0;19;0
05.01.2016;12:00;13:00;39;0;0;0;1;0
05.01.2016;13:00;14:00;118;98;0;0;116;0
05.01.2016;14:00;15:00;133;133;0;0;131;0
05.01.2016;15:00;16:00;150;149;0;0;149;0
05.01.2016;16:00;17:00;118;4;0;115;118;0
05.01.2016;17:00;18:00;116;0;0;117;116;0
05.01.2016;18:00;19:00;122;116;0;122;121;0
05.01.2016;19:00;20:00;113;0;0;114;113;0
05.01.2016;20:00;21:00;1;0;0;0;1;0
05.01.2016;21:00;22:00;0;0;0;0;0;0
05.01.2016;22:00;23:00;0;0;0;0;0;0
05.01.2016;23:00;00:00;0;0;0;47;0;0
06.01.2016;00:00;01:00;0;0;0;11;0;0
06.01.2016;01:00;02:00;0;0;0;0;0;0
06.01.2016;02:00;03:00;0;0;0;0;0;0
06.01.2016;03:00;04:00;0;0;0;0;0;0
06.01.2016;04:00;05:00;0;0;0;0;0;0
06.01.2016;05:00;06:00;0;0;0;1;0;0
06.01.2016;06:00;07:00;0;0;0;53;0;0
06.01.2016;07:00;08:00;0;0;0;2;0;0
06.01.2016;08:00;09:00;119;0;0;119;63;0
06.01.2016;09:00;10:00;105;0;0;106;105;0
06.01.2016;10:00;11:00;107;0;0;0;107;0
