Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
04.01.2023;06:00;07:00;0;0;0;0;0;15;0;23;0;0;1
04.01.2023;07:00;08:00;0;0;0;0;0;15;0;40;0;0;1
04.01.2023;08:00;09:00;10;22;55;76;1;13;0;19;193;97;161
04.01.2023;09:00;10:00;0;11;44;95;0;26;0;10;158;54;183
04.01.2023;10:00;11:00;0;4;4;4;0;16;0;10;0;4;4
04.01.2023;11:00;12:00;0;0;0;0;0;32;0;10;0;0;1
04.01.2023;12:00;13:00;0;0;0;0;29;71;0;10;0;0;1
04.01.2023;13:00;14:00;0;0;0;0;18;7;0;1;0;0;1
04.01.2023;14:00;15:00;0;0;0;0;0;0;0;0;0;0;1
04.01.2023;15:00;16:00;0;0;0;0;0;0;0;0;0;0;1
04.01.2023;16:00;17:00;0;0;1;0;39;39;0;0;0;1;2
04.01.2023;17:00;18:00;0;0;77;0;67;64;0;71;141;74;155
04.01.2023;18:00;19:00;0;0;1;0;1;1;0;15;1;1;2
04.01.2023;19:00;20:00;0;0;0;0;0;0;0;0;0;0;1
04.01.2023;20:00;21:00;0;0;0;0;0;0;0;0;0;0;0
04.01.2023;21:00;22:00;0;0;0;0;0;0;0;0;0;0;0
04.01.2023;22:00;23:00;0;0;0;0;0;0;0;0;0;0;1
04.01.2023;23:00;00:00;0;0;0;0;33;0;0;0;0;0;0
05.01.2023;00:00;01:00;0;0;0;0;31;0;0;0;0;0;0
05.01.2023;01:00;02:00;0;0;0;0;64;0;0;0;0;0;0
05.01.2023;02:00;03:00;0;0;0;0;67;0;0;0;0;0;0
05.01.2023;03:00;04:00;0;0;0;0;1;7;0;0;0;0;0
