Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE A [MW] Originalauflösungen;Generation_DE Niederaußem E [MW] Originalauflösungen;Generation_DE Niederaußem F [MW] Originalauflösungen;Generation_DE Niederaußem G [MW] Originalauflösungen;Generation_DE Niederaußem H [MW] Originalauflösungen;Generation_DE Niederaußem K [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;-;-;150;0;0;320;0
01.01.2023;01:00;02:00;-;-;-;-;150;0;0;323;0
01.01.2023;02:00;03:00;-;-;-;-;150;0;0;319;0
01.01.2023;03:00;04:00;-;-;-;-;149;0;0;322;0
01.01.2023;04:00;05:00;-;-;-;-;149;0;0;320;0
01.01.2023;05:00;06:00;-;-;-;-;149;0;0;320;0
01.01.2023;06:00;07:00;-;-;-;-;149;0;0;320;0
01.01.2023;07:00;08:00;-;-;-;-;146;0;0;321;0
01.01.2023;08:00;09:00;-;-;-;-;152;0;0;318;0
01.01.2023;09:00;10:00;-;-;-;-;150;0;0;320;0
01.01.2023;10:00;11:00;-;-;-;-;148;0;0;320;0
01.01.2023;11:00;12:00;-;-;-;-;149;0;0;321;0
01.01.2023;12:00;13:00;-;-;-;-;149;0;0;322;0
01.01.2023;13:00;14:00;-;-;-;-;149;0;0;319;0
01.01.2023;14:00;15:00;-;-;-;-;149;0;0;321;0
01.01.2023;15:00;16:00;-;-;-;-;149;0;0;320;0
01.01.2023;16:00;17:00;-;-;-;-;148;0;0;320;0
01.01.2023;17:00;18:00;-;-;-;-;149;0;0;341;0
01.01.2023;18:00;19:00;-;-;-;-;149;0;0;375;0
01.01.2023;19:00;20:00;-;-;-;-;147;0;0;335;0
01.01.2023;20:00;21:00;-;-;-;-;147;0;0;375;0
01.01.2023;21:00;22:00;-;-;-;-;150;0;0;367;0
01.01.2023;22:00;23:00;-;-;-;-;147;0;0;371;0
01.01.2023;23:00;00:00;-;-;-;-;148;0;0;375;0
02.01.2023;00:00;01:00;-;-;-;-;169;0;0;388;0
02.01.2023;01:00;02:00;-;-;-;-;170;0;0;422;0
02.01.2023;02:00;03:00;-;-;-;-;169;0;0;425;0
02.01.2023;03:00;04:00;-;-;-;-;170;0;0;415;0
02.01.2023;04:00;05:00;-;-;-;-;171;0;107;424;0
02.01.2023;05:00;06:00;-;-;-;-;152;0;335;356;0
02.01.2023;06:00;07:00;-;-;-;-;148;0;377;373;0
02.01.2023;07:00;08:00;-;-;-;-;146;64;609;555;0
02.01.2023;08:00;09:00;-;-;-;-;148;154;630;622;0
02.01.2023;09:00;10:00;-;-;-;-;181;177;644;617;0
02.01.2023;10:00;11:00;-;-;-;-;254;250;642;610;0
02.01.2023;11:00;12:00;-;-;-;-;168;262;642;616;0
02.01.2023;12:00;13:00;-;-;-;-;150;265;633;614;0
02.01.2023;13:00;14:00;-;-;-;-;143;267;633;614;0
02.01.2023;14:00;15:00;-;-;-;-;146;267;633;614;0
02.01.2023;15:00;16:00;-;-;-;-;146;266;631;630;0
02.01.2023;16:00;17:00;-;-;-;-;144;267;639;627;0
02.01.2023;17:00;18:00;-;-;-;-;144;266;642;618;0
02.01.2023;18:00;19:00;-;-;-;-;144;267;645;625;0
02.01.2023;19:00;20:00;-;-;-;-;144;267;645;620;0
02.01.2023;20:00;21:00;-;-;-;-;145;267;644;617;0
02.01.2023;21:00;22:00;-;-;-;-;147;266;643;621;0
02.01.2023;22:00;23:00;-;-;-;-;146;268;645;622;0
02.01.2023;23:00;00:00;-;-;-;-;148;267;635;620;0
03.01.2023;00:00;01:00;-;-;-;-;144;267;635;618;0
03.01.2023;01:00;02:00;-;-;-;-;149;268;636;616;0
03.01.2023;02:00;03:00;-;-;-;-;147;267;634;610;0
03.01.2023;03:00;04:00;-;-;-;-;150;267;634;611;0
03.01.2023;04:00;05:00;-;-;-;-;150;269;637;617;0
03.01.2023;05:00;06:00;-;-;-;-;147;272;636;612;0
03.01.2023;06:00;07:00;-;-;-;-;145;271;647;624;0
03.01.2023;07:00;08:00;-;-;-;-;149;272;647;622;0
03.01.2023;08:00;09:00;-;-;-;-;149;273;648;629;0
03.01.2023;09:00;10:00;-;-;-;-;150;274;647;621;0
03.01.2023;10:00;11:00;-;-;-;-;149;272;649;622;0
03.01.2023;11:00;12:00;-;-;-;-;151;272;648;623;0
03.01.2023;12:00;13:00;-;-;-;-;148;275;637;564;0
