Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen;Generation_DE  [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;29
01.01.2023;01:00;02:00;0;52
01.01.2023;02:00;03:00;0;0
01.01.2023;03:00;04:00;0;0
01.01.2023;04:00;05:00;0;82
01.01.2023;05:00;06:00;0;40
01.01.2023;06:00;07:00;0;4
01.01.2023;07:00;08:00;0;0
01.01.2023;08:00;09:00;0;0
01.01.2023;09:00;10:00;0;0
01.01.2023;10:00;11:00;0;0
01.01.2023;11:00;12:00;0;0
01.01.2023;12:00;13:00;0;0
01.01.2023;13:00;14:00;0;0
01.01.2023;14:00;15:00;0;0
01.01.2023;15:00;16:00;31;6
01.01.2023;16:00;17:00;120;73
01.01.2023;17:00;18:00;117;111
01.01.2023;18:00;19:00;88;89
01.01.2023;19:00;20:00;46;106
01.01.2023;20:00;21:00;53;78
01.01.2023;21:00;22:00;71;78
01.01.2023;22:00;23:00;86;65
01.01.2023;23:00;00:00;36;29
02.01.2023;00:00;01:00;0;0
02.01.2023;01:00;02:00;0;0
02.01.2023;02:00;03:00;0;0
02.01.2023;03:00;04:00;0;0
02.01.2023;04:00;05:00;0;0
02.01.2023;05:00;06:00;0;0
02.01.2023;06:00;07:00;0;3
02.01.2023;07:00;08:00;0;0
02.01.2023;08:00;09:00;28;0
02.01.2023;09:00;10:00;0;0
02.01.2023;10:00;11:00;19;11
02.01.2023;11:00;12:00;0;0
02.01.2023;12:00;13:00;0;0
02.01.2023;13:00;14:00;0;0
02.01.2023;14:00;15:00;0;0
02.01.2023;15:00;16:00;0;70
02.01.2023;16:00;17:00;46;105
02.01.2023;17:00;18:00;62;76
02.01.2023;18:00;19:00;95;44
02.01.2023;19:00;20:00;76;80
02.01.2023;20:00;21:00;65;0
02.01.2023;21:00;22:00;0;0
02.01.2023;22:00;23:00;59;0
02.01.2023;23:00;00:00;0;18
03.01.2023;00:00;01:00;0;4
03.01.2023;01:00;02:00;0;1
03.01.2023;02:00;03:00;0;0
03.01.2023;03:00;04:00;0;0
03.01.2023;04:00;05:00;0;0
03.01.2023;05:00;06:00;0;0
03.01.2023;06:00;07:00;65;61
03.01.2023;07:00;08:00;82;62
03.01.2023;08:00;09:00;107;103
03.01.2023;09:00;10:00;71;100
03.01.2023;10:00;11:00;76;87
03.01.2023;11:00;12:00;109;88
03.01.2023;12:00;13:00;10;19
03.01.2023;13:00;14:00;0;0
03.01.2023;14:00;15:00;0;78
03.01.2023;15:00;16:00;0;145
03.01.2023;16:00;17:00;37;144
03.01.2023;17:00;18:00;144;146
03.01.2023;18:00;19:00;118;110
03.01.2023;19:00;20:00;63;78
03.01.2023;20:00;21:00;109;114
03.01.2023;21:00;22:00;61;64
03.01.2023;22:00;23:00;58;74
03.01.2023;23:00;00:00;84;0
04.01.2023;00:00;01:00;0;0
04.01.2023;01:00;02:00;0;0
04.01.2023;02:00;03:00;0;0
04.01.2023;03:00;04:00;0;0
04.01.2023;04:00;05:00;1;0
04.01.2023;05:00;06:00;0;0
04.01.2023;06:00;07:00;0;0
04.01.2023;07:00;08:00;0;0
04.01.2023;08:00;09:00;0;0
04.01.2023;09:00;10:00;0;0
04.01.2023;10:00;11:00;0;0
04.01.2023;11:00;12:00;107;20
04.01.2023;12:00;13:00;114;67
04.01.2023;13:00;14:00;115;0
04.01.2023;14:00;15:00;0;0
04.01.2023;15:00;16:00;47;0
04.01.2023;16:00;17:00;121;0
04.01.2023;17:00;18:00;122;0
04.01.2023;18:00;19:00;11;0
04.01.2023;19:00;20:00;96;0
04.01.2023;20:00;21:00;145;0
04.01.2023;21:00;22:00;19;0
04.01.2023;22:00;23:00;0;0
04.01.2023;23:00;00:00;0;0
05.01.2023;00:00;01:00;0;0
05.01.2023;01:00;02:00;0;0
05.01.2023;02:00;03:00;0;0
05.01.2023;03:00;04:00;0;0
05.01.2023;04:00;05:00;0;0
05.01.2023;05:00;06:00;0;0
05.01.2023;06:00;07:00;0;0
05.01.2023;07:00;08:00;0;0
05.01.2023;08:00;09:00;126;42
05.01.2023;09:00;10:00;157;169
05.01.2023;10:00;11:00;96;102
05.01.2023;11:00;12:00;1;0
05.01.2023;12:00;13:00;0;0
05.01.2023;13:00;14:00;39;0
05.01.2023;14:00;15:00;0;0
05.01.2023;15:00;16:00;0;0
05.01.2023;16:00;17:00;24;31
05.01.2023;17:00;18:00;136;136
05.01.2023;18:00;19:00;142;142
05.01.2023;19:00;20:00;125;125
05.01.2023;20:00;21:00;109;109
05.01.2023;21:00;22:00;76;44
05.01.2023;22:00;23:00;109;0
05.01.2023;23:00;00:00;93;0
06.01.2023;00:00;01:00;46;32
06.01.2023;01:00;02:00;0;0
06.01.2023;02:00;03:00;0;1
06.01.2023;03:00;04:00;0;0
06.01.2023;04:00;05:00;0;0
06.01.2023;05:00;06:00;0;0
06.01.2023;06:00;07:00;0;0
06.01.2023;07:00;08:00;0;8
06.01.2023;08:00;09:00;10;20
06.01.2023;09:00;10:00;18;65
06.01.2023;10:00;11:00;0;63
06.01.2023;11:00;12:00;25;54
06.01.2023;12:00;13:00;0;0
06.01.2023;13:00;14:00;0;0
06.01.2023;14:00;15:00;30;0
06.01.2023;15:00;16:00;0;0
06.01.2023;16:00;17:00;36;36
06.01.2023;17:00;18:00;155;155
06.01.2023;18:00;19:00;121;121
06.01.2023;19:00;20:00;138;138
06.01.2023;20:00;21:00;105;33
06.01.2023;21:00;22:00;93;124
06.01.2023;22:00;23:00;0;57
06.01.2023;23:00;00:00;0;2
07.01.2023;00:00;01:00;0;17
07.01.2023;01:00;02:00;0;0
07.01.2023;02:00;03:00;0;0
07.01.2023;03:00;04:00;0;0
07.01.2023;04:00;05:00;0;0
07.01.2023;05:00;06:00;0;0
07.01.2023;06:00;07:00;0;0
07.01.2023;07:00;08:00;0;0
07.01.2023;08:00;09:00;1;0
07.01.2023;09:00;10:00;1;0
07.01.2023;10:00;11:00;1;0
07.01.2023;11:00;12:00;0;0
07.01.2023;12:00;13:00;0;0
07.01.2023;13:00;14:00;152;0
07.01.2023;14:00;15:00;116;0
07.01.2023;15:00;16:00;111;120
07.01.2023;16:00;17:00;116;142
07.01.2023;17:00;18:00;139;101
07.01.2023;18:00;19:00;97;73
07.01.2023;19:00;20:00;30;0
07.01.2023;20:00;21:00;3;0
07.01.2023;21:00;22:00;0;0
07.01.2023;22:00;23:00;0;0
07.01.2023;23:00;00:00;0;0
08.01.2023;00:00;01:00;0;0
08.01.2023;01:00;02:00;0;0
08.01.2023;02:00;03:00;0;0
08.01.2023;03:00;04:00;0;0
08.01.2023;04:00;05:00;0;0
08.01.2023;05:00;06:00;0;0
08.01.2023;06:00;07:00;0;0
08.01.2023;07:00;08:00;0;0
08.01.2023;08:00;09:00;0;0
08.01.2023;09:00;10:00;0;0
08.01.2023;10:00;11:00;0;0
08.01.2023;11:00;12:00;0;0
08.01.2023;12:00;13:00;0;0
08.01.2023;13:00;14:00;0;0
08.01.2023;14:00;15:00;12;0
08.01.2023;15:00;16:00;93;0
08.01.2023;16:00;17:00;42;55
08.01.2023;17:00;18:00;176;177
08.01.2023;18:00;19:00;169;178
08.01.2023;19:00;20:00;104;112
08.01.2023;20:00;21:00;80;69
08.01.2023;21:00;22:00;35;37
08.01.2023;22:00;23:00;32;29
08.01.2023;23:00;00:00;0;0
09.01.2023;00:00;01:00;0;0
09.01.2023;01:00;02:00;0;0
09.01.2023;02:00;03:00;0;0
09.01.2023;03:00;04:00;0;0
09.01.2023;04:00;05:00;0;0
09.01.2023;05:00;06:00;0;0
09.01.2023;06:00;07:00;45;71
09.01.2023;07:00;08:00;125;46
09.01.2023;08:00;09:00;76;65
09.01.2023;09:00;10:00;56;45
09.01.2023;10:00;11:00;114;0
09.01.2023;11:00;12:00;111;98
09.01.2023;12:00;13:00;89;90
09.01.2023;13:00;14:00;33;75
09.01.2023;14:00;15:00;0;86
09.01.2023;15:00;16:00;25;109
09.01.2023;16:00;17:00;110;109
09.01.2023;17:00;18:00;141;105
09.01.2023;18:00;19:00;109;76
09.01.2023;19:00;20:00;0;87
09.01.2023;20:00;21:00;0;0
09.01.2023;21:00;22:00;0;0
09.01.2023;22:00;23:00;0;0
09.01.2023;23:00;00:00;0;0
10.01.2023;00:00;01:00;0;0
10.01.2023;01:00;02:00;0;0
10.01.2023;02:00;03:00;0;0
10.01.2023;03:00;04:00;0;0
10.01.2023;04:00;05:00;0;0
10.01.2023;05:00;06:00;0;0
10.01.2023;06:00;07:00;56;0
10.01.2023;07:00;08:00;147;50
10.01.2023;08:00;09:00;125;102
10.01.2023;09:00;10:00;32;0
10.01.2023;10:00;11:00;0;0
10.01.2023;11:00;12:00;0;0
10.01.2023;12:00;13:00;0;0
10.01.2023;13:00;14:00;0;0
10.01.2023;14:00;15:00;1;0
10.01.2023;15:00;16:00;0;0
10.01.2023;16:00;17:00;0;0
10.01.2023;17:00;18:00;0;0
10.01.2023;18:00;19:00;0;0
10.01.2023;19:00;20:00;0;20
10.01.2023;20:00;21:00;0;0
10.01.2023;21:00;22:00;0;0
10.01.2023;22:00;23:00;0;0
10.01.2023;23:00;00:00;0;0
11.01.2023;00:00;01:00;0;0
11.01.2023;01:00;02:00;0;0
11.01.2023;02:00;03:00;0;0
11.01.2023;03:00;04:00;0;0
11.01.2023;04:00;05:00;0;0
11.01.2023;05:00;06:00;33;19
11.01.2023;06:00;07:00;114;7
11.01.2023;07:00;08:00;45;5
11.01.2023;08:00;09:00;121;106
11.01.2023;09:00;10:00;89;107
11.01.2023;10:00;11:00;61;46
11.01.2023;11:00;12:00;140;88
11.01.2023;12:00;13:00;64;54
11.01.2023;13:00;14:00;0;0
11.01.2023;14:00;15:00;0;0
11.01.2023;15:00;16:00;0;0
11.01.2023;16:00;17:00;34;24
11.01.2023;17:00;18:00;69;5
11.01.2023;18:00;19:00;78;47
11.01.2023;19:00;20:00;68;68
11.01.2023;20:00;21:00;36;30
11.01.2023;21:00;22:00;61;54
11.01.2023;22:00;23:00;71;67
11.01.2023;23:00;00:00;0;0
12.01.2023;00:00;01:00;0;0
12.01.2023;01:00;02:00;0;1
12.01.2023;02:00;03:00;0;0
12.01.2023;03:00;04:00;0;0
12.01.2023;04:00;05:00;0;0
12.01.2023;05:00;06:00;0;0
12.01.2023;06:00;07:00;22;1
12.01.2023;07:00;08:00;72;79
12.01.2023;08:00;09:00;119;118
12.01.2023;09:00;10:00;77;86
12.01.2023;10:00;11:00;5;7
12.01.2023;11:00;12:00;0;0
12.01.2023;12:00;13:00;0;0
12.01.2023;13:00;14:00;0;0
12.01.2023;14:00;15:00;0;17
12.01.2023;15:00;16:00;116;108
12.01.2023;16:00;17:00;41;72
12.01.2023;17:00;18:00;82;58
12.01.2023;18:00;19:00;124;123
12.01.2023;19:00;20:00;34;85
12.01.2023;20:00;21:00;0;0
12.01.2023;21:00;22:00;0;55
12.01.2023;22:00;23:00;0;89
12.01.2023;23:00;00:00;0;0
13.01.2023;00:00;01:00;0;0
13.01.2023;01:00;02:00;0;0
13.01.2023;02:00;03:00;0;0
13.01.2023;03:00;04:00;0;0
13.01.2023;04:00;05:00;0;0
13.01.2023;05:00;06:00;0;0
13.01.2023;06:00;07:00;0;22
13.01.2023;07:00;08:00;0;17
13.01.2023;08:00;09:00;0;65
13.01.2023;09:00;10:00;93;115
13.01.2023;10:00;11:00;94;62
13.01.2023;11:00;12:00;23;0
13.01.2023;12:00;13:00;0;0
13.01.2023;13:00;14:00;0;0
13.01.2023;14:00;15:00;0;0
13.01.2023;15:00;16:00;0;0
13.01.2023;16:00;17:00;0;0
13.01.2023;17:00;18:00;0;0
13.01.2023;18:00;19:00;0;0
13.01.2023;19:00;20:00;0;0
13.01.2023;20:00;21:00;0;0
13.01.2023;21:00;22:00;0;0
13.01.2023;22:00;23:00;0;38
13.01.2023;23:00;00:00;92;87
14.01.2023;00:00;01:00;0;0
14.01.2023;01:00;02:00;0;0
14.01.2023;02:00;03:00;0;0
14.01.2023;03:00;04:00;0;0
14.01.2023;04:00;05:00;0;0
14.01.2023;05:00;06:00;0;32
14.01.2023;06:00;07:00;0;1
14.01.2023;07:00;08:00;0;0
14.01.2023;08:00;09:00;0;0
14.01.2023;09:00;10:00;29;32
14.01.2023;10:00;11:00;0;20
14.01.2023;11:00;12:00;67;111
14.01.2023;12:00;13:00;29;77
14.01.2023;13:00;14:00;50;35
14.01.2023;14:00;15:00;44;47
14.01.2023;15:00;16:00;0;0
14.01.2023;16:00;17:00;0;0
14.01.2023;17:00;18:00;0;0
14.01.2023;18:00;19:00;0;0
14.01.2023;19:00;20:00;0;0
14.01.2023;20:00;21:00;0;0
14.01.2023;21:00;22:00;17;12
14.01.2023;22:00;23:00;99;53
