Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
01.01.2022;00:00;01:00;0;0;0;0;58;0;60;15;0;0;1
01.01.2022;01:00;02:00;0;0;0;0;41;0;42;47;0;0;1
01.01.2022;02:00;03:00;0;0;0;0;13;0;13;29;0;0;1
01.01.2022;03:00;04:00;0;0;0;0;36;0;37;10;0;0;1
01.01.2022;04:00;05:00;0;0;0;0;77;0;80;10;0;0;1
01.01.2022;05:00;06:00;0;0;0;0;74;0;76;31;0;0;1
01.01.2022;06:00;07:00;0;0;0;0;74;0;75;11;0;0;1
01.01.2022;07:00;08:00;0;0;0;0;42;0;42;5;0;0;1
01.01.2022;08:00;09:00;0;0;0;0;31;0;32;0;0;0;1
01.01.2022;09:00;10:00;0;0;0;0;70;0;71;0;0;0;1
01.01.2022;10:00;11:00;0;0;0;0;80;0;82;0;0;0;1
01.01.2022;11:00;12:00;0;0;0;0;72;0;74;0;0;0;1
01.01.2022;12:00;13:00;0;0;0;0;64;0;65;0;0;0;1
01.01.2022;13:00;14:00;0;0;0;0;64;0;65;0;0;0;1
01.01.2022;14:00;15:00;0;0;0;0;50;0;50;0;0;0;1
01.01.2022;15:00;16:00;0;0;0;0;21;0;12;0;0;0;1
01.01.2022;16:00;17:00;12;0;0;0;76;0;58;74;0;17;1
01.01.2022;17:00;18:00;90;0;0;0;81;0;82;91;0;89;1
01.01.2022;18:00;19:00;60;68;69;67;55;0;63;58;0;66;151
01.01.2022;19:00;20:00;89;71;52;30;98;0;102;99;0;91;28
01.01.2022;20:00;21:00;61;55;51;50;100;0;103;101;0;92;92
01.01.2022;21:00;22:00;33;8;4;1;80;0;70;90;0;39;1
01.01.2022;22:00;23:00;46;30;0;0;99;0;101;76;0;66;1
01.01.2022;23:00;00:00;0;0;0;0;20;0;20;18;0;0;1
02.01.2022;00:00;01:00;0;0;0;0;49;0;50;40;0;0;0
02.01.2022;01:00;02:00;0;0;0;0;54;0;74;72;0;0;0
02.01.2022;02:00;03:00;0;0;0;0;31;0;78;76;0;0;0
02.01.2022;03:00;04:00;0;0;0;0;16;0;46;45;0;0;0
02.01.2022;04:00;05:00;0;0;0;0;14;0;45;44;0;0;0
02.01.2022;05:00;06:00;0;0;0;0;27;0;58;56;0;0;0
02.01.2022;06:00;07:00;0;0;0;0;30;0;66;65;0;0;0
02.01.2022;07:00;08:00;0;0;0;0;5;0;37;36;0;0;0
02.01.2022;08:00;09:00;0;0;0;0;65;0;68;66;0;0;1
02.01.2022;09:00;10:00;0;0;0;0;87;0;89;87;0;0;1
02.01.2022;10:00;11:00;0;0;0;0;52;0;53;51;0;0;1
02.01.2022;11:00;12:00;0;0;0;0;43;0;44;43;0;0;1
02.01.2022;12:00;13:00;0;0;0;0;51;0;49;48;0;0;1
02.01.2022;13:00;14:00;0;0;0;0;10;0;57;55;0;0;0
02.01.2022;14:00;15:00;0;0;0;0;10;0;67;65;0;0;0
02.01.2022;15:00;16:00;0;0;0;0;10;0;37;36;0;0;0
02.01.2022;16:00;17:00;0;0;0;0;10;0;76;74;0;0;1
02.01.2022;17:00;18:00;0;0;0;0;10;0;91;89;0;0;1
02.01.2022;18:00;19:00;0;0;0;0;14;0;59;57;0;0;1
02.01.2022;19:00;20:00;0;0;0;0;35;0;65;63;0;0;1
02.01.2022;20:00;21:00;0;0;0;0;63;0;73;72;0;0;1
02.01.2022;21:00;22:00;0;0;0;0;77;0;78;76;0;0;1
02.01.2022;22:00;23:00;0;0;0;0;69;0;80;79;0;0;1
02.01.2022;23:00;00:00;0;0;0;0;78;0;57;70;0;0;1
03.01.2022;00:00;01:00;0;0;0;0;23;0;66;65;0;0;0
03.01.2022;01:00;02:00;0;0;0;0;21;0;75;74;0;0;0
03.01.2022;02:00;03:00;0;0;0;0;10;0;72;70;0;0;0
03.01.2022;03:00;04:00;0;0;0;0;10;0;66;65;0;0;0
03.01.2022;04:00;05:00;0;0;0;0;10;0;62;61;0;0;0
03.01.2022;05:00;06:00;0;0;0;0;10;0;73;71;0;0;0
03.01.2022;06:00;07:00;0;0;0;0;26;0;49;48;0;0;1
03.01.2022;07:00;08:00;0;0;0;0;49;0;43;43;0;0;1
03.01.2022;08:00;09:00;28;44;45;44;17;0;27;26;0;27;4
03.01.2022;09:00;10:00;37;74;56;51;24;0;26;25;0;39;130
03.01.2022;10:00;11:00;39;65;39;38;10;0;21;21;0;20;61
03.01.2022;11:00;12:00;1;1;1;1;6;0;21;20;0;1;1
03.01.2022;12:00;13:00;0;0;0;0;0;0;16;13;0;0;0
03.01.2022;13:00;14:00;0;0;0;0;0;0;16;15;0;0;0
03.01.2022;14:00;15:00;0;0;0;0;0;0;16;15;0;0;0
