Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C1 [MW] Original resolutions;Generation_DE B1 [MW] Original resolutions;Generation_DE Emsland B DT [MW] Original resolutions;Generation_DE Emsland C DT [MW] Original resolutions
01.01.2021;00:00;01:00;0;-;-;0;0
01.01.2021;01:00;02:00;0;-;-;0;0
01.01.2021;02:00;03:00;0;-;-;0;0
01.01.2021;03:00;04:00;0;-;-;0;0
01.01.2021;04:00;05:00;0;-;-;0;0
01.01.2021;05:00;06:00;0;-;-;0;0
01.01.2021;06:00;07:00;0;-;-;0;0
01.01.2021;07:00;08:00;11;-;-;0;0
01.01.2021;08:00;09:00;84;-;-;0;0
01.01.2021;09:00;10:00;398;-;-;0;0
01.01.2021;10:00;11:00;806;-;-;0;0
01.01.2021;11:00;12:00;787;-;-;0;0
01.01.2021;12:00;13:00;846;-;-;0;0
01.01.2021;13:00;14:00;850;-;-;0;0
01.01.2021;14:00;15:00;852;-;-;0;0
01.01.2021;15:00;16:00;853;-;-;0;0
01.01.2021;16:00;17:00;854;-;-;0;0
01.01.2021;17:00;18:00;801;-;-;0;0
01.01.2021;18:00;19:00;856;-;-;0;0
01.01.2021;19:00;20:00;856;-;-;0;0
01.01.2021;20:00;21:00;857;-;-;0;0
01.01.2021;21:00;22:00;858;-;-;0;0
01.01.2021;22:00;23:00;859;-;-;0;0
01.01.2021;23:00;00:00;640;-;-;0;0
02.01.2021;00:00;01:00;0;-;-;0;0
02.01.2021;01:00;02:00;0;-;-;0;0
02.01.2021;02:00;03:00;0;-;-;0;0
02.01.2021;03:00;04:00;0;-;-;0;0
02.01.2021;04:00;05:00;0;-;-;0;0
02.01.2021;05:00;06:00;0;-;-;0;0
02.01.2021;06:00;07:00;8;-;-;0;0
02.01.2021;07:00;08:00;95;-;-;0;0
02.01.2021;08:00;09:00;436;-;-;0;0
02.01.2021;09:00;10:00;690;-;-;0;0
02.01.2021;10:00;11:00;804;-;-;0;0
02.01.2021;11:00;12:00;859;-;-;0;0
02.01.2021;12:00;13:00;859;-;-;0;0
02.01.2021;13:00;14:00;860;-;-;0;0
02.01.2021;14:00;15:00;860;-;-;0;0
02.01.2021;15:00;16:00;860;-;-;0;0
02.01.2021;16:00;17:00;861;-;-;0;0
02.01.2021;17:00;18:00;862;-;-;0;0
02.01.2021;18:00;19:00;862;-;-;0;0
02.01.2021;19:00;20:00;863;-;-;0;0
02.01.2021;20:00;21:00;864;-;-;0;0
02.01.2021;21:00;22:00;864;-;-;0;0
02.01.2021;22:00;23:00;430;-;-;0;0
02.01.2021;23:00;00:00;0;-;-;0;0
03.01.2021;00:00;01:00;0;-;-;0;0
03.01.2021;01:00;02:00;0;-;-;0;0
03.01.2021;02:00;03:00;0;-;-;0;0
03.01.2021;03:00;04:00;0;-;-;0;0
03.01.2021;04:00;05:00;0;-;-;0;0
03.01.2021;05:00;06:00;0;-;-;0;0
03.01.2021;06:00;07:00;0;-;-;0;0
03.01.2021;07:00;08:00;0;-;-;0;0
03.01.2021;08:00;09:00;0;-;-;0;0
03.01.2021;09:00;10:00;0;-;-;0;0
03.01.2021;10:00;11:00;0;-;-;0;0
03.01.2021;11:00;12:00;0;-;-;0;0
03.01.2021;12:00;13:00;0;-;-;0;0
03.01.2021;13:00;14:00;0;-;-;0;0
03.01.2021;14:00;15:00;0;-;-;0;0
03.01.2021;15:00;16:00;0;-;-;0;0
03.01.2021;16:00;17:00;0;-;-;0;0
03.01.2021;17:00;18:00;0;-;-;0;0
03.01.2021;18:00;19:00;0;-;-;0;0
03.01.2021;19:00;20:00;0;-;-;63;66
03.01.2021;20:00;21:00;0;-;-;87;89
03.01.2021;21:00;22:00;0;-;-;0;0
03.01.2021;22:00;23:00;0;-;-;0;0
03.01.2021;23:00;00:00;0;-;-;0;0
04.01.2021;00:00;01:00;0;-;-;0;0
04.01.2021;01:00;02:00;0;-;-;0;0
04.01.2021;02:00;03:00;0;-;-;0;0
04.01.2021;03:00;04:00;10;-;-;0;0
04.01.2021;04:00;05:00;62;-;-;0;0
04.01.2021;05:00;06:00;490;-;-;0;0
04.01.2021;06:00;07:00;841;-;-;0;0
04.01.2021;07:00;08:00;853;-;-;0;0
04.01.2021;08:00;09:00;855;-;-;33;51
04.01.2021;09:00;10:00;859;-;-;6;6
04.01.2021;10:00;11:00;858;-;-;103;105
04.01.2021;11:00;12:00;859;-;-;57;118
04.01.2021;12:00;13:00;861;-;-;58;137
