Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
01.01.2022;00:00;01:00;-;-;-;0;0;188;245;6
01.01.2022;01:00;02:00;-;-;-;0;0;186;246;5
01.01.2022;02:00;03:00;-;-;-;0;0;186;246;5
01.01.2022;03:00;04:00;-;-;-;0;0;188;247;5
01.01.2022;04:00;05:00;-;-;-;0;0;190;261;5
01.01.2022;05:00;06:00;-;-;-;0;0;190;259;5
01.01.2022;06:00;07:00;-;-;-;0;0;191;259;5
01.01.2022;07:00;08:00;-;-;-;0;0;192;260;5
01.01.2022;08:00;09:00;-;-;-;0;0;194;260;5
01.01.2022;09:00;10:00;-;-;-;0;0;201;253;6
01.01.2022;10:00;11:00;-;-;-;0;0;199;248;6
01.01.2022;11:00;12:00;-;-;-;0;0;192;247;6
01.01.2022;12:00;13:00;-;-;-;0;0;191;247;6
01.01.2022;13:00;14:00;-;-;-;0;0;189;247;6
01.01.2022;14:00;15:00;-;-;-;0;0;189;248;6
01.01.2022;15:00;16:00;-;-;-;0;0;188;248;6
01.01.2022;16:00;17:00;-;-;-;0;0;191;295;5
01.01.2022;17:00;18:00;-;-;-;0;0;199;612;0
01.01.2022;18:00;19:00;-;-;-;0;0;199;631;0
01.01.2022;19:00;20:00;-;-;-;0;0;196;472;3
01.01.2022;20:00;21:00;-;-;-;0;0;188;253;8
01.01.2022;21:00;22:00;-;-;-;0;0;187;247;6
01.01.2022;22:00;23:00;-;-;-;0;0;187;248;6
01.01.2022;23:00;00:00;-;-;-;0;0;186;247;4
02.01.2022;00:00;01:00;-;-;-;0;0;184;248;6
02.01.2022;01:00;02:00;-;-;-;0;0;187;247;6
02.01.2022;02:00;03:00;-;-;-;0;0;188;247;5
02.01.2022;03:00;04:00;-;-;-;0;0;189;247;7
02.01.2022;04:00;05:00;-;-;-;0;0;190;247;6
02.01.2022;05:00;06:00;-;-;-;0;0;188;247;6
02.01.2022;06:00;07:00;-;-;-;0;0;186;247;7
02.01.2022;07:00;08:00;-;-;-;0;0;184;247;6
02.01.2022;08:00;09:00;-;-;-;0;0;182;246;6
02.01.2022;09:00;10:00;-;-;-;0;0;191;249;7
02.01.2022;10:00;11:00;-;-;-;0;0;190;249;7
02.01.2022;11:00;12:00;-;-;-;0;0;186;247;7
02.01.2022;12:00;13:00;-;-;-;0;0;184;256;6
02.01.2022;13:00;14:00;-;-;-;0;0;185;261;6
02.01.2022;14:00;15:00;-;-;-;0;0;187;261;7
02.01.2022;15:00;16:00;-;-;-;0;0;192;261;6
02.01.2022;16:00;17:00;-;-;-;0;0;189;254;7
02.01.2022;17:00;18:00;-;-;-;0;0;190;255;7
02.01.2022;18:00;19:00;-;-;-;0;0;188;255;6
02.01.2022;19:00;20:00;-;-;-;0;0;187;254;6
02.01.2022;20:00;21:00;-;-;-;0;0;193;247;7
02.01.2022;21:00;22:00;-;-;-;0;0;190;249;7
02.01.2022;22:00;23:00;-;-;-;0;0;189;247;7
02.01.2022;23:00;00:00;-;-;-;0;0;198;247;7
03.01.2022;00:00;01:00;-;-;-;0;0;189;247;7
03.01.2022;01:00;02:00;-;-;-;0;0;187;247;7
03.01.2022;02:00;03:00;-;-;-;0;0;187;247;7
03.01.2022;03:00;04:00;-;-;-;0;0;188;248;7
03.01.2022;04:00;05:00;-;-;-;0;0;189;246;3
03.01.2022;05:00;06:00;-;-;-;0;0;186;271;0
03.01.2022;06:00;07:00;-;-;-;0;0;189;303;0
03.01.2022;07:00;08:00;-;-;-;0;0;192;304;0
03.01.2022;08:00;09:00;-;-;-;0;0;197;304;0
03.01.2022;09:00;10:00;-;-;-;0;0;203;384;0
03.01.2022;10:00;11:00;-;-;-;0;0;288;602;0
03.01.2022;11:00;12:00;-;-;-;0;0;315;629;0
03.01.2022;12:00;13:00;-;-;-;0;0;315;625;60
03.01.2022;13:00;14:00;-;-;-;0;0;316;631;302
03.01.2022;14:00;15:00;-;-;-;0;0;317;634;490
03.01.2022;15:00;16:00;-;-;-;0;0;317;632;585
03.01.2022;16:00;17:00;-;-;-;0;0;316;629;652
03.01.2022;17:00;18:00;-;-;-;0;0;319;634;657
03.01.2022;18:00;19:00;-;-;-;0;0;320;628;646
03.01.2022;19:00;20:00;-;-;-;0;0;319;635;655
03.01.2022;20:00;21:00;-;-;-;0;0;318;640;653
03.01.2022;21:00;22:00;-;-;-;0;0;317;640;654
03.01.2022;22:00;23:00;-;-;-;0;0;322;643;654
03.01.2022;23:00;00:00;-;-;-;0;0;319;644;653
04.01.2022;00:00;01:00;-;-;-;0;0;321;643;656
04.01.2022;01:00;02:00;-;-;-;0;0;316;642;656
04.01.2022;02:00;03:00;-;-;-;0;0;320;647;655
04.01.2022;03:00;04:00;-;-;-;0;0;321;641;654
04.01.2022;04:00;05:00;-;-;-;0;0;318;642;651
04.01.2022;05:00;06:00;-;-;-;0;0;317;640;649
04.01.2022;06:00;07:00;-;-;-;0;0;318;639;648
04.01.2022;07:00;08:00;-;-;-;0;0;318;639;647
04.01.2022;08:00;09:00;-;-;-;0;0;319;645;654
04.01.2022;09:00;10:00;-;-;-;0;0;318;642;651
04.01.2022;10:00;11:00;-;-;-;0;0;322;647;652
04.01.2022;11:00;12:00;-;-;-;0;0;322;645;656
04.01.2022;12:00;13:00;-;-;-;0;0;320;640;654
04.01.2022;13:00;14:00;-;-;-;0;0;317;643;652
