Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE B [MW] Original resolutions;Generation_DE A [MW] Original resolutions;Generation_DE Niederaußem E [MW] Original resolutions;Generation_DE Niederaußem F [MW] Original resolutions;Generation_DE Niederaußem G [MW] Original resolutions;Generation_DE Niederaußem H [MW] Original resolutions;Generation_DE Niederaußem K [MW] Original resolutions
01.01.2021;00:00;01:00;-;259;-;-;-;-;604;0;0
01.01.2021;01:00;02:00;-;259;-;-;-;-;602;0;0
01.01.2021;02:00;03:00;-;259;-;-;-;-;606;0;0
01.01.2021;03:00;04:00;-;259;-;-;-;-;604;0;163
01.01.2021;04:00;05:00;-;192;-;-;-;-;501;0;423
01.01.2021;05:00;06:00;-;172;-;-;-;-;579;0;497
01.01.2021;06:00;07:00;-;259;-;-;-;-;612;0;748
01.01.2021;07:00;08:00;-;270;-;-;-;-;616;0;852
01.01.2021;08:00;09:00;-;270;-;-;-;-;607;0;917
01.01.2021;09:00;10:00;-;268;-;-;-;-;333;0;909
01.01.2021;10:00;11:00;-;269;-;-;-;-;0;0;908
01.01.2021;11:00;12:00;-;269;-;-;-;-;0;0;906
01.01.2021;12:00;13:00;-;269;-;-;-;-;0;0;907
01.01.2021;13:00;14:00;-;269;-;-;-;-;0;0;911
01.01.2021;14:00;15:00;-;268;-;-;-;-;0;0;913
01.01.2021;15:00;16:00;-;269;-;-;-;-;0;0;916
01.01.2021;16:00;17:00;-;269;-;-;-;-;0;0;909
01.01.2021;17:00;18:00;-;269;-;-;-;-;0;0;908
01.01.2021;18:00;19:00;-;269;-;-;-;-;0;0;910
01.01.2021;19:00;20:00;-;270;-;-;-;-;0;0;907
01.01.2021;20:00;21:00;-;270;-;-;-;-;0;0;912
01.01.2021;21:00;22:00;-;269;-;-;-;-;0;0;912
01.01.2021;22:00;23:00;-;270;-;-;-;-;0;0;908
01.01.2021;23:00;00:00;-;269;-;-;-;-;0;0;909
02.01.2021;00:00;01:00;-;269;-;-;-;-;0;0;913
02.01.2021;01:00;02:00;-;269;-;-;-;-;0;0;910
02.01.2021;02:00;03:00;-;269;-;-;-;-;0;0;912
02.01.2021;03:00;04:00;-;269;-;-;-;-;0;0;908
02.01.2021;04:00;05:00;-;269;-;-;-;-;0;0;911
02.01.2021;05:00;06:00;-;269;-;-;-;-;0;0;910
02.01.2021;06:00;07:00;-;269;-;-;-;-;0;0;917
02.01.2021;07:00;08:00;-;268;-;-;-;-;0;0;910
02.01.2021;08:00;09:00;-;273;-;-;-;-;0;0;918
02.01.2021;09:00;10:00;-;273;-;-;-;-;0;0;939
02.01.2021;10:00;11:00;-;274;-;-;-;-;0;0;942
02.01.2021;11:00;12:00;-;274;-;-;-;-;0;0;942
02.01.2021;12:00;13:00;-;274;-;-;-;-;0;0;940
02.01.2021;13:00;14:00;-;273;-;-;-;-;0;0;942
02.01.2021;14:00;15:00;-;273;-;-;-;-;0;0;943
02.01.2021;15:00;16:00;-;275;-;-;-;-;0;0;943
02.01.2021;16:00;17:00;-;274;-;-;-;-;0;0;943
02.01.2021;17:00;18:00;-;275;-;-;-;-;0;0;944
02.01.2021;18:00;19:00;-;275;-;-;-;-;0;0;939
02.01.2021;19:00;20:00;-;275;-;-;-;-;0;0;945
02.01.2021;20:00;21:00;-;274;-;-;-;-;0;0;942
02.01.2021;21:00;22:00;-;274;-;-;-;-;0;0;931
02.01.2021;22:00;23:00;-;274;-;-;-;-;0;0;791
02.01.2021;23:00;00:00;-;272;-;-;-;-;0;0;672
